centroid_id,smiles,smiles_sha256,vina_affinity_kcal_mol,inside_fraction_with_padding,triad_min_distance_A,centroid_in_box,vina_out_sha256,vina_log_sha256
29,CCCCN(C)S(=O)(=O)c1cccc(NC(=O)c2ccco2)c1,fbaee4137ee8674de918bb7272b3d7880868a6e62c236c08bef216c83116eb82,-6.064,1.0,8.076857123906551,True,80875a084705b7da76ea7477b95a28926b061b52c47e702d9c9b321ece3099b7,a43250ee949e224e3bbd5d6d9b1de9f12a8888fac2724211474df64894c69c2c
31,CCc1ccc(-c2c3c4n(cc(-c5ccc(OC)cc5)n4CCCC3)c2C(=O)Nc2ccccc2)cc1,3550ff6e90cdfcc3e435316b3444b134974247edcdfb08ea3f62e1c80b8eb08d,-5.17,1.0,8.778933989955727,True,f3f49910d3b7c7815200e6365777c94946b84ffc8264547f3ff8f204d24ed55d,54cda288ec4d38aadf4c553712f8b1b1e746940d7daf795122e702e8b8116897
32,O=C(CSc1nccn2nc(-c3ccccc3)cc12)Nc1cc(F)ccc1F,4aa27917ea9b22e5012daf5138d6198766166b10662b76c8983c320510790d97,-6.554,1.0,7.987673879171583,True,07b2392c8f0cbf82eb5b64be4895557f3ddb7c292262272c67a8281195c4eee7,dbaf0547ee4e810a8c9be9cca6dc9429eacb6c2cdf50af9e48b863d63c6b90c5
33,C=C(Br)CNCc1cc2c(c(OC)c1)OCO2,9280565607b5d3b2a9fe6fd0b37c535c9b9ce58cc5a2cbd5cc309df3e46aef32,-5.401,1.0,7.819931521439302,True,98565303abd29396e0ba2b177d42aae8cb9c879d41cfe1ca1e5d40554ea5e400,735f1394174cbcc09de9141b92f46c1c6e8642258a80ff5ee98ba52c46053002
34,O=C(Nc1cccc(C(F)(F)F)c1)c1c(F)cccc1F,395a28320bc2d74e709c9946140306bcdce819bfc4a026fc06ce51dd278ab54e,-7.044,1.0,7.611318611121203,True,dfc28d63cb123188731bcffeec36cd97bad0b27a8c77f207803459dce3bebd44,56cfca7ae1890c4b29532954c7d6d3db6a692d395dddf00111bc1e259adfdff7
35,CCCCC#N,cebfc6ddc7951a4d340395cc45db410faf4f8de691a2777db6a1521c4c1a6abb,-3.417,1.0,5.4325067878466555,True,ae9a299802022f29c9b852d982508d76722b472311921e2e8e8783f11b0daeca,73c720839d0b93e959505a2fcd5627cc5cda859e653fe0c711e7b9190e704fca
36,CC[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,f4bd0edccf2f0c30940309c9edbcfcf11ac843549e3c31be77af9bac06c55e1e,-6.519,1.0,8.095797737097932,True,7b9ed463f1021191b6ed47f49a5b83a5365aca6f9f76d134befef829543cc2de,b08ce2de1ce30207c4df421fc231d2ab5b5aea4697c6d1d97cef4dd9a685af0a
37,[C-]CCNc1nc(NC2=CC(=CCl)C(Cl)=CO2)nc2ccccc12,837b0bff08f0d6b080f914baefa5e0b4dd81141833040b298c1d2cf5110b3515,-7.004,1.0,8.471555760307549,True,d0066acd73fd9c59559820f82d32e8a792f90076c6e1be93eec678b6f741f5ea,99528ecaae0780089b6a157795db09be8d9ff22aae10b5a8cb9c63bf83e5fd2b
38,C=C(Cl)C1=CC(N)C=NC2C=NOC(=N2)NCCOCC#CN=C1,0281cf4cf435579eb36047ffaab98e7c297225bc7c6d207c9972919f59b5bd98,-4.086,1.0,3.537057958247222,True,81c02fee4fc46183648ffaf92e9fdd6896303aea60156e12535ab9c4963c021c,8c5cb4610786890b7963ca7f0e771fa518f15a81e77cc39c7171692fe233af78
39,CCCC[N@H+](C)Cc1c(C)[nH]c2ccc(OCC)cc2c1=O,39fa38df1f165661ecb35ec59fef47251af467796a69cbafbbae9d5e652c8c7d,-5.785,1.0,9.111255676359873,True,fd5decc574ebd769ea2bad1ca0949a46721adfac94f4a51086ace2ac555c261e,3f3f199e4933a0e491b3156cfe8419bbbc53520a51b8e97ac3fde8c19f65c515
40,OC=[B-]c1nc(N2CC=CCC2Cl)nc2ccccc12,0dfbf8832df0c17afe0bb1b46c34f88343dc2c030827fab525a887cdfcbb8dca,-6.677,1.0,9.058179121655742,True,767931909d8960207aa6e24d1f03ec115e6afcb7b5a94a5cd30866c35e32dcb3,ccea1b8eee3756dd411d80c980477190b02dd127c59dd2106f298f74c95303ac
41,Cc1cccc2c1C(NC=CC=C(N)CCl)N=CNC2O,ce3de8478e13ec061a74f621c8f3f06f7a641b64aabe50207c2042038774c6a7,-6.037,1.0,3.3272936449913773,True,45184ed3f6fe6b77e6491b066574a5c1e239c4466a9da7e4c92d4130c2300a9c,ee50f8f3902ce18c9517ed5e276282cf50b283844473ec3ec61811590f0348a7
42,CCOC1=CC=CC(NC(=O)CN2C(=O)NC3=CC=CC=C3C2=O)=C1,35f4a1f98b7f792f6d07257db5136d553890946058bd0ff9e28373b121234aa1,-6.167,1.0,8.859364875655592,True,91ca083e02164d9c3a3e71bc9adb77cf3b27173a0886299a897d29826bbbd2c3,e872bd8754910dffda000a187587ddb09df7bd48c89b1c63c3dfb027f3740c0a
44,C1=CCC=CCCNCC2=NNC2C=C1,c041006d3d350575479f6fbe64753cad47fd35f0fb264df42911ad28fd8e979d,-4.307,1.0,2.257106776384316,True,28d7b71caf97371d93a73222e7b09df3b83449baaa932d6b3c197ce7e1583a4d,081a31a00cca6f4558d5242b359a6219f5535c9c608d0b58a75c07a3a3a9f3fe
45,COC(=O)c1cc2c(cc1O)OCO2,57be74d812a0503b749ba80e492a85dab01c21f484ac4d089767e0add9a859f1,-5.216,1.0,3.4795054246257493,True,7a0747dbe12a4c2002be7c93ddab39581087e5f1f0694b8c0514bc8273d2a33d,01333576111f220df8e2b3fcaafd2e262b4640b96e95bbd87d5a77a324e81396
46,CCOC(=O)c1cnc2ccccc2c1NCc1ccc([N+](=O)[O-])cc1,3741a06548c4fe1143c305f23423441f7fbf0d2f68146a2878a87b037d1c0a6b,-7.065,1.0,8.188179834371006,True,8d466ff61a3824e7fcdbbba60372c41f0752ed0574da7f99731b022c3a64b9e0,04b6352ee4507cfd87aeacdc2b9e0767c3f8c8d1c93548d6b12f890561dc7817
