model,fold,seed,test_auc,split,curve
GIN-TNE,2,0,0.8880092120362105,random,"[0.793544143965414, 0.8485577419848149, 0.8599817315362455, 0.864732255411309, 0.8669863647823698, 0.8701890290022195, 0.8745954692556634, 0.8746592745518647, 0.8692409907955048, 0.8722938288137485, 0.8724033569335432, 0.8756427027406829, 0.8823270179006146, 0.884217927893299, 0.8820165160138378, 0.8818894220635096, 0.8794149648476732, 0.8824876935857854, 0.8820113495930928, 0.8732113851380676, 0.8760438753115352, 0.8709867243652536, 0.8807889744448165, 0.8755336912629625]"
GIN-TNE,2,1,0.8967534080283905,random,"[0.7925063847207904, 0.8508080595963838, 0.8658863943933242, 0.8631970163627031, 0.8702400951980961, 0.8703050560200918, 0.8635987128742273, 0.8820269049164471, 0.879264081385039, 0.8858015263937145, 0.8853083544389719, 0.8783843262528688, 0.88136059248512, 0.8799266817693948, 0.891937540037078, 0.8852611584131954, 0.884400758954518, 0.885532668134516, 0.8902496192500392, 0.8884482158841672, 0.8852452496404617, 0.8837434614944066, 0.8872274827230728, 0.8864861339136854, 0.8852813095253247]"
GIN-TNE,2,2,0.8983486800862766,random,"[0.8124549631272582, 0.8510126588747554, 0.8633628553760611, 0.8558692308085428, 0.8742406974902005, 0.8784564043071859, 0.8773034603649967, 0.8807183413143358, 0.8758581919835644, 0.8844444558012602, 0.8808133978627609, 0.8705028286989007, 0.8836380083097821, 0.8808476386624624, 0.8879881230420139, 0.8856945005187227, 0.8680369800636776, 0.8899554358547168, 0.8855524267527968, 0.8943655997506044, 0.8710195070346956, 0.8930437515651113, 0.8815452310742923, 0.8902357504612287, 0.8929193092557481, 0.8839717283426942, 0.8879888896270818, 0.8842867948056194, 0.8859244760391061, 0.8872174495203733]"
GIN-TNE,2,3,0.8903394481278422,random,"[0.8141566076677716, 0.8736287447620239, 0.8853326245126858, 0.8938692225905309, 0.9012446056663956, 0.9020691308608002, 0.8976744428461234, 0.900380469906394, 0.8995444784956325, 0.9068468947401338, 0.9075098505222341, 0.8932542164404695, 0.9036353117768466, 0.9105494402401653, 0.9096107740738424, 0.9099266162153146, 0.9108522525903225, 0.8935231513332083, 0.9043524714908167, 0.9061677820168033, 0.8977896262013468, 0.9007202868638856, 0.904547397168887, 0.9106012988095984, 0.9091109512790043, 0.898916442554256, 0.9067629828840661]"
GIN-TNE,2,4,0.896193593544137,random,"[0.790311568394671, 0.8571977311700303, 0.8586840786175967, 0.8718633425669436, 0.8707769423558898, 0.883071362617069, 0.8652547157367103, 0.8744751352064372, 0.8829014641867827, 0.8812515499274501, 0.8863379501385042, 0.8869753330695158, 0.8781870465637779, 0.8786210262498352, 0.8822155388471178, 0.8813565492679066, 0.8844941300619972, 0.885595567867036, 0.8799052895396386, 0.877559952512861, 0.8805347579475002, 0.8815180055401661]"
GIN-TNE,3,0,0.8961065998342471,random,"[0.784585156692051, 0.8277480157185202, 0.8581849988839229, 0.8662456719563537, 0.8643981748244125, 0.872466374929272, 0.8770877132875483, 0.8788041362340959, 0.8763152840286754, 0.8792113746437639, 0.8738388903596883, 0.8849672184760096, 0.8790950949703851, 0.8776800128738209, 0.8812914311224622, 0.8795077839897425, 0.8712399877491059, 0.8747392791698463, 0.8762145775258385, 0.8765634165459745, 0.8789564937525631, 0.8809415538909566]"
GIN-TNE,3,1,0.8935922491924859,random,"[0.8193290765931944, 0.8625324286137757, 0.8680282537340237, 0.8744274280620292, 0.8828393942475588, 0.8738134751573559, 0.8778731373155707, 0.8881540085985863, 0.8840380899627626, 0.8783572675796084, 0.8832272393864583, 0.8952125737554876, 0.8859459418524394, 0.8924073228624161, 0.8914650268624681, 0.8929893610346, 0.8896410187615353, 0.8943606126763155, 0.8926740002033888, 0.8841635851820437, 0.8852816826745195, 0.87801594222027]"
GIN-TNE,3,2,0.8906198534255598,random,"[0.7577538870585516, 0.855696727987347, 0.8610695125347456, 0.8613511567907268, 0.8565821208443022, 0.8786817367361844, 0.8684558433301279, 0.8804372842347528, 0.8745574349354478, 0.8652048489052131, 0.8792019378806271, 0.8836940586723837, 0.8618461360614994, 0.8792050906148358, 0.8867106998544487, 0.8874778651785762, 0.8828806532465281, 0.882751916599671, 0.8846406671185587, 0.8927831286683376, 0.8897872429864802, 0.8930030318793973, 0.8924245051520932, 0.8829994062350572, 0.8892570581837098, 0.8850859908255435, 0.8935600149229419, 0.8849585678179401, 0.8908297470981709, 0.8873538576330322, 0.8784962508735701, 0.8812154841286106, 0.892471007981672, 0.8874132341272968, 0.889249176348188, 0.892809926909112, 0.8862075760203035]"
GIN-TNE,3,3,0.8991829232011562,random,"[0.8050883565749279, 0.8542861888496056, 0.857394582337351, 0.8653027769209263, 0.8758112721304101, 0.872385127167648, 0.8785895342155408, 0.879811278320374, 0.8802654669141277, 0.8826460238251707, 0.8808942640700456, 0.8841264568337717, 0.8833168611518903, 0.8902119649936913, 0.8840196799582385, 0.8870403822921642, 0.8935793053003629, 0.881002072606212, 0.8748033396918017, 0.8874669739639806, 0.8883789619637041, 0.8909333536914366, 0.8891950055245427, 0.8907247003283777, 0.890944444043243, 0.8861521224870035, 0.8874246758780207]"
GIN-TNE,3,4,0.884284918345446,random,"[0.8110253164814547, 0.8596314957297134, 0.8629466402397954, 0.8838170685301139, 0.8901642488385674, 0.8951368384209809, 0.8850827908566822, 0.8911522041272316, 0.8975889210632882, 0.9017187980114728, 0.9032800929552989, 0.8953133680219935, 0.8982955481981771, 0.8871512904466453, 0.8961960160270563, 0.8920994609488033, 0.8993727857490248, 0.8969026431619453, 0.8935338275483854, 0.8901517849330206, 0.895504650817327]"
GIN-TNE,4,0,0.8890740548897106,random,"[0.800508643342924, 0.8589067022110974, 0.8806395249279633, 0.8743438479735657, 0.8854738564509547, 0.8943476321447372, 0.8924211930498094, 0.8980488263784213, 0.8875910896510317, 0.8904561723214304, 0.896073499597271, 0.9025723907716962, 0.8941203704682436, 0.8986391782217779, 0.8976207288017707, 0.9026928923117904, 0.8958031639053491, 0.9009778594275543, 0.8986759100508854, 0.8941615946793284, 0.8936180164600875, 0.9003505114973267, 0.9002183826156445, 0.9031209898884409, 0.9030728949755086, 0.8991610873044229, 0.9010621576540676, 0.8994832175179642, 0.8914830779898653, 0.9004128763294807, 0.8992490851396233, 0.8999094652902713, 0.9000519002247249, 0.9023438078063858]"
GIN-TNE,4,1,0.8783504199604744,random,"[0.8183853547204989, 0.8528518006579019, 0.852692682717756, 0.8660457316746493, 0.8705374650422707, 0.8679184480375455, 0.8659235805286787, 0.8753943124712034, 0.8783586207635519, 0.8731240691332626, 0.8783915694279254, 0.8784124637028942, 0.8842783974626849, 0.8840828484790041, 0.8717536189955747, 0.8703826331072465, 0.8619997428396926, 0.8644398191305839, 0.8859820844985911, 0.8838364031845019, 0.8839339098010223, 0.8792150181619468, 0.8780272589925744, 0.8831310874666494, 0.885895025019555, 0.8767848532578995, 0.8808260203370941, 0.8864634564488304, 0.8804284933620495, 0.8768812883731396, 0.8884039452677146, 0.8789077651697794, 0.873009150620935, 0.8767588693518489, 0.8774896332251116, 0.8735542768973609, 0.8808801311517569, 0.8768585189709301, 0.8816984902546958, 0.8853568635014517, 0.8787148949392996]"
GIN-TNE,4,2,0.8923572373454035,random,"[0.7928031593619329, 0.856007433792783, 0.8629211191988023, 0.8690883279128594, 0.8606055443704507, 0.8806354860358268, 0.8731805275927933, 0.8713504723555832, 0.8721333436580455, 0.8791030406277425, 0.8866929946827732, 0.8804305404986837, 0.8831536833410769, 0.8835134995611998, 0.8915290898766197, 0.8808254607402819, 0.88530561148108, 0.8844179443498013, 0.8895503587837489, 0.8866289814671416, 0.8877357906148367, 0.8811037117340353, 0.8904744205255279, 0.8832027257240205, 0.8902369521449591]"
GIN-TNE,4,3,0.8927742758935782,random,"[0.8172182565433701, 0.8607948868493969, 0.8634580719590454, 0.8725003347650979, 0.8730799934077027, 0.879414521594924, 0.882445690800655, 0.8796766684177457, 0.886847851838118, 0.8883481144999639, 0.8797235355314523, 0.8742709846214064, 0.8841983148439994, 0.8835723041109154, 0.8855917101861295, 0.889148460595573, 0.8928046104879329, 0.8895092343664699, 0.8892040831041481, 0.8884771278184648, 0.8938583480114953, 0.8889285456774099, 0.8851467301175282, 0.8929678728510655, 0.8937182616936025, 0.8884333508441231, 0.8911462356952298, 0.8849453560355571, 0.8793964957819598, 0.8848428664132753, 0.8814416530185512]"
GIN-TNE,4,4,0.8974151578902629,random,"[0.779590484314323, 0.8431115980063537, 0.8579687857505116, 0.8682860209634411, 0.8749363410244273, 0.8766908509267587, 0.87506128659139, 0.8754993868704879, 0.8802483728080489, 0.8826270833487101, 0.8794006408600473, 0.8787875113479044, 0.8864460946865975, 0.8886824621762883, 0.8860675676103131, 0.8869511489192998, 0.8875015420497188, 0.8847522123800496, 0.8851613168524683, 0.8933349711570803, 0.8825126817114484, 0.8851758147558078, 0.8897365915481968, 0.8859083542718204, 0.8886640102993105, 0.8815827071117751, 0.8856083794718124, 0.883478505672107, 0.8583280701550907, 0.8845766559505195]"
