Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_309,-7.368,-5.753,-7.368,GOOD
ligand_310,-6.34,-4.84,-6.34,OTHERS
ligand_311,-8.758,-5.887,-8.758,GOOD
ligand_312,-5.261,-4.207,-5.261,OTHERS
ligand_313,-6.721,-4.924,-6.721,OTHERS
ligand_314,-7.682,-5.007,-7.682,GOOD
ligand_315,-6.588,-4.757,-6.588,OTHERS
ligand_316,-6.958,-5.584,-6.958,OTHERS
ligand_317,-6.941,-5.134,-6.941,OTHERS
ligand_318,-6.577,-5.085,-6.577,OTHERS
ligand_319,-6.28,-5.092,-6.28,OTHERS
ligand_31,-9.259,-6.46,-9.259,EXCELLENT
ligand_320,-7.606,-5.664,-7.606,GOOD
ligand_321,-6.825,-5.343,-6.825,OTHERS
ligand_322,-6.695,-5.297,-6.695,OTHERS
ligand_323,-7.978,-5.532,-7.978,GOOD
ligand_324,-7.772,-5.618,-7.772,GOOD
ligand_325,-6.873,-5.194,-6.873,OTHERS
ligand_326,-6.534,-4.808,-6.534,OTHERS
ligand_327,-6.479,-5.202,-6.479,OTHERS
ligand_328,-7.49,-5.37,-7.49,GOOD
ligand_329,-5.742,-5.001,-5.742,OTHERS
ligand_32,-7.281,-5.203,-7.281,GOOD
ligand_330,-4.77,-3.597,-4.77,OTHERS
ligand_331,-7.743,-6.096,-7.743,GOOD
ligand_333,-7.262,-5.801,-7.262,GOOD
ligand_334,-5.731,-4.547,-5.731,OTHERS
ligand_335,-7.178,-6.178,-7.178,GOOD
ligand_336,-6.999,-4.917,-6.999,OTHERS
ligand_337,-5.485,-5.25,-5.485,OTHERS
ligand_338,-4.068,-3.679,-4.068,OTHERS
ligand_339,-4.423,-3.456,-4.423,OTHERS
ligand_33,-5.73,-4.487,-5.73,OTHERS
ligand_340,-7.83,-5.418,-7.83,GOOD
ligand_341,-5.671,-4.2,-5.671,OTHERS
ligand_342,-6.054,-4.641,-6.054,OTHERS
ligand_343,-6.941,-6.1,-6.941,OTHERS
ligand_344,-4.754,-3.904,-4.754,OTHERS
ligand_345,-7.157,-5.181,-7.157,GOOD
ligand_346,-6.912,-5.02,-6.912,OTHERS
ligand_347,-6.561,-4.664,-6.561,OTHERS
ligand_348,-5.504,-4.078,-5.504,OTHERS
ligand_349,-6.695,-5.017,-6.695,OTHERS
ligand_34,-6.642,-5.315,-6.642,OTHERS
ligand_351,-6.714,-5.557,-6.714,OTHERS
ligand_352,-6.925,-5.889,-6.925,OTHERS
ligand_354,-6.686,-4.941,-6.686,OTHERS
ligand_355,-5.781,-4.465,-5.781,OTHERS
ligand_356,-7.451,-6.061,-7.451,GOOD
ligand_357,-6.94,-5.556,-6.94,OTHERS
ligand_358,-7.47,-6.006,-7.47,GOOD
ligand_359,-7.075,-5.491,-7.075,GOOD
ligand_35,-3.22,-2.772,-3.22,OTHERS
ligand_361,-7.72,-5.448,-7.72,GOOD
ligand_362,-5.846,-4.839,-5.846,OTHERS
ligand_363,-7.449,-5.204,-7.449,GOOD
ligand_364,-5.948,-5.313,-5.948,OTHERS
ligand_365,-9.671,-6.072,-9.671,EXCELLENT
ligand_366,-7.465,-5.476,-7.465,GOOD
ligand_367,-6.465,-4.882,-6.465,OTHERS
ligand_368,-6.802,-5.501,-6.802,OTHERS
ligand_369,-5.915,-4.693,-5.915,OTHERS
ligand_36,-8.517,-6.056,-8.517,GOOD
ligand_370,-5.531,-4.183,-5.531,OTHERS
ligand_371,-7.38,-5.694,-7.38,GOOD
ligand_372,-7.864,-4.93,-7.864,GOOD
ligand_373,-6.326,-4.942,-6.326,OTHERS
ligand_374,-7.144,-5.573,-7.144,GOOD
ligand_375,-9.016,-5.316,-9.016,EXCELLENT
ligand_376,-7.916,-5.173,-7.916,GOOD
ligand_377,-6.665,-5.731,-6.665,OTHERS
ligand_378,-3.42,-2.789,-3.42,OTHERS
ligand_37,-7.112,-5.217,-7.112,GOOD
ligand_380,-7.398,-5.434,-7.398,GOOD
ligand_381,-7.511,-5.876,-7.511,GOOD
ligand_382,-5.505,-4.66,-5.505,OTHERS
ligand_383,-6.304,-4.584,-6.304,OTHERS
ligand_384,-6.192,-4.607,-6.192,OTHERS
ligand_385,-5.211,-4.782,-5.211,OTHERS
ligand_386,-6.57,-4.803,-6.57,OTHERS
ligand_387,-5.257,-4.216,-5.257,OTHERS
ligand_388,-7.484,-4.701,-7.484,GOOD
ligand_389,-6.745,-5.212,-6.745,OTHERS
ligand_38,-6.57,-4.348,-6.57,OTHERS
ligand_390,-7.483,-4.591,-7.483,GOOD
ligand_391,-5.917,-4.45,-5.917,OTHERS
ligand_392,-6.109,-4.044,-6.109,OTHERS
ligand_393,-7.785,-5.583,-7.785,GOOD
ligand_394,-6.288,-5.58,-6.288,OTHERS
ligand_395,-7.881,-6.523,-7.881,GOOD
ligand_396,-7.402,-5.741,-7.402,GOOD
ligand_397,-7.592,-6.407,-7.592,GOOD
ligand_398,-6.882,-4.962,-6.882,OTHERS
ligand_399,-7.632,-5.341,-7.632,GOOD
ligand_39,-6.236,-4.94,-6.236,OTHERS
ligand_3,-6.19,-4.788,-6.19,OTHERS
ligand_401,-7.65,-5.194,-7.65,GOOD
ligand_402,-7.228,-5.803,-7.228,GOOD
ligand_403,-6.835,-4.884,-6.835,OTHERS
ligand_404,-6.313,-4.958,-6.313,OTHERS
ligand_405,-8.26,-6.098,-8.26,GOOD
ligand_406,-7.781,-6.428,-7.781,GOOD
ligand_407,-6.133,-4.352,-6.133,OTHERS
ligand_408,-2.12,-2.1,-2.12,OTHERS
ligand_409,-7.36,-5.793,-7.36,GOOD
ligand_410,-7.516,-6.227,-7.516,GOOD
ligand_411,-4.595,-3.712,-4.595,OTHERS
ligand_412,-5.871,-4.456,-5.871,OTHERS
ligand_413,-5.282,-4.51,-5.282,OTHERS
ligand_414,-6.101,-4.859,-6.101,OTHERS
ligand_416,-8.101,-5.032,-8.101,GOOD
ligand_417,-7.468,-5.822,-7.468,GOOD
ligand_418,-7.364,-5.055,-7.364,GOOD
ligand_419,-6.211,-5.714,-6.211,OTHERS
ligand_41,-6.897,-5.405,-6.897,OTHERS
ligand_420,-7.322,-4.535,-7.322,GOOD
ligand_421,-6.615,-5.3,-6.615,OTHERS
ligand_422,-7.828,-5.759,-7.828,GOOD
ligand_423,-7.287,-5.41,-7.287,GOOD
ligand_424,-8.823,-5.151,-8.823,GOOD
ligand_425,-7.341,-5.258,-7.341,GOOD
ligand_426,-6.324,-4.816,-6.324,OTHERS
ligand_428,-8.251,-5.544,-8.251,GOOD
ligand_429,-7.702,-6.192,-7.702,GOOD
ligand_42,-7.827,-5.567,-7.827,GOOD
ligand_430,-7.268,-6.164,-7.268,GOOD
ligand_431,-7.824,-5.645,-7.824,GOOD
ligand_433,-5.903,-4.801,-5.903,OTHERS
ligand_434,-6.606,-5.629,-6.606,OTHERS
ligand_435,-6.655,-4.887,-6.655,OTHERS
