Compound Names,Smiles,chemical_class,chemical_subclass,np_classifier_class,np_classifier_pathway,np_classifier_superclass
2-hydroxy-6-deacetoxyswietenine,COC(=O)C[C@H]1C(C)(C)C(OC(=O)/C(=C/C)/C)[C@]2(C(=O)[C@]1(C)C1CC[C@@]3(C(C1=C2)CC(=O)O[C@H]3c1ccoc1)C)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
2-hydroxyseneganolide,O=C1O[C@@H](c2ccoc2)[C@]2([C@@H](C1)[C@@]13O[C@]4(C(C1)(O)C(=O)C([C@H]1[C@]4([C@H]3CC2)COC(=O)C1)(C)C)O)C,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
2-hydroxyswietenin,COC(=O)[C@@H]([C@H]1C(C)(C)[C@H](OC(=O)/C(=C/C)/C)[C@]2(C(=O)[C@]1(C)[C@H]1CC[C@@]3([C@H](C1=C2)CC(=O)O[C@H]3c1ccoc1)C)O)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
2-hydroxyswietenine,C/C=C(/OC(=O)[C@H]1C(C)(C)[C@H]([C@H](C(=O)OC)O)[C@@]2(C(=O)[C@@]1(O)C=C1[C@@H]2CC[C@@]2([C@H]1CC(=O)O[C@H]2c1ccoc1)C)C)\C,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
"(2S,2''S)-7,7''-di-O-methyltetrahydroamentoflavone",COc1cc(O)c2c(c1c1cc(ccc1O)C1CC(=O)c3c(O1)cc(cc3O)OC)OC(CC2=O)c1ccc(cc1)O,Flavonoid,Biflavanone,Flavanones,Shikimates and phenylpropanoids,Flavonoids
3beta-acetoxyfuerstione,CC(=O)O[C@H]1CC[C@]2(C(=CC=C3C2=C(O)C(=O)C(=C3)C(O)(C)C)C1(C)C)C,Terpenoid,Diterpenoid,Abeoabietane diterpenoids,Terpenoids,Diterpenoids
3-farnesylindole,C/C(=C\CC1CNc2c1cccc2)/CC/C=C(/CCC=C(C)C)\C,Alkaloid,Indolosequiterpene,Quinoline alkaloids,Terpenoids and alkaloids,Tryptophan alkaloids
3-O-benzoylhinokiol,O=C(c1ccccc1)O[C@H]1CC[C@]2([C@H](C1(C)C)CCc1c2cc(O)c(c1)C(C)C)C,Terpenoid,Diterpenoid,Podocarpane diterpenoids,Terpenoids,Diterpenoids
3-O-benzoylhosloppone,OC1=C2C(=CC=C3[C@]2(C)CC[C@@H](C3(C)C)OC(=O)c2ccccc2)C=C(C1=O)C(C)C,Terpenoid,Diterpenoid,Abeoabietane diterpenoids,Terpenoids,Diterpenoids
3-O-benzoylhosloquinone,O=C(c1ccccc1)O[C@@H]1CC=C2[C@@](C1(C)C)(C)C=CC1=C2C(=O)C(=O)C(=C1)C(C)C,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
