SMARTS	PAINS_Alerts
[#6]-[#6](-[#6])-[#6]1=[#6]-[#6]2=[#6]-[#6]=[#6]3-[#6](-[#6])(-[#6])-[#6]-[#6@H](-[#8]-[#6](=[#8])-[#6]4:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:4)-[#6]-[#6@]-3(-[#6])-[#6]-2=[#6](-[#8])-[#6]-1=[#8]	catechol_A(92)
[#6]-[#6](-[#6])-[#6]1=[#6]-[#6]2=[#6]-[#6]=[#6]3-[#6@@](-[#6])(-[#6]-[#8]-[#6](=[#8])-[#6]4:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:4)-[#6]-[#6]-[#6]-[#6@]-3(-[#6])-[#6]-2=[#6](-[#8])-[#6]-1=[#8]	catechol_A(92)
[#6]-[#8]-[#6]1:[#6]:[#6](-[#8]-[#6]):[#6](-[#6]2:[#6](-[#6]):[#6]:[#6](-[#8]):[#6]3:[#6]:2-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:2-[#6]-3=[#8]):[#6](-[#8]):[#6]:1-[#6](-[#6])=[#8]	quinone_A(370)
[#6]-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6]:[#6](-[#8]):[#6](-[#6]2:[#6](-[#6]):[#6]:[#6](-[#8]):[#6]3:[#6]:2-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:2-[#6]-3=[#8]):[#6]:1-[#8]	quinone_A(370)
[#6]-[#6]1:[#8]:[#6]:[#6]2:[#6]:1-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6]:[#6]:[#6](-[#8]):[#6]:1-[#6]-2=[#8]	quinone_A(370)
[#8]=[#6]1-[#6]2:[#6]:[#8]:[#6](-[#6]-[#8]):[#6]:2-[#6](=[#8])-[#6]2:[#6](-[#8]):[#6]:[#6]:[#6](-[#8]):[#6]:2-1	quinone_A(370)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]2:[#6]:1-[#6](=[#8])-[#6]1:[#6]:[#8]:[#6](-[#6]):[#6]:1-[#6]-2=[#8]	quinone_A(370)
[#6]=[#6]-[#6]-[#6]1:[#6]:[#6](-[#8]):[#6](-[#8]):[#6](-[#8]-[#6]):[#6]:1	catechol_A(92)
[#6]-[#6]1:[#8]:[#6]:[#6]2:[#6]:1-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:1-[#6]-2=[#8]	quinone_A(370)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]2:[#6]:1-[#6](=[#8])-[#6]1:[#6]:[#8]:[#6](-[#6]):[#6]:1-[#6]-2=[#8]	quinone_A(370)
[#6]-[#6](=[#8])-[#8]-[#6]-[#6]1:[#8]:[#6]:[#6]2:[#6]:1-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6]:[#6]:[#6]:[#6]:1-[#6]-2=[#8]	quinone_A(370)
[#6]-[#6](=[#8])-[#8]-[#6]-[#6]1:[#8]:[#6]:[#6]2:[#6]:1-[#6](=[#8])-[#6]1:[#6](-[#8]):[#6]:[#6]:[#6](-[#8]):[#6]:1-[#6]-2=[#8]	quinone_A(370)
[#6]-[#6](-[#6])-[#6]1:[#6](-[#8]):[#6](-[#8]):[#6]:[#6]2:[#6]:1-[#6@@]1(-[#6])-[#6]-[#6]-[#6]-[#6](-[#6])(-[#6])-[#6]-1=[#6](-[#8])-[#6]-2=[#8]	catechol_A(92)
[#6]-[#6]1(-[#6])-[#6]-[#6]-[#6]-[#6@]2(-[#6])-[#6]3:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:[#6]:3-[#6]-[#6]-[#6@H]-1-2	catechol_A(92)
[#6]-[#6](-[#6])-[#6]1:[#6](-[#8]):[#6](-[#8]):[#6]:[#6]2:[#6]:1-[#6]-[#6]-[#6@@H]1-[#6](-[#6])(-[#6])-[#6]-[#6]-[#6]-[#6@]-2-1-[#6]	catechol_A(92)
[#6]-[#6]1(-[#6])-[#6]=[#6]-[#6]2:[#6](:[#6]:[#6](-[#8]):[#6]3:[#6](=[#8]):[#6]:[#6](-[#6]4:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:4):[#8]:[#6]:2:3)-[#8]-1	catechol_A(92)
[#6]-[#8]-[#6]1:[#6]:[#6]2:[#6](=[#8]):[#8]:[#6]3:[#6](-[#8]-[#6]):[#6](-[#8]-[#6@@H]4-[#8]-[#6@H](-[#6]-[#8])-[#6@@H](-[#8])-[#6@H](-[#8]-[#6](=[#8])-[#6]5:[#6]:[#6](-[#8]):[#6](-[#8]):[#6](-[#8]):[#6]:5)-[#6@H]-4-[#8]):[#6]:[#6]4:[#6](=[#8]):[#8]:[#6](:[#6]:1-[#8]-[#6]):[#6]:2:[#6]:3:4	catechol_A(92)
[#6]-[#6]1:[#6]:[#6](-[#8]):[#6]2:[#6](:[#6]:1)-[#6@@H](-[#6]1:[#6]:[#6]:[#6]3:[#6](:[#6]:1-[#8])-[#6](=[#8])-[#6]1:[#6](-[#6]-3=[#8]):[#6](-[#6]):[#6](:[#6]:[#6]:1-[#8])-[#6])-[#6]1:[#6](-[#6]-2=[#8]):[#6](-[#8]):[#6]:[#6]:[#6]:1	quinone_A(370)
[#6]/[#6]=[#6]1\[#6]-[#7]2-[#6]-[#6]-[#6]3:[#6](-[#6@@H]-2-[#6]-[#6@@H]-1-[#6]-[#6]1:[#7]:[#6]:[#6]:[#6]2:[#6]:1:[#7H]:[#6]1:[#6]:2:[#6]:[#6](:[#6]:[#6]:1)-[#8]):[#7H]:[#6]1:[#6]:3:[#6]:[#6]:[#6]:[#6]:1	indol_3yl_alk(461)
[#6]/[#6](=[#6]\[#6]-[#6]1=[#6]-[#6](=[#8])-[#6]=[#6](-[#6]-1=[#8])-[#6]1:[#8]:[#6]2:[#6](:[#6]:1):[#6]:[#6](:[#6]:[#6]:2-[#6]/[#6]=[#6](/[#6]-[#6]-[#6]=[#6](-[#6])-[#6])-[#6])-[#8])-[#6]-[#6]-[#6]=[#6](-[#6])-[#6]	quinone_A(370)
[#8]=[#6](-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#8]-[#6@@H]1-[#6]-[#6]=[#6]2-[#6@@](-[#6]-1(-[#6])-[#6])(-[#6])-[#6]=[#6]-[#6]1=[#6]-2-[#6](=[#8])-[#6](=[#8])-[#6](=[#6]-1)-[#6](-[#6])-[#6]	imine_one_A(321); quinone_D(2)
[#8]-[#6]-[#6](-[#6]1:[#6]:[#6]2-[#6](=[#8])-[#6](=[#6]3-[#6@@](-[#6]:2:[#6](:[#6]:1-[#8])-[#8])(-[#6])-[#6]-[#6]-[#6]-[#6]-3(-[#6])-[#6])-[#8])-[#6]	catechol_A(92)
[#8]-[#6]1=[#6]2-[#6](-[#6])(-[#6])-[#6]-[#6]-[#6]-[#6@@]-2(-[#6]2:[#6](-[#6]-1):[#6]:[#6](-[#6](-[#6])-[#6]):[#6](:[#6]:2-[#8])-[#8])-[#6]	catechol_A(92)
[#6]-[#8]-[#6]1:[#6]:[#6](-[#8]):[#6]2:[#6](:[#6]:1):[#8]:[#6](:[#6]:[#6]:2=[#8])-[#6]1:[#6]:[#6]:[#6](:[#6](:[#6]:1)-[#8])-[#8]	catechol_A(92)
[#6]-[#6]1:[#6]:[#6](-[#8]):[#6]2:[#6](:[#6]:1)-[#6](-[#8])(-[#6]1:[#6]:[#6](-[#8]):[#6]3:[#6](:[#6]:1)-[#6](=[#8])-[#6]1:[#6](-[#6]-3=[#8]):[#6](-[#8]):[#6]:[#6](:[#6]:1-[#8])-[#6])-[#6]1:[#6](-[#6]-2=[#8]):[#6](-[#8]):[#6]:[#6]:[#6]:1	quinone_A(370)
[#6]-[#6]1:[#6]:[#6](-[#8]):[#6]2:[#6](:[#6]:1)-[#6](=[#8])-[#6]1:[#6](-[#6]-2=[#8]):[#6](-[#8]):[#6]:[#6]:[#6]:1	quinone_A(370)
[#6]-[#8]-[#6](=[#8])-[#6](-[#6]1=[#6]-[#6](=[#8])-[#6]=[#6](-[#6]-1=[#8])-[#6]/[#6]=[#6](/[#6]-[#6]-[#6]=[#6](-[#6])-[#6])-[#6])-[#6](-[#6]1=[#6]-[#6](=[#8])-[#6]=[#6](-[#6]-1=[#8])-[#6]/[#6]=[#6](/[#6]-[#6]-[#6]=[#6](-[#6])-[#6])-[#6])-[#6](=[#8])-[#8]-[#6]	quinone_A(370)
[#8]-[#6]1:[#6]:[#6]2-[#8]-[#6@@H](-[#6]-[#6](=[#8])-[#6]:2:[#6](:[#6]:1)-[#8])-[#6]1:[#6]:[#6]:[#6](:[#6](:[#6]:1)-[#8])-[#8]	catechol_A(92)
[#6]/[#6](=[#6]\[#6]-[#6]1=[#6]-[#6](=[#8])-[#6]=[#6](-[#6]-1=[#8])-[#6]1:[#8]:[#6]2:[#6](:[#6]:1):[#6]:[#6](:[#6]:[#6]:2-[#6]/[#6]=[#6](/[#6]-[#6]-[#6]=[#6](-[#6])-[#6])-[#6])-[#8])-[#6]-[#6]-[#6]=[#6](-[#6])-[#6]	quinone_A(370)
[#6]-[#8]-[#6](=[#8])-[#6](-[#6]1=[#6]-[#6](=[#8])-[#6]=[#6](-[#6]-1=[#8])-[#6]/[#6]=[#6](/[#6]-[#6]-[#6]=[#6](-[#6])-[#6])-[#6])-[#6](-[#6]1=[#6]-[#6](=[#8])-[#6]=[#6](-[#6]-1=[#8])-[#6]/[#6]=[#6](/[#6]-[#6]-[#6]=[#6](-[#6])-[#6])-[#6])-[#6](=[#8])-[#8]-[#6]	quinone_A(370)
[#6]-[#8]-[#6]1:[#7]:[#6]2:[#6](-[#7]-[#6]3:[#6]:[#6](-[#6]-[#7]4-[#6]-[#6]-[#6]-[#6]-4):[#6](-[#8]):[#6](-[#6]-[#7]4-[#6]-[#6]-[#6]-[#6]-4):[#6]:3):[#6]3:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:3:[#7]:[#6]:2:[#6]:[#6]:1	mannich_A(296)
[#8]-[#6]1:[#6]:[#6]2:[#6](:[#6](-[#8]):[#6]:1):[#6](=[#8]):[#6](-[#8]):[#6](:[#8]:2)-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:1	catechol_A(92)
[#6]-[#6](=[#8])-[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6]1:[#6]:[#6]:[#6](-[#6]-[#7](-[#6@@H](-[#6]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6](=[#8])-[#7]2-[#6]-[#6]-[#7](-[#6]-[#6]3:[#6]:[#6]:[#6](:[#6]:[#6]:3)-[#6]#[#7])-[#6]-[#6]-2)-[#6](=[#8])/[#6]=[#6]/[#6]2:[#6]:[#6]:[#6](:[#6]:[#6]:2)-[#6](-[#6])(-[#6])-[#6]):[#6]:[#6]:1	anil_di_alk_D(198); anil_di_alk_E(186)
[#6]-[#6](-[#6])(-[#6])-[#7]-[#6]-[#6]1:[#6](-[#8]):[#6](:[#6]:[#6](:[#6]:1)-[#6](-[#6])(-[#6])-[#6])-[#6]1:[#6]:[#7]:[#6](:[#6](-[#9]):[#6]:1)-[#6](-[#9])(-[#9])-[#9]	mannich_A(296)
[#6]-[#7](-[#6])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](-[#8])(-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7](-[#6])-[#6])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7](-[#6])-[#6]	anil_di_alk_D(198); anil_di_alk_F(14)
[#6]-[#6]-[#8]-[#6](=[#8])-[#6]1=[#6](-[#7]=[#6]2:[#16]:[#6](=[#6]-[#6]3:[#6]:[#6](-[#6]):[#7](:[#6]:3-[#6])-[#6]3:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:3):[#6](=[#8]):[#7]:2-[#6]-1-[#6]1:[#6]:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:1-[#8]-[#6])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1	pyrrole_A(118)
[#6]-[#6]-[#6]1(-[#6])-[#6]-[#6](-[#6]-[#6]-[#7]-[#6]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#8])(-[#6]-[#6]-[#8]-1)-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1	mannich_A(296)
[#6]-[#6]1:[#6]:[#6](-[#6]=[#6]2-[#16]-[#6](=[#7]-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3)-[#7](-[#6]3-[#6]-[#6]-[#6]-[#6]-3)-[#6]-2=[#8]):[#6](-[#6]):[#7]:1-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1	pyrrole_A(118)
[#6]-[#7](-[#6])-[#6]-[#6]-[#6]-[#7]-[#6]1:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2	amino_acridine_A(46)
[#6]12:[#6](-[#6]-[#6](-[#6](-[#8])=[#8])-[#7]-[#6]-1-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1-[#17]):[#6]1:[#6](:[#6]:[#6]:[#6]:[#6]:1):[#7H]:2	indol_3yl_alk(461)
[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]-[#7]-[#6]-[#6]12-[#6]-[#6]3-[#6]-[#6](-[#6]-[#6](-[#6]-3)-[#6]-1)-[#6]-2	mannich_A(296)
[#6]-[#6](-[#6])(-[#6])-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6](-[#6]-[#7]-[#6]2-[#6]-[#6]-[#6]-[#6]-[#6]-2):[#6]:1	mannich_A(296)
[#6]-[#6]-[#8]-[#6](=[#8])-[#6]1:[#6](-[#7]-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#16]:[#6]2:[#6](-[#8]):[#6](-[#6]-[#7](-[#6]-[#6])-[#6]-[#6]):[#6]:[#6]:[#6]:1:2	mannich_A(296)
[#6]-[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6]1:[#6]:[#6]:[#6](-[#7]-[#6]2:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3:[#7]:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:2:3):[#6]:[#6]:1	anil_di_alk_A(478); amino_acridine_A(46)
[#6]-[#7](-[#6])-[#6]1:[#6]:[#6]:[#6](-[#6]=[#6]-[#6]2:[#7]:[#6](=[#8]):[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3:[#8]:2):[#6]:[#6]:1	anil_di_alk_B(251)
[#6](-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]1:[#6](-[#7]=[#7]-[#6]2:[#6](-[#7]-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#6]:[#6]:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:2:3):[#7]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2	azo_A(324)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#7]=[#6]1-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#6](=[#6]-1-[#7]1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#8]	imine_one_A(321); quinone_D(2)
[#6]1-[#6]-[#7](-[#6]-[#6]-[#8]-1)-[#6]1:[#6]:[#6]:[#6](-[#7]-[#6]2:[#6]:[#6]:[#7]:[#6]3:[#6]:[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4:[#6]:[#6]:2:3):[#6]:[#6]:1	anil_di_alk_A(478)
[#7+]1(-[#6]):[#6]2:[#6](:[#6]:[#6]:[#6]:[#6]:2):[#7]:[#6]2:[#6]:[#6]:[#6](-[#7]-[#6]-[#6]-[#8]):[#6]:[#6]:1:2	het_pyridiniums_A(39)
[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]2-[#6](=[#8])-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3-[#6]:2:[#7]:[#7]:1	keto_phenone_A(11)
[#8]-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1-[#6]-[#7]-[#6]1:[#7]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7H]:1	mannich_A(296)
[#6]-[#7](-[#6])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#7]:[#6]2:[#6]:[#6](-[#7]):[#6]:[#6]:[#6]:2:[#7H]:1	anil_di_alk_G(9)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#8]):[#6]:1-[#6]-[#7]1-[#6]-[#6]-[#6]2(-[#6]-[#6]-[#6]-[#7](-[#6]-[#6]3:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:3)-[#6]-2)-[#6]-1	mannich_A(296)
[#6]-[#6]1:[#6](-[#6]):[#7](-[#6]-[#6]2:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:2):[#6]2:[#6]:[#6]:[#6](:[#6]:[#6]:1:2)-[#6](=[#8])-[#7]-[#6]-[#6]1:[#8]:[#6]:[#6]:[#6]:1	indol_3yl_alk(461)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]-[#7]-[#6]2-[#6]-[#6]-[#7](-[#6]-[#6]-2)-[#6]2:[#6]:[#6]:[#6](-[#7]-[#6](=[#8])-[#6]3:[#6]:[#6]:[#6]:[#6](-[#17]):[#6]:3):[#6]:[#6]:2):[#6]:[#6]:1-[#8]-[#6]	anil_di_alk_A(478)
[#6]-[#6]-[#7](-[#6]-[#6])-[#6]1:[#6]:[#6]:[#6](-[#7]-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#16]:2):[#6]:[#6]:1	anil_di_alk_A(478)
