Name,Smiles,standard_smiles
"[(3aS,4S,5S,10Z,11aR)-5-acetyloxy-10-(acetyloxymethyl)-6-formyl-3-methylidene-2-oxo-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-4-yl] (2S)-2-methylbutanoate",C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)[C@H](OC(C)=O)[C@@H](OC(=O)[C@@H](C)CC)[C@@H]12,C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)[C@H](OC(C)=O)[C@@H](OC(=O)C(C)CC)[C@@H]12
"[(3aR,4R,10Z,11aR)-6-formyl-4-hydroxy-3-methylidene-2-oxo-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-10-yl]methyl acetate",C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)C[C@@H](O)[C@@H]12,C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)C[C@@H](O)[C@@H]12
"(1R,4S,5R,8S,9R,12R,13R)-1,5,9-trimethyl-11,14,15-trioxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-one",C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3C[C@@]4(C)CC[C@@H]1[C@]32OO4,CC1C(=O)O[C@@H]2C[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
Cryptolepine,Cn1c2c3ccccc3nc-2cc2ccccc21,Cn1c2c3ccccc3nc-2cc2ccccc21
"5-[(2R,4R)-5-hydroxy-2,4-dimethyl-tetralin-6-yl]-6-(hydroxymethyl)-8-methoxy-naphthalen-1-ol",COc1cc(CO)c(-c2ccc3c(c2O)[C@H](C)C[C@@H](C)C3)c2cccc(O)c12,COc1cc(CO)c(-c2ccc3c(c2O)[C@H](C)C[C@@H](C)C3)c2cccc(O)c12
"(1R,3S)-7-(1-hydroxy-8-methoxy-6-methylnaphthalen-2-yl)-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-8-ol  ",COc1cc(C)cc2ccc(-c3ccc4c(c3O)[C@@H](C)N[C@@H](C)C4)c(O)c12,COc1cc(C)cc2ccc(-c3ccc4c(c3O)[C@@H](C)N[C@@H](C)C4)c(O)c12
" (1R,3S)-5-(5-hydroxy-4-methoxy-2-methylnaphthalen-1-yl)-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-8-ol ",COc1cc(C)c(-c2ccc(O)c3c2C[C@H](C)N[C@@H]3C)c2cccc(O)c12,COc1cc(C)c(-c2ccc(O)c3c2C[C@H](C)N[C@@H]3C)c2cccc(O)c12
"(1R,3S)-7-[2-(hydroxymethyl)-4,5-dimethoxynaphthalen-1-yl]-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-8-ol ",COc1cccc2c(-c3ccc4c(c3O)[C@@H](C)N[C@@H](C)C4)c(CO)cc(OC)c12,COc1cccc2c(-c3ccc4c(c3O)[C@@H](C)N[C@@H](C)C4)c(CO)cc(OC)c12
Dioncophylline A,COc1cccc2c(-c3ccc4c(c3O)[C@@H](C)N[C@H](C)C4)c(C)cc(OC)c12,COc1cccc2c(-c3ccc4c(c3O)[C@@H](C)N[C@H](C)C4)c(C)cc(OC)c12
Dioncopeltine A,COc1cc(CO)c(-c2ccc3c(c2O)[C@@H](C)N[C@H](C)C3)c2cccc(O)c12,COc1cc(CO)c(-c2ccc3c(c2O)[C@@H](C)N[C@H](C)C3)c2cccc(O)c12
"(16S,18R)-7-hydroxy-9-methoxy-16,18-dimethyl-13-oxa-17-azapentacyclo[12.8.0.02,11.03,8.015,20]docosa-1(14),2,4,6,8,10,15(20),21-octaen-12-one",COc1cc2c(=O)oc3c4c(ccc3c2c2cccc(O)c12)C[C@@H](C)N[C@H]4C,COc1cc2c(=O)oc3c4c(ccc3c2c2cccc(O)c12)C[C@@H](C)N[C@H]4C
"8-methoxy-5-[(1S,3R)-8-methoxy-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-7-yl]-6-methylnaphthalen-1-ol",COc1c(-c2c(C)cc(OC)c3c(O)cccc23)ccc2c1[C@H](C)N[C@H](C)C2,COc1c(-c2c(C)cc(OC)c3c(O)cccc23)ccc2c1[C@H](C)N[C@H](C)C2
"(1S,3R)-7-(5-hydroxy-4-methoxy-2-methylnaphthalen-1-yl)-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-8-ol ",COc1cc(C)c(-c2ccc3c(c2O)[C@H](C)N[C@H](C)C3)c2cccc(O)c12,COc1cc(C)c(-c2ccc3c(c2O)[C@H](C)N[C@H](C)C3)c2cccc(O)c12
"(1R,3R)-5-[5-hydroxy-6-[1-hydroxy-4-[(1R,3R)-6-hydroxy-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-5-yl]-8-methoxy-6-methylnaphthalen-2-yl]-4-methoxy-2-methylnaphthalen-1-yl]-1,3-dimethyl-1,2,3,4-tetrahydroisoquinoline-6,8-diol",COc1cc(C)cc2c(-c3c(O)ccc4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5c(O)cc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12,COc1cc(C)cc2c(-c3c(O)ccc4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5c(O)cc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12
"(1R,3R)-5-[4-hydroxy-3-[1-hydroxy-5-[(1R,3R)-8-hydroxy-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-5-yl]-8-methoxy-6-methylnaphthalen-2-yl]-5-methoxy-7-methylnaphthalen-1-yl]-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-8-ol ",COc1cc(C)cc2c(-c3ccc(O)c4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5ccc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12,COc1cc(C)cc2c(-c3ccc(O)c4c3C[C@@H](C)N[C@@H]4C)cc(-c3ccc4c(-c5ccc(O)c6c5C[C@@H](C)N[C@@H]6C)c(C)cc(OC)c4c3O)c(O)c12
"(1R,3R)-7-(4,5-dimethoxy-2-methylnaphthalen-1-yl)-5-[(1R,3R)-7-(4,5-dimethoxy-2-methylnaphthalen-1-yl)-8-hydroxy-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-5-yl]-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-8-ol ",COc1cccc2c(-c3cc(-c4cc(-c5c(C)cc(OC)c6c(OC)cccc56)c(O)c5c4C[C@@H](C)N[C@@H]5C)c4c(c3O)[C@@H](C)N[C@H](C)C4)c(C)cc(OC)c12,COc1cccc2c(-c3cc(-c4cc(-c5c(C)cc(OC)c6c(OC)cccc56)c(O)c5c4C[C@@H](C)N[C@@H]5C)c4c(c3O)[C@@H](C)N[C@H](C)C4)c(C)cc(OC)c12
"(1R,3R)-7-[5-hydroxy-6-[1-hydroxy-6-[(S)-hydroxy-[(1R,3R)-7-hydroxy-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-6-yl]methyl]-8-methoxynaphthalen-2-yl]-2-(hydroxymethyl)-4-methoxynaphthalen-1-yl]-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-8-ol ",COc1cc([C@H](O)c2cc3c(cc2O)[C@@H](C)N[C@H](C)C3)cc2ccc(-c3ccc4c(-c5ccc6c(c5O)[C@@H](C)N[C@H](C)C6)c(CO)cc(OC)c4c3O)c(O)c12,COc1cc([C@H](O)c2cc3c(cc2O)[C@@H](C)N[C@H](C)C3)cc2ccc(-c3ccc4c(-c5ccc6c(c5O)[C@@H](C)N[C@H](C)C6)c(CO)cc(OC)c4c3O)c(O)c12
Punicalagin,O=C1O[C@@H]2[C@@H](OC(=O)c3cc(O)c(O)c(O)c3-c3c1cc(O)c(O)c3O)[C@@H](O)O[C@@H]1COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c4oc(=O)c5c(c(O)c(O)c6oc(=O)c3c4c65)-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]21,O=C1O[C@@H]2[C@@H](OC(=O)c3cc(O)c(O)c(O)c3-c3c1cc(O)c(O)c3O)[C@@H](O)O[C@@H]1COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(=O)c4oc(O)c5c(c(O)c(=O)c6oc(O)c3c4c56)-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]21
"(5aR,7S,9aS,9bS)-9b-hydroxy-7,9a-dimethyl-6-methylidene-1,5,5a,7,8,9-hexahydrobenzo[e][2]benzofuran-3-one",C=C1[C@H]2CC=C3C(=O)OC[C@]3(O)[C@@]2(C)CC[C@@H]1C,C=C1[C@H]2CC=C3C(=O)OC[C@]3(O)[C@@]2(C)CC[C@@H]1C
" (1R,5aR,7S,9aS,9bS)-1,9b-dihydroxy-7,9a-dimethyl-6-methylidene-1,5,5a,7,8,9-hexahydrobenzo[e][2]benzofuran-3-one",C=C1[C@H]2CC=C3C(=O)O[C@@H](O)[C@]3(O)[C@@]2(C)CC[C@@H]1C,C=C1[C@H]2CC=C3C(=O)O[C@@H](O)[C@]3(O)[C@@]2(C)CC[C@@H]1C
"(1S,4S,4aR,6S,8aS)-1,4-dihydroxy-6,8a-dimethyl-5-methylidene-4a,6,7,8-tetrahydro-4H-naphthalene-1,2-dicarbaldehyde ",C=C1[C@@H](C)CC[C@@]2(C)[C@@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O,C=C1[C@@H](C)CC[C@@]2(C)[C@@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O
Cinnamolide,CC1(C)CCC[C@]2(C)[C@H]3COC(=O)C3=CC[C@@H]12,CC1(C)CCC[C@]2(C)[C@H]3COC(=O)C3=CC[C@@H]12
"methyl (5aS,7S,9aS,9bR)-6,6,9a-trimethyl-3-oxo-5,5a,7,8,9,9b-hexahydro-1H-benzo[e]isobenzofuran-7-carboxylate",COC(=O)[C@H]1CC[C@]2(C)[C@H]3COC(=O)C3=CC[C@H]2C1(C)C,COC(=O)C1CC[C@]2(C)[C@H]3COC(=O)C3=CC[C@H]2C1(C)C
Mukaadial,CC1(C)CCC[C@@]2(C)[C@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O,CC1(C)CCC[C@@]2(C)[C@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O
futronolide,CC1(C)CCC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12,CC1(C)CCC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12
"(4R,5aS,7R,9aS)-4-hydroxy-7,9a-dimethyl-6-methylidene-4,5,5a,7,8,9-hexahydro-3H-benzo[g][2]benzofuran-1-one  ",C=C1[C@H](C)CC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12,C=C1[C@H](C)CC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12
Tovopyrifolin C,COc1c(O)cc2oc3c(O)cccc3c(=O)c2c1O,COc1c(O)cc2oc3c(O)cccc3c(=O)c2c1O
Bazouanthrone,CC(C)=CCC1=C(O)C(CC=C(C)C)(CC=C(C)C)c2cc3c(O)c(C)cc(O)c3c(O)c2C1=O,CC(C)=CCC1C(=O)c2c(cc3c(O)c(C)cc(O)c3c2O)C(CC=C(C)C)(CC=C(C)C)C1=O
"(1S,14S)-7,7-dimethyl-6,12,19,21,24-pentaoxahexacyclo[12.10.0.02,11.05,10.015,23.018,22]tetracosa-2,4,8,10,15(23),16,18(22)-heptaen-4-ol  ",CC1(C)C=Cc2c(c(O)cc3c2OC[C@@H]2c4ccc5c(c4O[C@H]32)OCO5)O1,CC1(C)C=Cc2c(c(O)cc3c2OC[C@@H]2c4ccc5c(c4O[C@H]32)OCO5)O1
"(3S)-6-hydroxy-3-(4-hydroxy-1,3-benzodioxol-5-yl)-8,8-dimethyl-2,3-dihydropyrano[2,3-h]chromen-4-one",CC1(C)C=Cc2c(c(O)cc3c2OC[C@H](c2ccc4c(c2O)OCO4)C3=O)O1,CC1(C)C=Cc2c(c(O)cc3c2OCC(c2ccc4c(c2O)OCO4)C3=O)O1
"(7S)-5-hydroxy-7-(4-hydroxy-1,3-benzodioxol-5-yl)-2,2-dimethyl-7,8-dihydropyrano[3,2-g]chromen-6-one ",CC1(C)C=Cc2c(cc3c(c2O)C(=O)[C@@H](c2ccc4c(c2O)OCO4)CO3)O1,CC1(C)C=Cc2c(cc3c(c2O)C(=O)C(c2ccc4c(c2O)OCO4)CO3)O1
"(3S,8R)-3-(2,3-dihydroxy-4-methoxyphenyl)-5-hydroxy-8-methyl-8-(4-methylpent-3-enyl)-2,3-dihydropyrano[2,3-h]chromen-4-one  ",COc1ccc([C@H]2COc3c4c(cc(O)c3C2=O)O[C@](C)(CCC=C(C)C)C=C4)c(O)c1O,COc1ccc(C2COc3c4c(cc(O)c3C2=O)O[C@](C)(CCC=C(C)C)C=C4)c(O)c1O
