Uniprot	Name	Gene_ID	Protein_Classification	Organism	PDB_IDs	DisGeNET_0.06	ChEMBL_First_Publication	Activity_Threshold	Actives	Orthologue_Actives	Inactives	Orthologue_Inactives	Sphere_Exclusion_Inactives	Ratio	Model_ID
Q8T9Z7	Purine nucleoside phosphorylase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2008	100	49	0	0	0	1000	20.4	Q8T9Z7,SE_100
Q8MMZ4	CGMP-dependent protein kinase	N/A	N/A	Plasmodium falciparum	4MYJ	N/A	2012	0.1	44	0	0	0	1000	22.7	Q8MMZ4,SE_0.1
Q965D6	3-oxoacyl-acyl-carrier protein reductase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2006	10	12	0	0	0	1000	83.3	Q965D6,SE_10
Q54A96	Dihydroorotate dehydrogenase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2006	100	365	0	0	0	3650	10.0	Q54A96,SE_100
P25805	Trophozoite cysteine proteinase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2012	10	39	0	0	0	1000	25.6	P25805,SE_10
Q9NBD4	Cysteine protease falcipain-2	N/A	N/A	Plasmodium falciparum	N/A	N/A	2008	10	15	0	0	0	1000	66.7	Q9NBD4,SE_10
Q5EI73	Protein farnesyltransferase (PFT)	N/A	N/A	Plasmodium falciparum	N/A	N/A	2005	0.1	31	0	0	0	1000	32.3	Q5EI73,SE_0.1
P25805	Trophozoite cysteine proteinase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2012	100	42	0	0	0	1000	23.8	P25805,SE_100
Q965D7	Fatty acid synthase	N/A	N/A	Plasmodium falciparum	1Z6B 1ZHG 2OKH 2OKI 3AZ8 3AZ9 3AZA 3AZB	N/A	2006	100	21	0	0	0	1000	47.6	Q965D7,SE_100
Q5EI74	Protein farnesyltransferase (PFT)	N/A	N/A	Plasmodium falciparum	N/A	N/A	2005	0.1	31	0	0	0	1000	32.3	Q5EI74,SE_0.1
O61142	Subtilisin-like protease	N/A	N/A	Plasmodium falciparum	N/A	N/A	2012	10	16	0	0	0	1000	62.5	O61142,SE_10
Q8MMZ4	CGMP-dependent protein kinase	N/A	N/A	Plasmodium falciparum	4MYJ	N/A	2012	10	51	0	0	0	1000	19.6	Q8MMZ4,SE_10
O96935	Zinc aminopeptidase	N/A	N/A	Plasmodium falciparum FcB1/Columbia	3EBG 3EBH 3EBI 3Q43 3Q44 3T8V 4J3B 4K5L 4K5M 4K5N 4K5O 4K5P 4R5T 4R5V 4R5X	N/A	2003	0.1	20	0	0	0	1000	50.0	O96935,SE_0.1
O96935	Zinc aminopeptidase	N/A	N/A	Plasmodium falciparum FcB1/Columbia	3EBG 3EBH 3EBI 3Q43 3Q44 3T8V 4J3B 4K5L 4K5M 4K5N 4K5O 4K5P 4R5T 4R5V 4R5X	N/A	2003	100	59	0	0	0	1000	16.9	O96935,SE_100
Q3HTL5	Falcipain 2B	N/A	N/A	Plasmodium falciparum	N/A	N/A	2006	100	11	0	0	0	1000	90.9	Q3HTL5,SE_100
P62344	Calcium-dependent protein kinase 1	812762	N/A	Plasmodium falciparum (isolate 3D7)	N/A	N/A	N/A	100	25	0	1000	0	0	40.0	P62344_100
Q25856	Glucose-6-phosphate 1-dehydrogenase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2012	10	15	0	0	0	1000	66.7	Q25856,SE_10
Q8I6Z5	Plasmepsin V	814104	N/A	Plasmodium falciparum (isolate 3D7)	N/A	N/A	2014	10	27	0	0	0	1000	37.0	Q8I6Z5,SE_10
Q9XYC7	Histone deacetylase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2009	100	31	0	1	0	999	32.3	Q9XYC7,SE_100
Q8II92	dUTP pyrophosphatase	810829	N/A	Plasmodium falciparum 3D7	1VYQ 2Y8C 3T60 3T64 3T6Y 3T70	N/A	2005	100	52	0	0	0	1000	19.2	Q8II92,SE_100
P61076	Thioredoxin reductase	813514	N/A	Plasmodium falciparum 3D7	4J56 4J57	N/A	2006	100	10	0	0	0	1000	100.0	P61076,SE_100
Q9XYC7	Histone deacetylase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2009	10	31	0	1	0	999	32.3	Q9XYC7,SE_10
Q5EI74	Protein farnesyltransferase (PFT)	N/A	N/A	Plasmodium falciparum	N/A	N/A	2005	10	35	0	0	0	1000	28.6	Q5EI74,SE_10
P46925	Plasmepsin 2	N/A	N/A	Plasmodium falciparum	1J8J 1LEE 1LF2 1LF3 1LF4 1M43 1ME6 1PFZ 1SME 1W6H 1W6I 1XDH 1XE5 1XE6 2BJU 2BL3 2IGX 2IGY 2R9B 3F9Q 4CKU	N/A	1998	10	542	0	0	0	5420	10.0	P46925,SE_10
P39898	Plasmepsin 1	N/A	N/A	Plasmodium falciparum	1LCR 1LDU 3QRV 3QS1	N/A	2000	100	173	0	0	0	1730	10.0	P39898,SE_100
O97467	Hexose transporter 1	N/A	N/A	Plasmodium falciparum	N/A	N/A	N/A	100	432	0	0	0	4320	10.0	O97467,SE_100
Q965D7	Fatty acid synthase	N/A	N/A	Plasmodium falciparum	1Z6B 1ZHG 2OKH 2OKI 3AZ8 3AZ9 3AZA 3AZB	N/A	2006	10	13	0	0	0	1000	76.9	Q965D7,SE_10
Q8I2J3	M18 aspartyl aminopeptidase	813594	N/A	Plasmodium falciparum 3D7	4EME	N/A	N/A	10	124	0	1240	0	0	10.0	Q8I2J3_10
Q54A96	Dihydroorotate dehydrogenase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2006	10	293	0	0	0	2930	10.0	Q54A96,SE_10
Q54A96	Dihydroorotate dehydrogenase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2006	0.1	80	0	0	0	1000	12.5	Q54A96,SE_0.1
Q08210	Dihydroorotate dehydrogenase (quinone), mitochondrial	3885966	N/A	Plasmodium falciparum (isolate 3D7)	1TV5 3I65 3I68 3I6R 3O8A 3SFK 4CQ8 4CQ9 4CQA 4ORM	N/A	2016	0.1	12	0	5	0	995	83.3	Q08210,SE_0.1
Q9NAW4	Cysteine protease falcipain-3	N/A	N/A	Plasmodium falciparum	3BPM 3BWK	N/A	2008	10	35	0	0	0	1000	28.6	Q9NAW4,SE_10
O77078	Beta-ketoacyl-ACP-synthase III	N/A	N/A	Plasmodium falciparum	N/A	N/A	2008	10	10	0	0	0	1000	100.0	O77078,SE_10
P62344	Calcium-dependent protein kinase 1	812762	N/A	Plasmodium falciparum (isolate 3D7)	N/A	N/A	N/A	10	25	0	1000	0	0	40.0	P62344_10
P39898	Plasmepsin 1	N/A	N/A	Plasmodium falciparum	1LCR 1LDU 3QRV 3QS1	N/A	2000	0.1	70	0	0	0	1000	14.3	P39898,SE_0.1
Q8II92	dUTP pyrophosphatase	810829	N/A	Plasmodium falciparum 3D7	1VYQ 2Y8C 3T60 3T64 3T6Y 3T70	N/A	2005	10	35	0	0	0	1000	28.6	Q8II92,SE_10
Q5EI73	Protein farnesyltransferase (PFT)	N/A	N/A	Plasmodium falciparum	N/A	N/A	2005	100	35	0	0	0	1000	28.6	Q5EI73,SE_100
P05227	Histidine-rich protein	N/A	N/A	Plasmodium falciparum	1L8M	N/A	1999	10	50	0	0	0	1000	20.0	P05227,SE_10
Q965D5	Enoyl-acyl-carrier protein reductase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2005	10	88	0	0	0	1000	11.4	Q965D5,SE_10
Q965D5	Enoyl-acyl-carrier protein reductase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2005	100	125	0	0	0	1250	10.0	Q965D5,SE_100
Q9N623	Chloroquine resistance transporter	N/A	N/A	Plasmodium falciparum	N/A	N/A	2011	100	12	0	0	0	1000	83.3	Q9N623,SE_100
P90584	Protein kinase Pfmrk	N/A	N/A	Plasmodium falciparum	N/A	N/A	2001	100	89	0	0	0	1000	11.2	P90584,SE_100
Q8I2J3	M18 aspartyl aminopeptidase	813594	N/A	Plasmodium falciparum 3D7	4EME	N/A	N/A	100	132	0	1320	0	0	10.0	Q8I2J3_100
Q8IL32	HSP90	811999	N/A	Plasmodium falciparum 3D7	1Y6Z 3IED	N/A	N/A	100	849	0	0	0	8490	10.0	Q8IL32,SE_100
Q8IL11	M17 leucyl aminopeptidase	812021	N/A	Plasmodium falciparum 3D7	3KQX 3KQZ 3KR4 3KR5 3T8W 4K3N 4R6T 4R76 4R7M	N/A	N/A	100	791	0	7910	0	0	10.0	Q8IL11_100
