seed_smiles,max_tanimoto_anpdb
CC(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(C)C(=CC[C@H]2c2ccoc2)[C@]2(C)C(=O)C[C@H]3C(C)(C)O[C@H]4CC(=O)C[C@]43[C@@H]12,1.0
CC(=O)O[C@@H]1[C@@H]2[C@@]34CC(=O)C[C@@H]3OC(C)(C)[C@@H]4CC(=O)[C@@]2(C)[C@@]23O[C@@H]2C[C@@H](c2ccoc2)[C@]3(C)[C@H]1OC(C)=O,1.0
CC(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(C)C(=CC[C@H]2c2ccoc2)[C@]2(C)[C@H](OC(C)=O)C[C@H]3C(C)(C)O[C@H]4CC(=O)C[C@]43[C@@H]12,0.7606
CC(C)=CCc1cc(C=CC(=O)c2ccc(O)cc2O)cc(O)c1O,1.0
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,1.0
CC[C@H](/C=C/[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,1.0
CC1(C)C(=O)C=C[C@]2(C)OO[C@@](C)(/C=C\C(=O)O)C[C@H]12,0.3239
C/C(=C/CO)C(=O)C[C@@H]1C(C)(C)C(=O)C=C[C@]1(C)O,0.3051
CCCCCCCCCC(=O)OC/C=C(/C)C(=O)C[C@@H]1C(C)(C)C(=O)C=C[C@]1(C)O,0.3462
COC(=O)C=Cc1ccc(O)cc1,1.0
CC(C)[C@@]12C=C3CC[C@H]4[C@](C)(CO)CCC[C@]4(C)[C@]3(CC1)OO2,1.0
CC(C)=CCc1c(O)cc2c(c1O)C(=O)[C@H]1[C@@H](C=C(O)C(=O)C1(CC=C(C)C)CC=C(C)C)O2,1.0
C[C@H](O)Cc1ccc(O)c(O)c1C(=O)O,0.5161
C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C(=O)C(NC=O)=CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,0.5238
COc1ccc2c(=O)c3cccc(O)c3oc2c1,1.0
O=C(c1cc(O)ccc1O)c1c(O)cccc1O,0.5517
COc1cccc2c(=O)c3ccc(O)cc3oc12,1.0
C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(/C=O)CC=O,0.6102
CC1(C)CCC[C@]2(C)[C@H]3CC=C(C=O)C[C@H](CO)[C@]3(C=O)CC[C@@H]12,0.4211
C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)[C@H](O)[C@H](O)[C@H]1O,1.0
CC1(C)CCC[C@]2(C)[C@H]3CC=C(C=O)C[C@H](CCO)[C@]3(C=O)CC[C@@H]12,0.4068
COc1cc2[nH]c3ccccc3c(=O)c2c(O)c1OC,1.0
C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)C(=O)O,0.6379
C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC=C(C=O)C=O,0.75
C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1Cc1occc1C=O,0.4754
COC(=O)C[C@@]1(C/C=C(\C)CCC=C(C)C)C[C@H](O)C=CC1=O,0.3676
CC1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C[C@@H](CC[C@H]12)[C@@](C)(O)C3,1.0
C=C1[C@@H]2CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)O)[C@H]4CC[C@]3(C2)[C@H]1OC(C)=O,1.0
C=C1[C@@H]2CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)O)[C@H]4CC[C@]3(C2)[C@H]1O,1.0
C[C@H]1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1[C@@H]3O,0.6078
C[C@@H]1[C@@H]2CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)O)[C@H]4CC[C@]3(C2)[C@H]1O,0.6078
C=C[C@@H]1CN2CCc3c([nH]c4ccc(O)cc34)[C@@H]2C[C@H]1CCOC(C)=O,1.0
C=C1C(=O)C=C[C@]2(C)C[C@H]3C(=C)C(=O)O[C@@H]3C[C@H]12,0.5102
C=C(C)C(=O)O[C@H]1C[C@H](C)C2=CC[C@@](C)(/C=C3/OC(=O)C(COC(C)=O)=C31)O2,0.3086
CC(=O)OCC1=C2/C(=C\[C@]3(C)CC=C(O3)[C@@H](C)C[C@@H]2OC(=O)/C=C(\C)COC(C)=O)OC1=O,0.2941
C=C(CO)C(=O)O[C@H]1C/C(COC(C)=O)=C\CC/C(C=O)=C\[C@H]2OC(=O)C(=C)[C@H]12,0.6081
