method,seed,smiles,mds_x,mds_y
ga,7,CC(C)(C)C(C)(CO)Nc1ccc2ccccc2n1,-0.24768,0.26794
ga,8,CN(CC(=O)O)c1ccc2ccccc2n1,0.12048,0.44511
ga,9,COC(c1ccccc1)(C1(C)CCSC1)C(C)(O)c1cnoc1,-0.3288,-0.4309
ga,10,c1ncc(C(c2ccoc2)C2CCNCC2)cn1,0.39485,-0.60911
ga,11,COCC1(Nc2ccc3ccccc3n2)CCCN2CCCC21C,-0.53913,0.08589
ga,12,CN(CC(=O)O)c1ccc2ccccc2n1,0.12048,0.44511
ga,13,CCC(C)(c1ccncc1)C1(C)CCOC1,-0.51593,-0.35599
ga,14,CC(O)C(CC(C)(C)C)(c1ccsc1)N(C)C,0.38015,-0.14135
ga,15,CC(CN)C(C)(c1ccsc1)C1(C)CCSC1,-0.05269,-0.37092
ga,16,COCC1(Nc2ccc3ccccc3n2)CCCN2CCCC21C,-0.53913,0.08589
ga,17,CC(O)C(c1ccsc1)N(C)C,0.62362,-0.05726
ga,18,CC(N)(C1CCOC1)C1(Cc2ccsc2)CCSC1,-0.13964,-0.63288
ga,19,CC(C)C(C)(O)C(c1cnsc1)C(C)(O)c1ccoc1,0.47941,-0.37357
