GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
361,9.92,18.22,9.64,0.0,0.0,0.0,-1.43,-0.34,5.3,-2.25,-10.12,2.76,39.06,-7.35,31.71
371,6.81,20.49,13.73,0.0,0.0,0.0,-1.7,1.43,6.73,-2.59,-10.32,2.74,44.9,-7.58,37.32
381,8.46,17.84,7.47,0.0,0.0,0.0,0.27,1.9,8.47,-2.88,-10.78,2.7,41.54,-8.08,33.45
391,7.4,17.53,10.05,0.0,0.0,0.0,-2.24,-0.66,7.05,-2.76,-8.96,2.65,36.36,-6.31,30.06
401,6.45,19.56,10.94,0.0,0.0,0.0,-0.57,0.03,7.02,-3.69,-9.06,2.74,39.73,-6.32,33.41
411,3.04,22.45,7.73,0.0,0.0,0.0,-1.61,-0.44,7.45,-2.85,-8.98,2.75,35.76,-6.23,29.53
421,6.48,17.63,13.3,0.0,0.0,0.0,-0.75,0.07,7.73,-3.15,-9.33,2.76,41.31,-6.57,34.74
431,4.94,17.27,8.5,0.0,0.0,0.0,-1.32,-2.89,8.11,-0.12,-8.77,2.72,34.5,-6.05,28.45
441,4.07,19.3,12.23,0.0,0.0,0.0,-1.85,-0.4,7.07,-2.9,-9.2,2.75,37.51,-6.45,31.06
451,3.36,16.53,9.16,0.0,0.0,0.0,-1.54,0.23,6.45,-6.14,-7.47,2.74,28.05,-4.73,23.32
461,6.97,19.69,12.71,0.0,0.0,0.0,-1.79,1.41,6.44,-6.1,-8.14,2.7,39.34,-5.44,33.9
471,15.57,19.67,11.27,0.0,0.0,0.0,0.51,1.9,4.87,-6.35,-8.82,2.69,47.45,-6.12,41.32
481,3.91,24.0,10.9,0.0,0.0,0.0,-1.39,1.04,7.69,-5.34,-8.16,2.69,40.81,-5.48,35.33
491,6.8,23.19,10.75,0.0,0.0,0.0,-0.83,1.62,7.45,-6.13,-8.49,2.74,42.85,-5.75,37.09
501,7.57,20.6,11.92,0.0,0.0,0.0,-1.42,1.6,7.34,-5.95,-8.5,2.71,41.66,-5.78,35.88
511,3.8,17.84,16.23,0.0,0.0,0.0,-2.03,1.7,7.51,-5.42,-8.58,2.74,39.64,-5.84,33.79
521,7.94,22.02,10.7,0.0,0.0,0.0,-1.52,1.81,6.33,-6.07,-8.84,2.68,41.22,-6.16,35.06
531,7.17,19.05,10.59,0.0,0.0,0.0,-0.85,0.7,9.15,-6.33,-6.98,2.59,39.49,-4.38,35.11
541,6.34,27.81,13.84,0.0,0.0,0.0,-1.67,2.08,6.27,-5.62,-9.35,2.73,49.04,-6.62,42.42
551,10.28,20.56,13.31,0.0,0.0,0.0,0.01,0.47,6.77,-6.31,-7.44,2.71,45.08,-4.73,40.36
561,2.89,19.84,9.03,0.0,0.0,0.0,-0.2,-2.08,9.12,-0.76,-9.23,2.73,37.85,-6.5,31.35
571,6.05,18.44,8.46,0.0,0.0,0.0,-1.22,-1.14,6.66,-2.04,-9.39,2.76,35.2,-6.63,28.57
581,7.73,21.76,9.21,0.0,0.0,0.0,-0.46,-0.36,8.64,-1.33,-9.62,2.74,45.18,-6.88,38.3
591,6.73,23.28,9.98,0.0,0.0,0.0,-0.71,-0.56,6.89,-1.1,-10.32,2.79,44.51,-7.53,36.97
601,6.63,18.07,6.96,0.0,0.0,0.0,-0.87,-1.32,9.68,-0.53,-9.43,2.74,38.62,-6.68,31.94
611,5.0,23.67,8.28,0.0,0.0,0.0,-0.89,-0.75,7.51,-2.1,-9.17,2.76,40.73,-6.41,34.31
621,9.42,20.23,7.89,0.0,0.0,0.0,-1.21,0.89,7.35,-0.55,-11.28,2.76,44.02,-8.52,35.5
631,7.4,19.27,12.47,0.0,0.0,0.0,-1.6,-5.28,6.77,0.47,-8.44,2.8,39.49,-5.64,33.85
641,7.9,18.1,9.38,0.0,0.0,0.0,-1.65,-0.29,6.69,-0.53,-10.84,2.79,39.6,-8.05,31.55
651,9.97,21.86,5.99,0.0,0.0,0.0,-0.58,-1.32,9.08,-2.1,-8.76,2.73,42.9,-6.03,36.87
661,8.83,21.06,9.56,0.0,0.0,0.0,-1.47,-2.19,6.75,-0.51,-9.22,2.68,42.04,-6.54,35.5
671,5.45,19.29,7.5,0.0,0.0,0.0,-1.91,-2.95,10.78,-1.82,-7.73,2.74,36.33,-4.99,31.34
681,5.12,19.57,12.31,0.0,0.0,0.0,-1.74,0.07,7.58,-4.64,-8.1,2.78,38.27,-5.31,32.96
691,5.48,20.97,12.61,0.0,0.0,0.0,-1.16,-4.02,7.57,-0.95,-7.61,2.78,40.49,-4.83,35.66
701,6.22,17.07,11.81,0.0,0.0,0.0,-0.82,-5.14,8.81,0.41,-7.9,2.78,38.35,-5.12,33.23
711,2.73,25.48,13.16,0.0,0.0,0.0,-2.06,-4.11,7.95,-0.35,-7.53,2.77,42.81,-4.76,38.04
721,10.78,17.61,7.86,0.0,0.0,0.0,-1.25,-2.55,5.51,-0.45,-9.01,2.81,37.51,-6.2,31.32
731,9.87,18.64,11.03,0.0,0.0,0.0,-1.28,-2.34,5.82,-1.16,-9.08,2.73,40.59,-6.34,34.24
741,8.55,22.48,10.95,0.0,0.0,0.0,-1.05,-2.65,6.09,-1.07,-8.75,2.8,43.3,-5.95,37.35
751,5.49,15.71,11.87,0.0,0.0,0.0,-1.7,-3.77,9.06,-0.2,-8.66,2.72,36.45,-5.94,30.51
761,9.27,19.69,9.82,0.0,0.0,0.0,-0.7,-2.35,7.14,-0.56,-9.35,2.76,42.31,-6.58,35.73
771,7.37,19.27,12.95,0.0,0.0,0.0,-1.5,-3.63,6.36,-0.67,-8.66,2.81,40.15,-5.85,34.29
781,6.48,23.83,8.74,0.0,0.0,0.0,-0.92,-1.67,8.76,-2.03,-8.48,2.78,43.18,-5.7,37.49
791,6.63,19.57,10.3,0.0,0.0,0.0,-0.82,-2.49,7.08,-1.89,-8.9,2.79,38.38,-6.11,32.28
801,5.89,20.86,8.82,0.0,0.0,0.0,-1.6,1.56,7.5,-5.83,-8.77,2.8,37.19,-5.97,31.22
811,9.17,16.52,7.21,0.0,0.0,0.0,-1.5,2.28,7.05,-6.32,-8.64,2.74,34.42,-5.9,28.53
821,9.1,15.01,11.22,0.0,0.0,0.0,-1.65,-0.15,8.75,-4.46,-8.18,2.69,37.81,-5.49,32.32
831,9.56,21.46,11.51,0.0,0.0,0.0,-1.51,1.43,7.67,-5.9,-9.02,2.8,44.22,-6.22,38.0
841,6.18,15.38,11.85,0.0,0.0,0.0,-0.26,0.19,9.68,-5.95,-7.44,2.8,37.08,-4.65,32.43
851,5.34,20.09,12.41,0.0,0.0,0.0,-1.03,-4.75,8.03,-0.97,-7.37,2.79,39.12,-4.58,34.54
861,3.32,19.2,7.4,0.0,0.0,0.0,-0.59,-2.69,8.54,-1.81,-7.98,2.75,33.38,-5.23,28.15
871,5.0,18.36,8.06,0.0,0.0,0.0,-2.09,-3.97,7.12,-1.35,-7.28,2.77,31.13,-4.5,26.62
881,5.91,16.73,9.23,0.0,0.0,0.0,-1.2,-5.01,7.5,-0.58,-7.35,2.77,32.58,-4.58,28.0
891,3.44,21.74,11.35,0.0,0.0,0.0,-1.65,-4.16,7.9,-0.95,-7.36,2.72,37.67,-4.64,33.03
901,2.21,20.97,8.47,0.0,0.0,0.0,-1.9,-4.02,8.31,-0.01,-8.35,2.76,34.03,-5.59,28.44
911,10.71,21.82,10.34,0.0,0.0,0.0,-2.29,1.83,7.01,-5.65,-8.99,2.68,43.77,-6.31,37.46
921,4.85,20.13,10.81,0.0,0.0,0.0,-1.54,1.58,6.32,-5.4,-8.8,2.7,36.75,-6.1,30.65
931,5.77,16.15,13.12,0.0,0.0,0.0,-0.48,1.62,6.28,-5.25,-8.85,2.68,37.2,-6.17,31.03
941,4.21,20.31,10.94,0.0,0.0,0.0,-0.62,-2.52,8.58,-1.69,-8.08,2.73,39.22,-5.36,33.86
951,9.75,17.86,11.14,0.0,0.0,0.0,-1.37,-0.64,6.23,-2.43,-9.38,2.75,40.54,-6.63,33.9
961,8.1,15.8,7.41,0.0,0.0,0.0,-1.53,-0.62,6.33,-2.36,-9.25,2.74,33.13,-6.51,26.62
971,5.0,18.05,9.01,0.0,0.0,0.0,-1.02,-1.22,8.24,-1.68,-9.49,2.71,36.36,-6.77,29.59
981,5.36,18.13,8.05,0.0,0.0,0.0,-0.41,-1.98,8.13,-1.66,-8.71,2.72,35.63,-5.99,29.64
991,4.58,18.78,10.84,0.0,0.0,0.0,-0.34,-1.94,7.37,-3.26,-7.74,2.75,36.03,-4.99,31.04
1001,7.41,17.16,11.37,0.0,0.0,0.0,-1.0,-3.46,5.61,-1.04,-7.93,2.75,36.04,-5.18,30.86

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,0.0,0.0,-0.0,0.0,0.0,0.0,-10.17,0.6,0.0,-0.0,4.47,-1.75,-9.57,2.72,-6.86
11,-0.0,0.0,0.0,0.0,0.0,0.0,-8.42,1.4,0.0,0.0,3.97,-1.27,-7.02,2.7,-4.32
21,-0.0,-0.0,-0.0,0.0,0.0,0.0,-11.38,-3.85,-0.0,-0.0,9.02,-1.85,-15.23,7.17,-8.06
31,-0.0,-0.0,-0.0,0.0,0.0,0.0,-11.98,-1.82,0.0,0.0,8.03,-1.87,-13.8,6.16,-7.65
41,0.0,-0.0,0.0,0.0,0.0,0.0,-8.42,-8.63,0.0,-0.0,10.99,-1.53,-17.04,9.47,-7.58
51,-0.0,-0.0,-0.0,0.0,0.0,0.0,-14.64,3.49,-0.0,0.0,5.37,-2.54,-11.15,2.83,-8.32
61,-0.0,0.0,-0.0,0.0,0.0,0.0,-14.45,-6.58,0.0,-0.0,11.92,-1.98,-21.03,9.94,-11.09
71,0.0,-0.0,0.0,0.0,0.0,0.0,-17.65,-1.3,-0.0,0.0,9.29,-3.52,-18.95,5.77,-13.18
81,-0.0,-0.0,0.0,0.0,0.0,0.0,-21.26,-7.84,0.0,-0.0,15.33,-3.48,-29.1,11.84,-17.26
91,-0.0,-0.0,-0.0,0.0,0.0,0.0,-20.75,-4.07,-0.0,-0.0,10.05,-3.01,-24.81,7.04,-17.77
101,0.0,0.0,-0.0,0.0,0.0,0.0,-24.0,-6.87,0.0,0.0,14.45,-3.39,-30.86,11.06,-19.81
111,-0.0,0.0,0.0,0.0,0.0,0.0,-20.57,-2.72,0.0,0.0,8.42,-3.27,-23.28,5.15,-18.13
121,0.0,-0.0,0.0,0.0,0.0,0.0,-22.2,-4.02,0.0,-0.0,11.43,-3.34,-26.23,8.09,-18.13
131,-0.0,-0.0,-0.0,0.0,0.0,0.0,-19.52,-4.52,0.0,0.0,10.65,-3.04,-24.04,7.61,-16.44
141,0.0,0.0,0.0,0.0,0.0,0.0,-25.48,-0.79,-0.0,-0.0,8.83,-3.84,-26.28,4.98,-21.29
151,0.0,-0.0,0.0,0.0,0.0,0.0,-18.81,-2.56,-0.0,-0.0,8.53,-3.0,-21.36,5.53,-15.83
161,0.0,0.0,0.0,0.0,0.0,0.0,-22.81,-2.17,-0.0,-0.0,9.79,-3.66,-24.99,6.13,-18.86
171,0.0,-0.0,-0.0,0.0,0.0,0.0,-15.54,5.16,-0.0,0.0,3.74,-2.9,-10.38,0.83,-9.55
181,0.0,0.0,0.0,0.0,0.0,0.0,-21.39,2.92,-0.0,0.0,5.94,-3.68,-18.46,2.26,-16.2
191,-0.0,-0.0,0.0,0.0,0.0,0.0,-22.36,-3.35,-0.0,-0.0,10.29,-3.54,-25.71,6.75,-18.96
201,0.0,-0.0,0.0,0.0,0.0,0.0,-22.71,-4.88,0.0,0.0,11.35,-3.67,-27.58,7.68,-19.91
211,0.0,0.0,-0.0,0.0,0.0,0.0,-26.08,-7.59,-0.0,0.0,16.33,-3.97,-33.67,12.36,-21.32
221,0.0,-0.0,0.0,0.0,0.0,0.0,-20.92,1.43,-0.0,0.0,5.17,-3.31,-19.5,1.86,-17.64
231,0.0,-0.0,0.0,0.0,0.0,0.0,-20.79,-0.61,-0.0,-0.0,7.53,-3.51,-21.4,4.02,-17.38
241,-0.0,-0.0,-0.0,0.0,0.0,0.0,-23.5,0.33,0.0,0.0,6.96,-3.68,-23.17,3.28,-19.89
251,0.0,0.0,0.0,0.0,0.0,0.0,-21.24,1.92,0.0,0.0,6.45,-3.7,-19.33,2.75,-16.57
261,-0.0,-0.0,-0.0,0.0,0.0,0.0,-19.51,-12.89,0.0,0.0,20.66,-3.57,-32.4,17.09,-15.31
271,-0.0,0.0,0.0,0.0,0.0,0.0,-26.17,-12.83,-0.0,0.0,20.6,-4.23,-39.0,16.37,-22.64
281,0.0,-0.0,0.0,0.0,0.0,0.0,-25.24,-13.15,-0.0,-0.0,21.23,-4.17,-38.39,17.06,-21.33
291,-0.0,0.0,-0.0,0.0,0.0,0.0,-23.37,-8.76,0.0,-0.0,16.2,-4.0,-32.14,12.19,-19.94
301,0.0,0.0,-0.0,0.0,0.0,0.0,-25.96,-12.37,-0.0,0.0,19.59,-4.3,-38.33,15.29,-23.05
311,0.0,-0.0,0.0,0.0,0.0,0.0,-25.86,-7.28,0.0,0.0,15.23,-4.06,-33.14,11.17,-21.96
321,-0.0,-0.0,0.0,0.0,0.0,0.0,-24.02,-5.59,0.0,0.0,13.7,-3.87,-29.61,9.82,-19.79
331,-0.0,-0.0,0.0,0.0,0.0,0.0,-21.54,-0.69,-0.0,-0.0,8.61,-3.54,-22.23,5.06,-17.17
341,0.0,-0.0,-0.0,0.0,0.0,0.0,-20.9,-4.84,-0.0,0.0,12.89,-3.3,-25.74,9.6,-16.14
351,-0.0,-0.0,-0.0,0.0,0.0,0.0,-22.92,-6.02,0.0,0.0,14.34,-3.42,-28.94,10.92,-18.02
361,-0.0,0.0,-0.0,0.0,0.0,0.0,-24.44,-8.17,-0.0,-0.0,16.55,-3.82,-32.62,12.74,-19.88
371,0.0,0.0,-0.0,0.0,0.0,0.0,-23.7,2.94,-0.0,-0.0,5.25,-3.43,-20.77,1.83,-18.94
