smiles,mpo,syba,sa,rrs,pns,hypervolume,seed
CCC(CC(CCOC(NCOC(C)=O)c1cnccn1)(CNc1ccc2ccccc2n1)NN(c1ccccc1)C(CC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(C)N(CC(CCCC(COC)NC(N)=O)CC(C)(C)C)C1COCCN1)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)Nc1ccc2ccccc2n1,0.0096,194.1560,3.0000,0.0806,0.0000,0.6380,3
CCCCCCN(C=N)C(OC(C)=O)(C(N)CC1CCN2CCCC2C1)N(C(C)OC)C(OC(CC(CNc1ccc2ccccc2n1)(CC(Nc1ccc2ccccc2n1)C(CNC(=O)NC1CCCC2CCCN21)CC(C)C)NN(c1ccccc1)C(COCC)(C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(Cc1ccccn1)N(C1COC(C(CC)(C(=O)NNC(N)=O)c2cnccn2)CN1)C(CCCCC(COC)NC(=O)NC1CCOC1)C1NCCNC1CCOCCCC)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)C(C)C(CCCC)COC)c1ccoc1)c1cnccn1,0.0042,245.0893,3.0000,0.0611,0.1524,0.6380,3
CCCCCCN(C=N)C(OC(C)=O)(C(N)CC1CCN2CCCC2C1)N(C(C)OC)C(OC(CC(CNc1ccc2ccccc2n1)(CC(Nc1ccc2ccccc2n1)C(CNC(=O)NC1CCCC2CCCN21)(CC(C)C)C(C)CCC)NN(c1ccccc1)C(COCC)(C(C)CCOC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(Cc1ccccn1)N(C1COC(C(CC)(C(=O)NNC(N)=O)c2cnccn2)CN1)C(CCCCC(COC)NC(=O)NC1CCOC1)C1NCCNC1CCOCCCC)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)c1ccoc1)c1cnccn1,0.0042,247.0519,3.0000,0.0575,0.1905,0.6380,3
CCCCCCN(C=N)C(OC(C)=O)(C(N)CC1CCN2CCCC2C1)N(C(C)OC)C(OC(CC(CNc1ccc2ccccc2n1)(CC(Nc1ccc2ccccc2n1)C(CNC(=O)NC1CCCC2CCCN21)(CC(C)C)C(C)CCCC)NN(c1ccccc1)C(COCC)(C(C)CCOC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(Cc1ccccn1)N(C1COC(C(CC)(C(=O)NNC(N)=O)c2cnccn2)CN1)C(CCCCC(COC)NC(=O)NC1CCOC1)C1NCCNC1CCOCCCC)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)c1ccoc1)c1cnccn1,0.0042,246.2480,3.0000,0.0596,0.1905,0.6380,3
CCCCCCC(CCCC)C(CNC(=O)NC1CCCC2CCCN21)(CC(C)C)C(CC(CNc1ccc2ccccc2n1)(CC(OC(c1cnccn1)N(C(C)OC)C(OC(C)=O)(C(N)CC1CCN2CCCC2C1)N(C=N)CCCCCC)c1ccoc1)NN(c1ccccc1)C(COCC)(C(C)CCOC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(Cc1ccccn1)N(C1COC(C(CC)(C(=O)NNC(N)=O)c2cnccn2)CN1)C(CCCCC(COC)NC(=O)NC1CCOC1)C1NCCNC1CCOCCCC)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)Nc1ccc2ccccc2n1,0.0042,252.1632,3.0000,0.0573,0.1905,0.6380,3
CCCCCCN(C=N)C(OC(C)=O)(C(N)CC1CCN2CCCC2C1)N(C(C)OC)C(OC(CC(CC(Nc1ccc2ccccc2n1)C(CNC(=O)NC1CCCC2CCCN21)(CC(C)C)C(C)CCCC)(CN(CCO)c1ccc2ccccc2n1)NN(c1ccccc1)C(COCC)(C(C)CCOC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(Cc1ccccn1)N(C1COC(C(CC)(C(=O)NNC(N)=O)c2cnccn2)CN1)C(CCCCC(COC)NC(=O)NC1CCOC1)C1NCCNC1CCOCCCC)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)c1ccoc1)c1cnccn1,0.0042,239.4033,3.0000,0.0635,0.1524,0.6380,3
CCCCCCN(C=NC(C)C)C(OC(C)=O)(C(N)CC1CCN2CCCC2C1)N(C(C)OC)C(OC(CC(CNc1ccc2ccccc2n1)(CC(Nc1ccc2ccccc2n1)C(CNC(=O)NC1CCCC2CCCN21)(CC(C)C)C(C)CCCC)NN(c1ccccc1)C(COCC)(C(C)CCOC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(Cc1ccccn1)N(C1COC(C(CC)(C(=O)NNC(N)=O)c2cnccn2)CN1)C(CCCCC(COC)NC(=O)NC1CCOC1)C1NCCNC1CCOCCCCN1CCNCC1)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)c1ccoc1)c1cnccn1,0.0042,253.7201,3.0000,0.0556,0.1905,0.6380,3
CCCCOCCC1NCCNC1C(CCCCC(COC)NC(=O)NC1CCOC1)N(C1COC(C(CC)(C(=O)NNC(N)=O)c2cnccn2)CN1)N(Cc1ccccn1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(COC(c1ccco1)C(COCC)(C(C)CCOC)N(NC(CNc1ccc2ccccc2n1)(CC(OC(c1cnccn1)N(C(C)OC)C(OC(C)=O)(C(N)CC1CCN2CCCC2C1)N(C=N)CCCCCCC(CC)CC)c1ccoc1)CC(Nc1ccc2ccccc2n1)C(CNC(=O)NC1CCCC2CCCN21)CC(C)C)c1ccccc1)c1ccc2ccccc2n1)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1,0.0042,251.1881,3.0000,0.0596,0.1524,0.6380,3
CCCCCCN(C=N)C(OC(C)=O)(C(N)CC1CCN2CCCC2C1)N(C(C)OC)C(OC(CC(CNc1ccc2ccccc2n1)(CC(Nc1ccc2ccccc2n1)C(CC(C)C)(CN(C(=O)NC1CCCC2CCCN21)N(C)C)C(C)CCC)NN(c1ccccc1)C(COCC)(C(C)CCOC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(Cc1ccccn1)N(C1COC(C(CC)(C(=O)NNC(N)=O)c2cnccn2)CN1)C(CCCCC(COC)NC(=O)NC1CCOC1)C1NCCNC1CCOCCCC)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)c1ccoc1)c1cnccn1,0.0042,244.9251,3.0000,0.0603,0.1905,0.6380,3
CCCCCCC1CCN2C(NC(=O)N(CC(C)C)CC(CC(C)C)C(CC(CNc3ccc4ccccc4n3)(CC(OC(c3cnccn3)N(C(C)OC)C(OC(C)=O)(C(N)CC3CCN4CCCC4C3)N(C=N)CCCCCC)c3ccoc3)NN(c3ccccc3)C(COCC)(C(C)CCOC)C(OCN(c3ccc4ccccc4n3)C(OC(=O)C(NC(N)=O)NC3CC3C3CCN(C(C)CCCC)C3)(N(Cc3ccccn3)N(C3COC(C(CC)(C(=O)NNC(N)=O)c4cnccn4)CN3)C(CCCCC(COC)NC(=O)NC3CCOC3)C3NCCNC3CCOCCCC)C(c3ccccc3)(c3ccsc3)C(C3CCCO3)C(c3ccccc3)c3ccsc3)c3ccco3)Nc3ccc4ccccc4n3)CCCC12,0.0042,250.5151,3.0000,0.0602,0.1524,0.6380,3
