smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(O)c3)oc2c1,1.9,-7.3,-10.1,8.7,A
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1,6.7,-7.2,-9.6,8.4,A
COc1cc(O)c2c(=O)cc(-c3cc(OC)c(O)c(OC)c3)oc2c1,6.9,-7.3,-9.9,8.6,A
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,6.9,-7.1,-9.6,8.35,A
COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(OC)c1O,3.0,-7.0,-10.2,8.6,A
COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1OC,1.4,-7.2,-9.9,8.55,A
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc2c1,-3.6,-7.4,-10.1,8.75,A
COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)cc3)oc2c1,-2.0,-7.3,-8.0,7.65,B
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1O,8.3,-7.2,-9.3,8.25,A
COc1cc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)ccc1O,6.2,-7.5,-10.2,8.85,A
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,-0.7,-7.6,-10.0,8.8,A
COc1cc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)ccc1O,4.1,-7.3,-9.9,8.6,A
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,9.5,-7.2,-9.6,8.4,A
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1O,7.9,-7.3,-9.8,8.55,A
COc1cc(O)c2c(=O)c(O)c(-c3ccc(OC)c(O)c3)oc2c1,1.5,-7.5,-10.0,8.75,A
COc1cc(OC)c2c(=O)cc(-c3ccccc3)oc2c1,-3.0,-7.0,-9.6,8.3,A
C=C(Cl)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,-0.6,-7.2,-9.9,8.55,A
