smiles,PfDHFR,PfCRT,PfATP4,rrs_score,rrs_class,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,tfp_valid
C=C(C)/C=C/c1ccc2cc[nH]c2c1,-5.8,-5.1,-8.5,,Unknown,1.2151406,2.0,1.4071392,0.8131767,2.2338538,0.30046478,3.0470304,0.17690586,1.1911734,1.263162,1.3351506,True
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,-0.8,-7.6,-10.0,8.8,A,1.9317175149917605,4.0,1.3876794576644895,0.6802153587341309,2.247365474700928,0.3100082576274872,2.9275808334350586,0.3301816582679748,1.1018102169036863,1.3288885354995728,1.383063793182373,True
COc1ccc(C2CC(=O)c3c(OC)c(OC)c(O)c(OC)c3O2)cc1,8.6,-6.4,-7.5,,Unknown,2.0573246,4.0,1.39598,0.59301084,2.5106862,0.43627372,3.103697,0.25796023,1.10099,1.3151776,1.3909032,True
COc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)CC2=O,-3.7,-6.9,-9.9,,Unknown,1.7105892,5.0,1.3892125,0.8133356,2.1390963,0.18364014,2.952432,0.3671721,0.70493746,1.1955259,1.3652202,True
C=CCc1cc(OC)c2c(c1OC)OCO2,-7.6,-5.0,-7.4,7.5,B,1.408299207687378,2.0,1.4054977893829346,0.654079794883728,2.3624427318573,0.300423264503479,3.0165224075317383,0.1749487966299057,0.9756895303726196,1.1189589500427246,1.2622283697128296,True
Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,-6.7,-6.9,-8.0,,Unknown,1.707146,5.0,1.4582429,0.820455,2.178115,0.32434678,2.99857,0.32687607,0.5811248,1.3892643,1.3935918,True
C=CCc1cc2c(c(OC)c1OC)OCO2,-7.0,-4.7,-6.5,,Unknown,1.5176861,2.0,1.3888478,0.5681291,2.5663636,0.3946114,3.1344926,0.19986947,0.95391047,1.0988896,1.2438687,True
CC(C)CNC(=O)/C=C/c1ccc2c(c1)OCO2,0.6,-5.7,-8.9,,Unknown,1.5464151,3.0,1.3845057,0.61453325,2.3272173,0.2563733,2.9417505,0.20026624,0.6820823,0.80376077,1.0941333,True
COc1c(-c2ccc(O)cc2)oc2cc3c(c(O)c2c1=O)C=CC(C)(C)O3,19.7,-7.1,-8.2,7.649999999999999,B,1.802750945091248,4.0,1.3748266696929932,0.8126670718193054,2.2551589012146,0.3399011194705963,3.06782603263855,0.3650147020816803,1.2951959371566772,1.3366215229034424,1.3712708950042725,True
COc1c2ccoc2nc2c(OC)c3c(cc12)OCO3,-8.1,-6.0,-7.3,7.699999999999999,B,1.7651382684707642,4.0,1.4129152297973633,0.797859251499176,2.301111936569214,0.3474141359329223,3.098971128463745,0.1605816781520843,0.9704592227935792,1.1936757564544678,1.3778364658355713,True
COc1cc(OC)c2nc3occc3c(OC)c2c1,-7.1,-5.6,-7.0,7.05,B,1.7561757564544678,4.0,1.397325873374939,0.7657192945480347,2.2808094024658203,0.3095878064632416,3.0465288162231445,0.1885980516672134,0.9003424048423767,1.1994049549102783,1.382653832435608,True
C=CCc1cc(OC)c2c(c1)OCO2,-7.2,-4.7,-7.3,7.25,B,1.008636713027954,2.0,1.388994216918945,0.8916465640068054,2.150913953781128,0.1896951347589492,3.042560577392578,0.1968210786581039,0.9569255709648132,1.100948452949524,1.2449712753295898,True
c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,19.8,-7.0,-10.6,8.8,A,2.074182748794556,6.0,1.3806220293045044,0.8135915398597717,2.260551929473877,0.2888007164001465,3.074143409729004,0.1371644884347915,0.8419119119644165,0.9596203565597534,1.2753710746765137,True
COc1ccc2c(OC)c3ccoc3nc2c1OC,-8.1,-5.5,-6.9,,Unknown,1.7041929,3.0,1.408445,0.62974256,2.4652514,0.4508151,3.0949938,0.16817656,1.1999013,1.3782763,1.3933606,True
COc1cc(C=O)cc(OC)c1O,-8.0,-4.6,-6.5,,Unknown,1.3153484,1.0,1.4111351,0.55201775,2.320936,0.26074502,2.8729537,0.27128837,1.4111351,1.4111351,1.4111351,True
COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,-6.8,-6.0,-8.2,,Unknown,1.3376198,3.0,1.503073,0.5471147,2.8014219,0.647008,3.3485365,0.42071944,0.9836345,1.3795314,1.4413022,True
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,-2.9,-5.4,-8.3,,Unknown,2.0865455,5.0,1.3803023,0.46852633,2.3891618,0.37657353,2.8576882,0.33852342,0.6188824,0.8431084,1.3749913,True
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-6.5,-6.0,-8.6,,Unknown,1.1656121,3.0,1.376974,0.85804987,2.5236557,0.6320704,3.3817055,0.10234348,0.94103634,1.3766193,1.3767967,True
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-2.3,-6.4,-8.1,,Unknown,2.096276,7.0,1.3885763,0.76821196,2.2131727,0.21391298,2.9813848,0.17986646,0.6684792,0.70567036,1.0794195,True
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,-6.6,-6.0,-8.0,,Unknown,1.7698636,3.0,1.3789122,0.4930059,2.8807564,0.63534796,3.3737624,0.45829564,0.874268,1.2373072,1.3081098,True
COc1cc(NC(C)CCCN)c2ncccc2c1,-6.3,-5.3,-8.3,,Unknown,1.7307491,3.0,1.3942899,0.6745852,2.3183408,0.30264115,2.9929261,0.27166474,0.9509351,1.3589213,1.3766055,True
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,3.6,-7.0,-6.5,,Unknown,1.7783085,4.0,1.3815045,0.60419697,2.3460953,0.28690687,2.950292,0.23992692,0.6052063,0.9934395,1.3692895,True
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,-7.9,-6.4,-8.5,8.2,A,1.7240664958953855,3.0,1.3782460689544678,0.5443844795227051,2.921294927597046,0.5416470766067505,3.465679407119751,0.3249089121818542,0.9302345514297484,1.0274808406829834,1.2028634548187256,True
