smiles,H0_entropy,H0_count,H0_max_pers,H0_mean_pers,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H2_entropy,H2_count,H2_max_pers,H2_mean_pers
C=CCc1cc(OC)c2c(c1)OCO2,3.1842963695526123,25.0,2.1296236515045166,1.5815683603286743,1.0526087284088135,2.0,1.388525128364563,0.8315286040306091,-1.000088900582341e-12,0.0,0.40263819694519043,0.40263819694519043
COc1c(OC)c(OC)c2c(c1O)c(=O)c1ccccc1n2C,3.630443572998047,39.0,2.116206169128418,1.611490249633789,1.9893031120300293,4.2448883056640625,1.3904426097869873,0.6140897870063782,1.3568973541259766,0.0,0.4495299756526947,0.3881322741508484
C=CCc1c(OC)c(OC)c2c(c1OC)OCO2,3.4604105949401855,33.0,2.1221187114715576,1.592075228691101,1.695105791091919,2.5989022254943848,1.3991177082061768,0.5304815173149109,0.0905754417181015,0.0,0.4169420003890991,0.3798484802246094
c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,3.727612018585205,43.0,2.135087013244629,1.6444425582885742,2.052344799041748,6.078389644622803,1.3833401203155518,0.7799602150917053,1.0314407348632812,0.0,0.40474843978881836,0.2809617221355438
COc1cc(C=O)cc(OC)c1O,3.05672287940979,22.0,2.1061246395111084,1.5945568084716797,1.3153483867645264,1.0,1.4111350774765015,0.5520177483558655,-1.000088900582341e-12,0.0,0.41617894172668457,0.41617894172668457
COc1c2c(cc3c1c(=O)c1cccc(OC)c1n3C)OCO2,3.5794131755828857,37.0,2.130995273590088,1.6411070823669434,2.009923219680786,5.0,1.3816218376159668,0.6761682033538818,1.0981881618499756,0.0,0.43585634231567383,0.4212768077850342
C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,3.8360788822174072,47.0,1.4800000190734863,1.115744709968567,1.368218183517456,4.0,1.3000000715255737,1.09333336353302,1.370070219039917,4.0,1.2400000095367432,1.0533332824707031
COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,3.3501577377319336,30.0,2.997814655303955,1.7308926582336426,1.2873821258544922,3.0,1.4980313777923584,0.7006598114967346,0.8846599459648132,0.0,0.48923835158348083,0.2898932993412018
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.8036370277404785,47.0,3.329679250717163,1.5606696605682373,2.1945784091949463,6.7447733879089355,1.3807766437530518,0.6076323986053467,1.1969242095947266,0.0,0.4337988495826721,0.2148744910955429
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,3.2706072330474854,28.0,3.310342788696289,1.7247495651245117,1.1656121015548706,3.0,1.3769739866256714,0.8580498695373535,0.6931461095809937,0.0,0.4893219470977783,0.4886091947555542
