GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
441,12.99,11.68,20.24,0.0,0.0,0.0,0.07,69.46,31.3,-209.33,-18.89,3.27,-63.59,-15.62,-79.2
451,12.71,20.6,12.04,0.0,0.0,0.0,1.82,70.56,33.31,-209.35,-19.28,3.26,-58.31,-16.01,-74.32
461,9.27,12.32,23.63,0.0,0.0,0.0,0.74,70.43,32.96,-212.16,-18.26,3.26,-62.81,-15.0,-77.82
471,15.23,18.88,11.29,0.0,0.0,0.0,0.09,70.74,33.36,-208.92,-19.26,3.27,-59.33,-15.99,-75.32
481,13.74,22.15,17.16,0.0,0.0,0.0,-1.19,70.67,33.03,-210.28,-18.51,3.29,-54.72,-15.22,-69.95
491,10.58,9.89,20.53,0.0,0.0,0.0,1.96,67.68,35.27,-213.73,-16.91,3.25,-67.81,-13.66,-81.47
501,7.49,14.61,16.51,0.0,0.0,0.0,-0.67,70.88,35.06,-208.89,-19.35,3.27,-65.01,-16.08,-81.08
511,14.08,13.88,17.52,0.0,0.0,0.0,-0.46,68.93,34.54,-209.51,-18.63,3.28,-61.03,-15.35,-76.38
521,8.25,18.91,18.22,0.0,0.0,0.0,-0.96,69.86,34.93,-207.38,-19.42,3.29,-58.17,-16.12,-74.3
531,10.19,16.52,25.87,0.0,0.0,0.0,-1.29,69.39,33.84,-212.3,-17.89,3.27,-57.77,-14.62,-72.39
541,11.53,22.66,24.64,0.0,0.0,0.0,-2.63,70.58,34.01,-211.1,-19.36,3.26,-50.31,-16.11,-66.42
551,13.16,22.17,14.04,0.0,0.0,0.0,1.67,69.72,33.52,-210.64,-18.87,3.28,-56.35,-15.59,-71.94
561,11.62,16.15,21.09,0.0,0.0,0.0,-1.97,69.55,31.91,-210.51,-18.79,3.27,-62.15,-15.52,-77.67
571,11.81,15.92,14.96,0.0,0.0,0.0,0.15,68.45,35.01,-209.58,-18.63,3.25,-63.28,-15.38,-78.65
581,9.26,16.01,15.86,0.0,0.0,0.0,-0.92,70.92,34.03,-211.69,-18.23,3.28,-66.54,-14.95,-81.49
591,14.55,21.4,20.41,0.0,0.0,0.0,-2.93,71.88,30.66,-208.85,-20.0,3.31,-52.87,-16.69,-69.56
601,16.14,17.32,14.65,0.0,0.0,0.0,-0.57,69.15,34.94,-207.92,-19.49,3.28,-56.28,-16.21,-72.49
611,11.79,19.61,16.09,0.0,0.0,0.0,-0.49,71.18,32.56,-211.46,-19.08,3.31,-60.73,-15.77,-76.5
621,13.81,18.7,22.79,0.0,0.0,0.0,0.68,69.59,34.18,-212.04,-18.42,3.26,-52.28,-15.16,-67.44
631,17.08,16.52,14.68,0.0,0.0,0.0,-0.76,70.56,33.02,-209.64,-19.48,3.29,-58.54,-16.19,-74.73
641,8.62,17.17,21.82,0.0,0.0,0.0,-1.74,71.35,37.0,-213.28,-17.66,3.27,-59.05,-14.39,-73.44
651,12.95,17.82,19.4,0.0,0.0,0.0,1.48,67.66,34.64,-209.92,-17.31,3.23,-55.96,-14.08,-70.05
661,11.53,16.33,14.58,0.0,0.0,0.0,0.3,69.47,30.34,-210.54,-18.53,3.29,-67.99,-15.24,-83.22
671,16.84,13.1,24.0,0.0,0.0,0.0,-0.84,70.92,31.75,-210.99,-17.9,3.26,-55.21,-14.64,-69.85
681,13.24,19.3,23.98,0.0,0.0,0.0,-1.92,69.19,30.92,-210.24,-18.3,3.27,-55.53,-15.03,-70.56
691,10.4,18.68,23.91,0.0,0.0,0.0,-1.08,68.38,32.67,-208.89,-17.73,3.29,-55.93,-14.43,-70.36
701,13.76,15.65,19.14,0.0,0.0,0.0,-1.91,69.97,32.52,-211.64,-17.96,3.3,-62.5,-14.66,-77.16
711,11.12,18.45,16.23,0.0,0.0,0.0,1.36,69.09,35.15,-208.15,-19.74,3.28,-56.75,-16.46,-73.21
721,16.14,17.76,23.44,0.0,0.0,0.0,-0.91,67.84,29.3,-207.73,-18.62,3.33,-54.17,-15.29,-69.46
731,15.86,21.98,16.41,0.0,0.0,0.0,-1.75,72.57,30.43,-209.62,-19.66,3.29,-54.13,-16.38,-70.5
741,9.57,17.42,21.21,0.0,0.0,0.0,-1.67,70.23,34.11,-209.11,-18.46,3.26,-58.25,-15.2,-73.45
751,13.94,14.21,16.08,0.0,0.0,0.0,-1.25,69.72,32.02,-205.55,-19.67,3.28,-60.83,-16.39,-77.22
761,6.72,13.44,23.46,0.0,0.0,0.0,0.09,71.2,34.28,-211.23,-19.37,3.28,-62.05,-16.09,-78.14
771,11.6,23.22,24.97,0.0,0.0,0.0,-2.99,68.42,33.39,-209.12,-18.14,3.29,-50.51,-14.85,-65.36
781,16.8,24.68,21.51,0.0,0.0,0.0,-0.21,67.02,29.54,-209.2,-17.07,3.3,-49.86,-13.77,-63.63
791,12.99,12.77,17.04,0.0,0.0,0.0,2.81,70.24,31.99,-209.21,-19.12,3.25,-61.36,-15.86,-77.22
801,10.23,14.33,17.51,0.0,0.0,0.0,2.73,68.3,33.58,-210.88,-17.9,3.27,-64.2,-14.62,-78.83
811,20.79,13.16,15.97,0.0,0.0,0.0,1.33,70.94,28.32,-211.86,-18.97,3.3,-61.35,-15.67,-77.02
821,10.45,16.83,17.5,0.0,0.0,0.0,1.83,69.8,31.96,-209.68,-17.88,3.25,-61.31,-14.64,-75.95
831,15.31,19.93,17.57,0.0,0.0,0.0,0.86,68.9,29.27,-208.35,-19.18,3.27,-56.5,-15.92,-72.42
841,16.68,15.27,12.6,0.0,0.0,0.0,3.61,68.82,31.81,-207.64,-18.9,3.27,-58.86,-15.62,-74.49
851,8.73,17.61,23.36,0.0,0.0,0.0,0.32,69.52,35.83,-215.1,-16.96,3.25,-59.73,-13.72,-73.45
861,14.94,25.67,18.66,0.0,0.0,0.0,0.89,67.55,33.57,-210.47,-16.77,3.26,-49.18,-13.51,-62.7
871,7.3,15.22,20.15,0.0,0.0,0.0,-0.42,68.34,34.73,-211.69,-16.75,3.25,-66.38,-13.5,-79.88
881,9.34,21.65,22.35,0.0,0.0,0.0,1.05,66.53,30.81,-212.6,-15.31,3.27,-60.88,-12.04,-72.92
891,9.02,15.46,27.2,0.0,0.0,0.0,-2.32,68.58,35.26,-212.51,-16.53,3.25,-59.3,-13.28,-72.58
901,6.24,11.57,17.82,0.0,0.0,0.0,2.1,69.15,37.57,-211.66,-17.61,3.25,-67.21,-14.36,-81.57
911,11.71,22.38,14.56,0.0,0.0,0.0,0.53,69.17,31.13,-210.37,-18.42,3.29,-60.91,-15.13,-76.03
921,13.14,24.46,15.34,0.0,0.0,0.0,1.53,72.68,30.24,-211.85,-18.98,3.28,-54.46,-15.71,-70.17
931,13.78,14.13,25.85,0.0,0.0,0.0,0.1,70.22,30.28,-213.08,-17.99,3.28,-58.73,-14.72,-73.44
941,9.43,13.92,15.8,0.0,0.0,0.0,1.55,70.39,32.9,-210.05,-18.79,3.26,-66.07,-15.53,-81.6
951,13.03,13.92,21.19,0.0,0.0,0.0,-1.24,67.94,32.66,-209.12,-18.35,3.29,-61.62,-15.07,-76.69
961,18.05,11.64,18.2,0.0,0.0,0.0,2.22,68.14,32.8,-212.44,-17.3,3.25,-61.39,-14.05,-75.44
