GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
84,0.0,0.0,0.0,0.0,0.0,0.0,338091223.8883,-236108.5315,0.0,0.0,nan,0.0,337855115.3568,nan,nan
85,0.0,0.0,0.0,0.0,0.0,0.0,338224424.6798,-236191.2568,0.0,0.0,nan,0.0,337988233.423,nan,nan
86,0.0,0.0,0.0,0.0,0.0,0.0,338595226.0921,-236235.1753,0.0,0.0,nan,0.0,338358990.9168,nan,nan
87,0.0,0.0,0.0,0.0,0.0,0.0,337605137.6671,-236549.1849,0.0,0.0,nan,0.0,337368588.4822,nan,nan
88,0.0,0.0,0.0,0.0,0.0,0.0,338173991.6929,-236443.9999,0.0,0.0,nan,0.0,337937547.693,nan,nan
89,0.0,0.0,0.0,0.0,0.0,0.0,337590347.3491,-236224.8856,0.0,0.0,nan,0.0,337354122.4635,nan,nan
90,0.0,0.0,0.0,0.0,0.0,0.0,338837419.584,-235910.5088,0.0,0.0,nan,0.0,338601509.07519996,nan,nan
91,0.0,0.0,0.0,0.0,0.0,0.0,338326256.7744,-235974.9072,0.0,0.0,nan,0.0,338090281.8672,nan,nan
92,0.0,0.0,0.0,0.0,0.0,0.0,337611608.2766,-235926.4891,0.0,0.0,nan,0.0,337375681.7875,nan,nan
93,0.0,0.0,0.0,0.0,0.0,0.0,337948924.974,-235922.9877,0.0,0.0,nan,0.0,337713001.9863,nan,nan
94,0.0,0.0,0.0,0.0,0.0,0.0,338141603.9844,-236030.6642,0.0,0.0,nan,0.0,337905573.32019997,nan,nan
95,0.0,0.0,0.0,0.0,0.0,0.0,337286794.2985,-235547.3128,0.0,0.0,nan,0.0,337051246.9857,nan,nan
96,0.0,0.0,0.0,0.0,0.0,0.0,338183676.0021,-235822.1239,0.0,0.0,nan,0.0,337947853.8782,nan,nan
97,0.0,0.0,0.0,0.0,0.0,0.0,338066777.6398,-236130.6571,0.0,0.0,nan,0.0,337830646.9827,nan,nan
98,0.0,0.0,0.0,0.0,0.0,0.0,338966404.0821,-235972.0325,0.0,0.0,nan,0.0,338730432.04959995,nan,nan
99,0.0,0.0,0.0,0.0,0.0,0.0,337722350.2754,-235887.482,0.0,0.0,nan,0.0,337486462.7934,nan,nan

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,0.0,0.0,0.0,0.0,0.0,0.0,337463889.6756,-237907.6934,0.0,0.0,nan,0.0,337225981.98219997,nan,nan
1,0.0,0.0,0.0,0.0,0.0,0.0,336372877.9473,-236418.6218,0.0,0.0,nan,0.0,336136459.3255,nan,nan
2,0.0,0.0,0.0,0.0,0.0,0.0,336326869.9477,-236524.7923,0.0,0.0,nan,0.0,336090345.15540004,nan,nan
3,0.0,0.0,0.0,0.0,0.0,0.0,337105567.7155,-236135.5259,0.0,0.0,nan,0.0,336869432.1896,nan,nan
4,0.0,0.0,0.0,0.0,0.0,0.0,337438258.7435,-236141.5268,0.0,0.0,nan,0.0,337202117.2167,nan,nan
