GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
62,-3.9017,-164.4066,-80.1892,4.516824239999999,-168.3083,-75.67237576,-243.98067576
63,-2.7792,-167.4213,-76.6353,4.5784072799999995,-170.2005,-72.05689272000001,-242.25739272
64,-3.0572,-166.6594,-76.5452,4.52757384,-169.7166,-72.01762615999999,-241.73422616
65,-3.2217,-165.6994,-80.9537,4.55673456,-168.9211,-76.39696544,-245.31806544
66,-3.4209,-161.6202,-80.6924,4.5362664,-165.0411,-76.1561336,-241.1972336
67,-4.0383,-165.6684,-82.4084,4.50559584,-169.70669999999998,-77.90280416,-247.60950415999997
68,-4.5097,-164.2059,-79.6683,4.5327924,-168.71560000000002,-75.1355076,-243.85110760000003
69,-3.1138,-166.7441,-73.0964,4.500020879999999,-169.8579,-68.59637912000001,-238.45427912
70,-4.5073,-163.3064,-79.6067,4.55859864,-167.81369999999998,-75.04810136,-242.86180135999996
71,-2.2926,-165.7693,-79.4796,4.56554952,-168.06189999999998,-74.91405048,-242.97595048
72,-2.6936,-164.5379,-74.3934,4.52282544,-167.2315,-69.87057456,-237.10207456000003
73,-3.3709,-162.7937,-78.0115,4.55232888,-166.1646,-73.45917112,-239.62377112000001
74,-2.9736,-167.1117,-78.4359,4.5419184,-170.08530000000002,-73.8939816,-243.97928160000004
75,-2.9417,-162.9367,-76.0276,4.51442736,-165.8784,-71.51317264000001,-237.39157264
76,-3.8608,-167.8044,-76.7153,4.5103759199999995,-171.6652,-72.20492408,-243.87012407999998
77,-3.7446,-164.3206,-75.4657,4.57475688,-168.0652,-70.89094312,-238.95614312
78,-4.5067,-164.086,-75.0159,4.54261248,-168.5927,-70.47328752,-239.06598752000002
79,-1.1107,-165.1679,-79.5419,4.54507704,-166.2786,-74.99682296,-241.27542296000001
80,-2.742,-172.1232,-73.0396,4.54236192,-174.8652,-68.49723807999999,-243.36243807999998
81,-4.7512,-165.0079,-77.2383,4.565520719999999,-169.75910000000002,-72.67277928,-242.43187928000003
82,-4.1173,-167.1788,-75.9187,4.5048376800000005,-171.2961,-71.41386232,-242.70996232
83,-2.9729,-168.7483,-77.6472,4.51818792,-171.7212,-73.12901208,-244.85021208
84,-4.3641,-162.1936,-81.6792,4.5080172,-166.5577,-77.1711828,-243.72888279999998
85,-2.5892,-168.928,-75.2461,4.42916568,-171.5172,-70.81693432,-242.33413432
86,-3.8225,-162.9624,-80.6687,4.5162388799999995,-166.7849,-76.15246112,-242.93736112
87,-3.7804,-164.0349,-76.5413,4.50820296,-167.81529999999998,-72.03309704,-239.84839703999998
88,-5.0046,-171.7048,-75.2472,4.44981744,-176.70940000000002,-70.79738256,-247.50678256000003
89,-3.9646,-170.9793,-74.2835,4.46130072,-174.94389999999999,-69.82219928,-244.76609928
90,-4.3029,-167.3516,-80.9276,4.48451856,-171.65449999999998,-76.44308144,-248.09758143999997
91,-3.8381,-162.695,-78.6136,4.48594344,-166.5331,-74.12765656,-240.66075656
92,-3.4496,-169.7787,-71.6578,4.43490336,-173.2283,-67.22289663999999,-240.45119664
93,-4.414,-165.0107,-78.9666,4.597344,-169.4247,-74.36925600000001,-243.793956
94,-3.9347,-170.8902,-70.8197,4.439404799999999,-174.82489999999999,-66.38029519999999,-241.20519519999996
95,-3.8551,-166.4043,-80.1342,4.52894256,-170.2594,-75.60525744,-245.86465744
96,-4.921,-169.3754,-75.1797,4.45822848,-174.2964,-70.72147152,-245.01787152
97,-3.2303,-165.3106,-79.3302,4.5232214399999995,-168.5409,-74.80697856,-243.34787856000003
98,-3.6254,-166.4028,-78.9774,4.38702048,-170.02820000000003,-74.59037952,-244.61857952000003
99,-2.7293,-171.2636,-73.448,4.46522328,-173.9929,-68.98277671999999,-242.97567672
100,-2.75,-170.7791,-72.0064,4.46272128,-173.5291,-67.54367872,-241.07277872

DELTA Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,418.2292999999968,31.365500000013157,42.92649999999992,-5.52039192000003,449.5948000000027,37.40610807999937,487.00090807999845
1,400.22689999999875,21.27359999999976,32.20829999999947,-5.220894960000057,421.5004999999949,26.987405039999757,448.48790503998555
2,450.0349000000032,18.578899999999066,40.434599999999705,-5.085186480000024,468.61380000000224,35.34941351999912,503.96321352000314
3,401.20020000000017,29.082600000000127,26.92439999999948,-4.894354079999986,430.282799999993,22.030045919998187,452.31284591998934
4,414.5847000000009,25.10980000000569,29.016000000000332,-5.097188879999966,439.69450000000296,23.91881111999986,463.6133111200064
5,442.4045999999986,36.09470000000624,26.2906999999999,-5.312306879999922,478.4993000000012,20.97839311999924,499.47769312000406
6,449.36440000000175,25.86640000000199,31.31190000000022,-5.317433280000018,475.23080000001096,25.994466720000034,501.22526672000197
7,407.0915000000003,28.084099999993583,25.498900000000503,-5.300081279999993,435.17559999999753,20.198818720001768,455.37441872000113
8,439.0912000000005,18.218199999995193,39.4057999999995,-5.422754160000015,457.3093999999994,33.98304583999875,491.29244583999997
9,420.54409999999876,28.81769999998957,29.649300000000153,-5.3954243999999365,449.36179999998836,24.253875600000555,473.61567559998707
10,403.9098000000004,22.281200000006322,41.35429999999896,-5.376194639999983,426.1910000000104,35.97810535999841,462.1691053600106
11,430.9150999999993,2.467499999999461,48.75310000000057,-5.452247519999981,433.3826000000024,43.300852479999676,476.6834524800057
12,432.14329999999967,23.377899999993076,30.328000000001268,-5.191441919999939,455.5211999999964,25.13655808000098,480.6577580799956
13,440.4138999999979,13.58019999999894,45.86359999999952,-5.188933440000045,453.99410000000046,40.67466655999834,494.66876655999704
14,403.99739999999855,22.627399999994424,34.67039999999929,-5.320710000000034,426.624799999993,29.349689999998688,455.9744899999899
15,433.14370000000014,18.622000000009905,42.646800000000454,-5.397981120000007,451.7657000000137,37.24881887999919,489.0145188800165
16,435.01269999999744,11.719799999989846,47.61759999999984,-5.127678719999964,446.732499999991,42.489921279999876,489.22242127998175
17,416.3845999999988,16.911499999999506,42.61000000000104,-5.5093233600000335,433.2961000000019,37.10067664000145,470.39677663999794
18,449.33570000000293,41.6765999999927,11.249199999999135,-5.197113359999954,491.0122999999993,6.05208663999889,497.0643866400018
19,416.2885999999996,32.27290000000147,24.973599999999365,-5.148565920000099,448.5615000000047,19.825034080000123,468.38653407999755
20,436.1933000000013,37.72269999999989,21.817899999999838,-5.320207439999942,473.91600000000847,16.497692559999663,490.4136925600154
21,435.70980000000037,41.14180000000218,23.51799999999922,-5.241598560000046,476.8516000000026,18.276401439999404,495.128001440002
22,421.56480000000005,33.16559999999802,26.75430000000081,-5.2847186400000385,454.73039999999446,21.469581360000888,476.1999813599917
23,409.2548999999999,15.414299999996047,46.688500000000275,-5.36938055999993,424.66919999999595,41.31911943999967,465.9883194399956
24,408.4888000000012,16.268100000000885,41.60630000000094,-5.232957840000056,424.75689999999486,36.37334216000157,461.13024215999457
25,422.07339999999937,17.28600000000199,37.251899999999154,-5.2524849599999826,439.3593999999977,31.99941503999827,471.35881504000326
26,405.1887000000016,14.231600000001407,40.49190000000013,-4.901191199999986,419.4202999999993,35.59070880000117,455.0110088000041
27,420.76250000000107,20.404900000009462,38.96970000000006,-5.200378559999915,441.16740000001056,33.7693214400002,474.9367214400053
28,394.2681999999985,22.066800000004065,35.56829999999975,-5.3249724000000365,416.3350000000062,30.243327599999716,446.5783276000096
29,427.32590000000056,27.90000000000441,25.04780000000008,-4.984077600000002,455.2259000000086,20.063722399999165,475.28962240000413
30,434.10559999999987,27.22030000000376,33.24730000000052,-5.406045120000035,461.32589999999635,27.841254880000662,489.1671548800006
31,412.8656999999981,17.135599999999926,43.73969999999987,-5.474374559999954,430.0012999999981,38.265325439999344,468.26662543999925
32,443.31679999999824,23.968700000002542,32.78699999999857,-5.245004160000004,467.2855000000044,27.541995839998393,494.8274958399973
33,404.8612000000001,25.652700000002085,38.36580000000011,-5.39142336000004,430.5139000000022,32.974376639999264,463.4882766400069
34,435.55340000000206,21.58220000000827,35.779799999998346,-5.295750479999974,457.1356000000103,30.484049519997683,487.6196495200153
35,420.13190000000105,34.655200000003134,37.00640000000061,-5.668644240000034,454.7871000000006,31.337755760000178,486.12485576000074
36,443.3297999999992,19.477699999999288,36.66909999999997,-5.416546320000002,462.80749999999847,31.25255367999867,494.06005367999893
37,425.93290000000064,0.7971000000022173,46.704499999999214,-5.599740959999996,426.73000000001014,41.10475903999911,467.834759040011
38,414.32750000000004,19.145199999996862,42.75470000000129,-5.662064160000033,433.4726999999932,37.09263584000195,470.5653358399934
39,410.9083000000011,21.584999999999297,39.376900000000305,-5.769069120000068,432.49330000000407,33.60783088000041,466.10113088000264
40,418.0373000000015,10.903999999994994,47.352099999999524,-5.951272319999964,428.9412999999965,41.400827679999054,470.342127680001
41,425.8794000000009,1.7140999999992346,54.23270000000031,-5.6188216800000506,427.59349999999654,48.61387832000082,476.20737831999736
42,429.3963999999976,3.4387000000116075,50.51570000000156,-5.5510156800000665,432.8351000000056,44.96468432000144,477.79978432001064
43,428.3198000000019,10.090300000000752,41.64320000000012,-5.408418240000061,438.41010000000267,36.23478176000012,474.6448817599992
44,412.4960000000008,3.6475000000039017,56.5993,-5.564734560000095,416.1435000000083,51.03456544000133,467.17806544000416
45,416.38610000000074,26.001700000004035,30.382599999999925,-5.74608887999993,442.38779999999747,24.636511120000335,467.02431111998874
46,422.6904000000022,13.73509999999996,45.33710000000012,-5.634454319999983,436.4254999999986,39.70264567999985,476.1281456800002
47,447.4322999999992,-15.163800000009559,66.43470000000089,-5.710482000000044,432.26849999998603,60.72421800000113,492.9927179999926
48,419.7133999999987,2.651299999999054,52.01690000000009,-5.5387144799999755,422.3646999999942,46.47818551999892,468.84288551999305
49,377.4958000000027,12.714799999999315,46.76190000000031,-5.589102960000013,390.21060000000205,41.17279703999995,431.38339704000015
50,396.08840000000083,36.19440000000313,27.297900000001476,-5.192498159999986,432.28280000000393,22.10540184000058,454.38820184000815
51,400.7321999999994,19.3726999999991,38.81380000000017,-5.4609775199999975,420.10489999999487,33.352822479999716,453.45772247999275
52,401.9034000000018,25.124999999997613,31.599100000000632,-5.539146479999931,427.02839999999935,26.059953520001727,453.0883535200011
53,402.6566000000009,24.899200000006886,33.71050000000005,-5.6073110400000346,427.5558000000114,28.10318896000024,455.6589889600062
54,430.78339999999923,9.128299999999257,36.325599999999895,-5.265601199999974,439.91169999999124,31.05999880000111,470.9716987999887
55,428.22439999999887,30.184000000004374,29.084999999999255,-5.553173520000029,458.40840000000327,23.531826479999566,481.9402264800101
56,436.7889999999978,17.76139999999006,38.40340000000059,-5.634911519999995,454.55039999999155,32.76848847999986,487.3188884799914
57,418.59180000000003,19.44400000000232,40.13430000000035,-5.3885347200000835,438.03579999999505,34.745765280000555,472.78156527999374
58,448.8288000000009,25.672000000005454,30.882900000000134,-5.478546960000006,474.5008000000027,25.404353039999165,499.9051530400055
59,416.4108999999999,22.95750000000163,40.332699999999875,-5.62289183999996,439.3684000000052,34.70980815999957,474.0782081600011
60,389.2506999999979,10.817899999996285,39.79679999999948,-5.529874319999915,400.06859999999415,34.266925679999105,434.3355256799969
61,426.43839999999955,9.293000000005861,43.77299999999998,-5.219628479999941,435.73140000000535,38.553371519998905,474.2847715200097
62,415.15420000000233,14.209200000009986,38.907099999999645,-5.151056399999953,429.36340000001235,33.756043599999174,463.1194436000133
63,411.6116999999968,-11.308199999986726,57.91510000000025,-5.375403360000042,400.3035000000101,52.53969664000016,452.8431966400175
64,415.70959999999906,12.575699999997141,43.301100000000105,-5.337240480000102,428.28529999998887,37.96385951999858,466.2491595199911
65,406.7919999999994,18.198900000005352,42.23309999999944,-5.579757360000035,424.9908999999975,36.65334263999941,461.6442426399969
66,400.2764000000015,12.382899999992048,44.590900000001156,-5.494430879999936,412.6592999999899,39.0964691200011,451.7557691199946
67,438.7841000000006,18.570100000002157,38.73090000000022,-5.257370160000038,457.3541999999991,33.47352983999967,490.8277298400006
68,438.12069999999716,18.61780000000644,38.608899999999906,-5.490169920000023,456.73850000001084,33.11873008000113,489.8572300800084
69,436.3494,-13.060000000008472,65.58929999999928,-5.566222800000139,423.2893999999915,60.02307719999847,483.3124771999936
70,426.9347000000005,-7.561300000002518,66.97110000000039,-5.493486960000027,419.37339999999796,61.477613040000364,480.8510130399965
71,416.7901999999988,-16.904299999994635,71.88020000000085,-5.626059120000046,399.8859000000005,66.25414088000092,466.14004088000144
72,418.7951000000007,-5.555000000003275,59.349600000000535,-5.320248479999899,413.240100000001,54.02935152000097,467.269451520002
73,411.9684000000035,-4.7530999999964365,63.026900000000225,-5.377593600000007,407.21530000000706,57.64930639999959,464.86460640000485
74,444.4767999999992,-3.102500000002152,52.95380000000074,-5.087977919999972,441.3742999999898,47.86582208000054,489.24012207998305
75,411.2738999999971,-1.0148000000101263,57.26550000000009,-5.143749119999925,410.2590999999797,52.121750880000505,462.38085087997655
76,413.8305999999989,-9.610500000003412,61.455500000000185,-5.3922139200000725,404.2200999999883,56.06328607999903,460.2833860799873
77,438.78909999999996,-3.6235999999980777,58.390099999999876,-5.188401359999948,435.1655000000055,53.20169864000039,488.36719864000224
78,449.4784000000019,-13.511099999999033,65.46379999999921,-5.429956320000028,435.9672999999956,60.03384367999867,496.0011436799906
79,434.7961999999996,15.28310000000019,41.59109999999947,-5.387108400000021,450.07930000000704,36.20399159999769,486.2832916000011
80,424.0261000000008,15.571399999998903,33.191500000000744,-5.304399120000009,439.59750000000327,27.887100880000617,467.484600880013
81,397.29710000000097,12.157599999994488,38.46450000000097,-4.687462079999993,409.4546999999918,33.77703792000172,443.23173791999903
82,429.07680000000084,14.874499999996573,37.57120000000015,-4.943046240000078,443.9513000000011,32.62815375999922,476.5794537599966
83,416.9043000000013,22.220800000003493,39.0265999999998,-4.777601040000033,439.1251000000048,34.24899895999948,473.3740989600079
84,434.7160000000015,25.65889999999621,32.58420000000065,-5.132110319999884,460.37490000000497,27.452089680001563,487.82698968000284
85,447.2075999999994,12.808199999999601,34.69380000000062,-4.584299760000039,460.015799999999,30.109500240000926,490.1253002400035
86,419.3788000000002,22.93330000000026,32.17040000000071,-4.723825680000001,442.3121000000041,27.446574320001446,469.75867432000916
87,422.31270000000256,14.875399999991146,41.30500000000134,-5.038974719999937,437.18809999999735,36.26602528000055,473.45412527999974
88,426.15460000000144,13.829099999995861,36.93950000000062,-4.728918959999984,439.98369999999005,32.21058104000058,472.1942810399943
89,419.10229999999933,11.898999999998551,38.65259999999989,-4.8211142399999884,431.00130000000513,33.831485759999,464.83278576000777
90,422.75650000000076,12.541500000004845,40.78890000000048,-5.044839120000036,435.2980000000056,35.74406088000045,471.0420608800042
91,423.6586999999991,7.154600000001949,49.38720000000045,-4.8917131199999915,430.81330000000105,44.49548687999949,475.3087868800005
92,418.48740000000186,11.406499999994736,41.393999999999366,-4.47046991999995,429.893899999993,36.92353007999935,466.8174300799924
93,416.4690000000003,10.23109999999835,44.23599999999922,-5.170662720000031,426.70009999999866,39.065337279998914,465.7654372799939
94,413.38300000000004,7.944300000001192,45.09820000000035,-5.060798640000052,421.32729999999754,40.037401360000686,461.36470136000185
95,403.6655000000021,7.621300000004197,48.24969999999989,-5.154900480000076,411.28680000000634,43.09479952000032,454.3815995200084
96,464.6505000000013,8.717599999999152,43.06899999999891,-4.731863759999951,473.3681000000004,38.33713623999867,511.70523623999725
97,408.3463999999993,4.443000000002229,48.58390000000112,-4.761889199999998,412.7894000000015,43.82201080000044,456.611410800002
98,408.8967999999978,7.906599999998605,51.40259999999968,-4.981169519999934,416.8034000000037,46.42143047999963,463.2248304800015
99,413.43120000000005,16.063400000000684,43.01550000000101,-4.79739240000006,429.4946000000007,38.21810760000112,467.71270760000914
100,417.57610000000204,14.445299999999662,35.600999999998535,-4.643016479999989,432.0214000000053,30.95798351999872,462.9793835200022


