GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
671,3704.34,8740.29,9922.4,1014.78,549.41,-2995.44,-5433.15,-57833.64,2450.26,45941.79,-14397.15,535.08,6061.04,-13862.07,-7801.02
681,3620.81,8647.49,10015.07,976.43,547.43,-2996.2,-5396.27,-58110.7,2484.39,45888.12,-14116.04,536.71,5676.57,-13579.33,-7902.76
691,3713.44,8707.8,9995.49,992.38,516.58,-3026.9,-5408.72,-57920.47,2447.99,45862.39,-14229.53,535.11,5879.97,-13694.42,-7814.45
701,3685.2,8770.3,9925.08,1007.79,547.31,-2989.57,-5420.38,-57840.92,2480.67,45848.42,-14271.2,532.43,6013.89,-13738.77,-7724.87
711,3710.57,8809.46,9951.91,1009.85,557.65,-3029.32,-5391.92,-57824.78,2436.14,45837.03,-14249.65,530.05,6066.6,-13719.61,-7653.01
721,3763.88,8822.78,9909.04,1012.0,523.32,-3010.24,-5434.09,-57902.66,2423.14,45806.21,-14212.22,535.19,5913.37,-13677.03,-7763.65
731,3715.65,8866.94,9996.19,1023.0,538.74,-2995.69,-5349.85,-57837.48,2477.8,45791.52,-14271.89,532.97,6226.83,-13738.92,-7512.09
741,3621.72,8798.69,9996.62,993.64,533.22,-3088.38,-5374.09,-58076.52,2482.89,45885.62,-14179.49,532.02,5773.4,-13647.47,-7874.07
751,3729.42,8883.04,9939.97,1030.33,555.96,-3047.66,-5437.82,-57838.05,2441.81,45745.62,-14235.14,533.97,6002.62,-13701.17,-7698.55
761,3717.58,8890.9,9963.32,1022.46,539.96,-3024.67,-5369.87,-57909.12,2420.08,45774.1,-14233.74,533.41,6024.75,-13700.33,-7675.58
771,3646.58,8710.15,9908.02,1003.33,524.16,-3062.73,-5397.21,-57927.73,2482.75,45906.03,-14269.29,531.48,5793.36,-13737.81,-7944.45
781,3680.1,8743.36,9946.64,1004.7,544.58,-3070.91,-5450.36,-57776.3,2460.65,45817.78,-14230.61,534.01,5900.24,-13696.6,-7796.36
791,3639.64,8801.07,9941.24,1010.21,524.2,-3072.74,-5310.23,-57784.53,2477.39,45744.18,-14276.76,542.59,5970.43,-13734.17,-7763.74
801,3716.16,8762.03,9929.7,1004.59,483.93,-3052.08,-5441.79,-57555.07,2464.73,45799.72,-14437.73,539.15,6111.91,-13898.58,-7786.67
811,3834.28,8726.59,9975.97,1003.47,547.31,-3049.4,-5375.33,-57317.29,2418.39,45548.76,-14592.09,540.75,6312.75,-14051.34,-7738.58
821,3699.06,8745.35,9918.27,1002.73,527.54,-3043.2,-5401.76,-57659.13,2470.74,45875.17,-14444.18,536.24,6134.78,-13907.94,-7773.16
831,3691.45,8753.05,9943.54,1014.7,532.95,-3052.4,-5362.9,-57367.5,2460.79,45671.73,-14615.84,539.7,6285.41,-14076.13,-7790.72
841,3697.3,8828.88,9939.35,975.61,534.07,-3069.22,-5338.79,-57268.13,2382.29,45615.24,-14671.26,546.67,6296.6,-14124.59,-7827.99
851,3887.79,8676.15,9910.79,1001.45,554.63,-3003.62,-5305.34,-57271.42,2474.87,45613.16,-14733.12,547.53,6538.47,-14185.59,-7647.12
861,3785.74,8717.92,9935.39,1024.27,530.97,-3061.92,-5423.8,-57351.36,2495.49,45680.6,-14590.24,537.84,6333.3,-14052.4,-7719.11
871,3742.16,8736.25,9872.45,1008.69,570.07,-3057.92,-5408.91,-57819.36,2481.14,45688.37,-14204.53,540.71,5812.95,-13663.83,-7850.88
881,3712.2,8774.64,9905.32,1004.92,545.85,-3049.13,-5323.9,-57808.89,2473.75,45832.37,-14357.66,549.67,6067.15,-13808.0,-7740.85
891,3776.49,8780.17,9950.02,1006.81,557.06,-3085.92,-5381.97,-57706.2,2462.5,45907.32,-14544.57,546.41,6266.26,-13998.16,-7731.9
901,3688.78,8766.25,9936.9,997.74,550.77,-3090.47,-5398.29,-57247.24,2484.78,45943.55,-14860.7,546.44,6632.78,-14314.26,-7681.48
911,3711.95,8729.55,9837.02,1017.39,557.63,-3104.61,-5369.56,-57244.54,2455.16,45850.41,-14821.05,545.02,6440.39,-14276.03,-7835.64
921,3749.44,8754.61,9959.11,1008.45,521.02,-3118.53,-5500.81,-57163.44,2408.57,45751.07,-14850.91,542.89,6369.48,-14308.02,-7938.54
931,3706.85,8778.09,9865.76,1029.17,563.53,-3099.72,-5487.05,-57306.08,2459.46,45916.75,-14807.36,540.12,6426.78,-14267.24,-7840.46
