protein_a	protein_b	score
PF3D7_0417200	PF3D7_1218600	527
PF3D7_0417200	PF3D7_1463200	526
PF3D7_0417200	PF3D7_1305000	523
PF3D7_0417200	PF3D7_1230400	522
PF3D7_0417200	PF3D7_0907400	522
PF3D7_0417200	PF3D7_0921600	520
PF3D7_0417200	PF3D7_1017000	519
PF3D7_0417200	PF3D7_1342300	516
PF3D7_0417200	PF3D7_0604700	514
PF3D7_0417200	PF3D7_1204300	514
PF3D7_0417200	PF3D7_0412300	513
PF3D7_0417200	PF3D7_1102400	513
PF3D7_0417200	PF3D7_1211300	513
PF3D7_0417200	PF3D7_1355100	513
PF3D7_0417200	PF3D7_0807900	512
PF3D7_0417200	PF3D7_1117500	512
PF3D7_0417200	PF3D7_0804400	511
PF3D7_0417200	PF3D7_1335500	510
PF3D7_0417200	PF3D7_0317400	510
PF3D7_0417200	PF3D7_1312600	510
PF3D7_0417200	PF3D7_1230600	509
PF3D7_0417200	PF3D7_0105900	508
PF3D7_0417200	orc1	508
PF3D7_0417200	PF3D7_0628800	507
PF3D7_0417200	PF3D7_1111000	501
PF3D7_0417200	PF3D7_1020400	501
PF3D7_0417200	PF3D7_0704200	501
PF3D7_0417200	PF3D7_0621350	501
PF3D7_0417200	PF3D7_1129400	501
PF3D7_0417200	PF3D7_1308200	500
PF3D7_0417200	PFC0225c	500
PF3D7_0417200	PF3D7_1344800	500
PF3D7_0417200	PF3D7_0321100	499
PF3D7_0417200	PF3D7_0625300	499
PF3D7_0417200	PF3D7_0501700	499
PF3D7_0417200	PF14_0324	499
PF3D7_0417200	PF3D7_1108900	499
PF3D7_0417200	PF3D7_0213500	499
PF3D7_0417200	PF3D7_0312200	499
PF3D7_0417200	PF3D7_1105300	499
PF3D7_0417200	PF3D7_1110600	498
PF3D7_0417200	PF3D7_0317500	495
PF3D7_0417200	PF3D7_0409700	494
PF3D7_0417200	PF3D7_0704900	494
PF3D7_0417200	PF3D7_1123800	494
PF3D7_0417200	PF3D7_1130700	494
PF3D7_0417200	PF3D7_0603700	494
PF3D7_0417200	PF3D7_1428600	494
PF3D7_0417200	PF3D7_0932400	494
PF3D7_0417200	PF3D7_0109800	494
PF3D7_0417200	PF3D7_1232000	494
PF3D7_0417200	PF3D7_0525200	494
PF3D7_0417200	PF3D7_0827600	492
PF3D7_0417200	PF3D7_1442800	492
PF3D7_0417200	myb1	489
PF3D7_0417200	PF3D7_1454500	488
PF3D7_0417200	PF3D7_1027300	485
PF3D7_0417200	PF3D7_1303500	485
PF3D7_0417200	Q8IHX1_PLAF7	484
PF3D7_0417200	PF3D7_0616000	483
PF3D7_0417200	PF3D7_0309500	482
PF3D7_0417200	PF3D7_1015300	481
PF3D7_0417200	PF3D7_1472400	481
PF3D7_0417200	PF3D7_1311800	481
PF3D7_0417200	PF3D7_0527300	481
PF3D7_0417200	PF3D7_1428300	481
PF3D7_0417200	PF3D7_0517000	480
PF3D7_0417200	PF3D7_0612600	479
PF3D7_0417200	PF3D7_0904900	478
PF3D7_0417200	PF3D7_1106500	477
PF3D7_0417200	PF3D7_1104000	476
PF3D7_0417200	NTH1	473
PF3D7_0417200	PF3D7_0503100	471
PF3D7_0417200	PF3D7_0203900	469
PF3D7_0417200	PF3D7_1344200	467
PF3D7_0417200	PF3D7_0112000	467
PF3D7_0417200	PF3D7_0715600	467
PF3D7_0417200	PF3D7_0708800	467
PF3D7_0417200	PF3D7_1203200	467
PF3D7_0417200	PF3D7_1025100	465
PF3D7_0417200	PF3D7_1404400	464
PF3D7_0417200	PF3D7_1006600	463
