Ligand,Affinity_kcal_mol,Category
ligand_349,-6.67,OTHERS
ligand_34,-6.724,OTHERS
ligand_351,-6.711,OTHERS
ligand_352,-6.784,OTHERS
ligand_354,-6.739,OTHERS
ligand_355,-5.782,OTHERS
ligand_356,-7.441,GOOD
ligand_357,-6.924,OTHERS
ligand_358,-7.204,GOOD
ligand_359,-6.911,OTHERS
ligand_35,-3.43,OTHERS
ligand_361,-7.661,GOOD
ligand_362,-5.667,OTHERS
ligand_363,-7.455,GOOD
ligand_364,-5.932,OTHERS
ligand_365,-9.593,EXCELLENT
ligand_366,-7.537,GOOD
ligand_367,-6.192,OTHERS
ligand_368,-6.771,OTHERS
ligand_369,-5.922,OTHERS
ligand_36,-8.325,GOOD
ligand_370,-5.78,OTHERS
ligand_371,-7.417,GOOD
ligand_372,-8.249,GOOD
ligand_373,-6.339,OTHERS
ligand_374,-7.07,GOOD
ligand_375,-9,EXCELLENT
ligand_376,-7.864,GOOD
ligand_377,-6.705,OTHERS
ligand_378,-3.545,OTHERS
ligand_37,-7.161,GOOD
ligand_380,-7.454,GOOD
ligand_381,-7.52,GOOD
ligand_382,-5.498,OTHERS
ligand_383,-6.235,OTHERS
ligand_384,-6.01,OTHERS
ligand_385,-5.219,OTHERS
ligand_386,-6.504,OTHERS
ligand_387,-5.243,OTHERS
ligand_388,-7.5,GOOD
ligand_389,-6.748,OTHERS
ligand_38,-6.366,OTHERS
ligand_390,-6.77,OTHERS
ligand_391,-6.001,OTHERS
ligand_392,-6.112,OTHERS
ligand_393,-7.743,GOOD
ligand_394,-6.377,OTHERS
ligand_395,-7.866,GOOD
ligand_396,-7.398,GOOD
ligand_397,-7.642,GOOD
ligand_398,-6.908,OTHERS
ligand_399,-7.828,GOOD
ligand_39,-6.246,OTHERS
ligand_3,-6.184,OTHERS
ligand_401,-7.673,GOOD
ligand_402,-7.209,GOOD
ligand_403,-6.887,OTHERS
ligand_404,-6.518,OTHERS
ligand_405,-8.065,GOOD
ligand_406,-7.808,GOOD
ligand_407,-6.225,OTHERS
ligand_408,-2.106,OTHERS
ligand_409,-7.311,GOOD
ligand_410,-6.528,OTHERS
ligand_411,-4.43,OTHERS
ligand_412,-5.885,OTHERS
