GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
31,2003.64,4640.87,5759.78,564.0,300.02,-228.12,-4165.77,-34325.99,2081.48,26451.34,-5413.69,235.55,3081.25,-5178.14,-2096.89
41,1989.12,4570.07,5743.78,554.7,293.75,-226.36,-4082.03,-34341.97,2118.92,26465.56,-5530.49,236.48,3085.53,-5294.01,-2208.48
51,1989.97,4646.55,5710.28,563.05,308.25,-235.36,-4149.95,-34324.39,2086.89,26546.01,-5527.65,233.07,3141.3,-5294.58,-2153.28
61,1975.46,4702.47,5709.35,567.03,290.3,-222.94,-4145.56,-34279.73,2078.4,26387.2,-5422.37,232.41,3061.96,-5189.96,-2128.0
71,2046.42,4678.7,5743.18,567.98,287.84,-223.48,-4133.92,-34597.1,2138.34,26485.56,-5296.36,236.24,2993.52,-5060.12,-2066.6
81,1953.81,4610.98,5734.18,558.89,318.25,-211.52,-4151.1,-34552.32,2078.02,26519.77,-5339.28,231.37,2858.97,-5107.91,-2248.93
91,2011.31,4538.62,5699.91,570.27,296.1,-227.08,-4164.43,-34457.71,2088.42,26449.54,-5360.8,231.6,2804.94,-5129.2,-2324.27
101,2055.65,4571.46,5703.1,559.42,326.24,-207.06,-4138.06,-34409.05,2080.22,26549.12,-5457.73,236.09,3091.06,-5221.64,-2130.58
111,2025.27,4639.2,5720.37,570.15,307.11,-227.62,-4104.75,-34355.64,2094.57,26464.04,-5495.31,233.94,3132.69,-5261.36,-2128.67
121,2011.36,4592.89,5772.89,568.9,296.33,-241.49,-4153.74,-34333.09,2108.02,26471.29,-5496.98,231.82,3093.36,-5265.16,-2171.8
131,1988.46,4605.45,5817.42,571.11,332.44,-233.56,-4122.72,-34227.55,2111.17,26486.8,-5571.97,237.99,3329.04,-5333.98,-2004.94
141,1991.67,4589.73,5702.24,559.02,318.42,-224.37,-4107.03,-34438.66,2103.59,26539.89,-5477.2,236.45,3034.5,-5240.74,-2206.24
151,2082.24,4600.22,5714.49,550.53,306.38,-249.46,-4103.88,-34146.27,2083.93,26369.61,-5643.44,237.43,3207.78,-5406.01,-2198.22
161,2044.97,4713.26,5753.33,558.28,302.5,-242.56,-4100.38,-34417.11,2099.54,26424.47,-5478.84,234.74,3136.29,-5244.1,-2107.81
171,1990.56,4546.32,5762.78,552.92,299.7,-226.16,-4128.94,-34340.23,2106.16,26396.41,-5416.93,234.46,2959.52,-5182.48,-2222.95
181,2078.93,4656.29,5732.13,552.22,311.41,-248.47,-4168.3,-34172.84,2064.3,26413.94,-5579.44,236.34,3219.6,-5343.1,-2123.5
191,1985.85,4610.74,5730.65,552.4,304.44,-212.64,-4171.3,-34041.15,2105.68,26466.71,-5719.67,237.29,3331.37,-5482.38,-2151.01
201,2032.45,4579.68,5753.68,551.84,305.17,-236.73,-4083.94,-34119.08,2129.78,26404.7,-5644.45,233.88,3317.55,-5410.58,-2093.03
211,1955.88,4614.62,5727.57,549.81,317.44,-214.78,-4085.99,-34258.9,2074.1,26475.94,-5616.01,235.16,3155.69,-5380.86,-2225.16
221,2018.49,4641.01,5692.78,561.67,317.82,-235.41,-4136.82,-33998.06,2075.05,26387.41,-5766.67,236.76,3323.94,-5529.91,-2205.97
231,2024.43,4579.65,5705.48,552.91,298.44,-245.47,-4050.44,-34011.6,2060.41,26380.18,-5785.31,242.13,3294.0,-5543.18,-2249.18
