smile,score_1syh,score_6y2f,score_4lde
CCC(C)NCC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-3.6,-6.0,-8.9
CC(O)(c1ccc(Cl)cc1)C(CN1CCCCC1)c1ccccc1,-1.2,-6.9,-9.5
O=C(Nc1nc(-c2ccccn2)cs1)c1ccccc1Br,6.9,-5.9,-9.5
CCOc1ccc(C=Cc2nc(=O)c3ccccc3o2)cc1,9.6,-6.2,-10.2
O=C(c1ccccc1F)N(Cc1ccc(Cl)cc1)c1ccccn1,-4.5,-6.4,-8.0
CCCCNCC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-3.5,-6.0,-7.9
O=C(NCc1ccco1)C1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,-3.0,-6.3,-9.0
COc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccncc2)cc1,5.8,-7.2,-8.6
COc1cccc(NC(=O)Cn2c(C)c(C#N)c3ccccc32)c1,1.4,-6.4,-9.4
O=C(Nc1cccc(C(F)(F)F)c1)c1cc(Cl)ccc1O,-2.8,-6.6,-10.3
CC(C)=CCN1CCC(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)CC1,130.1,-6.4,-10.7
FC(F)(F)c1ccc(Nc2nnnc3ccccc23)cc1,-5.5,-7.2,-11.3
CN(C)c1ccc(-c2nc3cc(N)ccc3[nH]2)cc1,7.0,-6.3,-9.4
COc1cccc(O)c1CN1CCC2(CCCN(Cc3ccc(F)cc3)C2)C1,1.9,-6.7,-9.5
CCN1CCN(c2cc(C)c3cc(NC(=O)c4ccc(OC)c(OC)c4)ccc3n2)CC1,10000,-6.3,-4.5
O=C(Nc1ccsc1C(=O)NC1CCCCC1)c1ccc(F)cc1,-2.4,-7.2,-8.2
CCN(CC)c1ccc(NC(=O)c2cccs2)cc1,5.6,-4.9,-8.0
COc1ccc(C(=O)Nc2ccc3nc(N4CCCCC4)cc(C)c3c2)cc1OC,85.6,-7.1,-10.4
CCN(CC)c1cc(C)c2cc(NC(=O)c3cccc(OC)c3)ccc2n1,22.0,-6.5,-10.5
CC(NCc1ccccc1)c1cc(Cl)ccc1O,-7.2,-5.5,-8.9
CCCc1c(C)[nH]c2ccccc2c1=O,-6.7,-5.4,-7.6
CN1c2ccccc2N(C)C1c1ccc2c(c1)OCO2,-3.2,-6.2,-9.5
Cn1c(=O)c2cc(C(=O)NCCCN3CCCCCC3)sc2c2ccccc21,11.7,-6.8,-10.4
CCOc1cc(Cl)c(C(C)NC(=O)c2cccc(OC)c2)cc1OCC,3.3,-5.9,-7.8
CCOc1c(Cl)cc(CNC(C)C(O)c2ccccc2)cc1OC,-3.4,-5.6,-9.1
COc1ccc(N2CCN(C(CNC(=O)C3CCCCC3)c3ccc4c(c3)OCO4)CC2)cc1,15.3,-7.3,-5.7
Cc1ccc(CSCc2ccc(C(=O)NC3CC3)o2)cc1,-3.6,-5.7,-8.5
CC(=O)NCCc1nc2ccccc2n1Cc1ccc(C(C)C)cc1,-3.7,-6.7,-9.3
O=C(NCC1Cc2cccc(-c3ccncc3)c2O1)c1csc2c1CCCC2,7.0,-7.4,-10.7
Cc1[nH]c(-c2ccc(F)cc2)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,100.3,-7.1,-8.6
COc1ccc(C2N(C)c3ccccc3N2C)cc1,-5.5,-5.8,-8.4
CC(C)(C)c1ccc(C(=O)Nc2nc3ccccc3s2)cc1,25.8,-6.1,-10.0
COc1ccc(-c2nonc2NC(=O)c2cccc(C)c2)cc1OC,-1.1,-6.8,-9.9
Oc1ccccc1CN1CCC2(CCCN(Cc3ccccc3F)C2)C1,0.2,-6.5,-10.0
C=CCc1c(C)[nH]c2ccccc2c1=O,-6.7,-5.3,-7.7
CCN(CC)CCNc1ncnc2c1[nH]c1ccc(Br)cc12,-4.0,-5.2,-7.6
O=C(Nc1ccc(N2CCCCC2)c(Cl)c1)c1ccc(Br)o1,20.1,-6.1,-9.2
O=C(Nc1ccc(N2CCN(Cc3ccccc3)CC2)cc1)c1cccs1,34.3,-6.3,-8.6
CC1CC(C)CN(C(=O)c2ccc(Cl)cc2Cl)C1,-3.5,-5.3,-8.4
Oc1ccccc1CN1CCN(C(c2ccccc2)c2ccccc2)CC1,3.2,-6.6,-8.6
COc1cc2cc(C(=O)Nc3ccccc3)c(N)nc2cc1OC,13.9,-6.6,-9.7
COc1nc(Nc2ccc(C(C)C)cc2)nc(OC)n1,-1.8,-5.7,-9.1
Clc1ccc2[nH]c3c(NCCCN4CCOCC4)ncnc3c2c1,-2.7,-6.5,-8.6
OC(CNC1CCCC1)Cn1c2ccccc2c2ccccc21,-5.1,-5.8,-8.9
Clc1cc(Br)ccc1-c1ccc(CNCC2CCNCC2)o1,-2.4,-6.4,-9.1
CCOc1ccc(C2N(C)c3ccccc3N2C)cc1,-5.3,-5.6,-8.5
CCOc1cc(CNC(C)C(O)c2ccccc2)cc(Cl)c1OCC,-2.6,-5.8,-9.1
CCc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1,-2.6,-6.0,-9.2
Cc1cc(N2CCN(C3CCCC3)CC2)n2c(nc3ccccc32)c1C#N,9.4,-6.9,-3.7
CCCCOc1ccc(C(=O)Nc2cc(C)on2)cc1,-0.4,-5.5,-8.4
CCN(Cc1ccccc1)C1CCN(Cc2cc(Br)ccc2O)CC1,-0.8,-6.2,-8.8
CC(C)(C)CC(C)(C)NCC(O)COc1ccc(Cl)cc1Cl,-2.1,-5.1,-8.7
COc1cc(SC)ccc1C(=O)N1CCCC(C)C1,1.3,-5.6,-7.3
COc1ccc2nc(C)cc(Nc3ccccc3O)c2c1,-5.7,-6.9,-9.8
Cc1cc(NC(=O)c2ccc(-c3ccccc3)cc2)no1,15.9,-6.5,-10.3
Cc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1F,4.8,-6.2,-9.9
O=c1nc(C=Cc2ccc(Cl)cc2)oc2ccccc12,6.2,-6.1,-10.5
CCC(O)c1ccc(Br)cc1NC(=O)c1cccc(Cl)c1,-2.2,-6.3,-9.1
Cc1cc(Nc2cccc(F)c2)nc(NCc2ccccc2)n1,-6.2,-6.9,-10.2
O=C1CC(O)(C(F)(F)C(F)(F)F)Oc2ccccc21,-8.2,-6.4,-9.4
O=C(Nc1ccc(Br)cc1)Nc1cccc(Cl)c1,6.0,-5.8,-9.4
CCOc1ccc(CCNC(=O)c2cccs2)cc1OCC,-4.5,-5.7,-8.4
COc1ccc(-c2nonc2NC(=O)c2cccc(Cl)c2)cc1OC,-1.3,-6.8,-9.5
COCCn1c(C)nc2ccccc2c1=O,-6.2,-5.3,-7.1
CCOc1c(Cl)cc(CNCC(O)c2ccccc2)cc1OC,-3.9,-6.1,-9.0
COc1ccc2nc(C)cc(Nc3ccc(Cl)cc3)c2c1,-3.6,-6.2,-8.5
CCCCc1c(C)[nH]c2c(OC)cccc2c1=O,-6.2,-5.4,-7.6
CCOc1cc2c(cc1OCC)C(c1cc(C)c(O)c(C)c1)NCC2,4.9,-6.6,-7.0
CC(C)c1ccc(CNCC(O)c2ccccc2)cc1,-4.7,-4.9,-9.4
Cc1c(C)n(CC(O)CNC2CCCCC2C)c2ccccc12,-2.6,-5.9,-9.6
Oc1ccc(Br)cc1CN1CCN(Cc2cccc(F)c2)CC1,1.7,-6.2,-9.4
CN(C)CCNc1cc(-c2ccccc2)nc2ccccc12,-2.9,-6.3,-8.6
COc1ccc2nc(C)cc(Nc3cccc(O)c3)c2c1,-5.8,-6.9,-9.6
Clc1ccc2c(N3CCCC3)ccnc2c1,-5.8,-5.4,-7.7
CCOc1ccccc1NC(=O)CN1CCN(C(=O)c2ccco2)CC1,-1.7,-6.6,-9.2
CCOc1ccccc1CN1CCc2[nH]c3cc(C(C)(C)C)nn3c(=O)c2C1,12.9,-6.5,-8.1
CN1CCN(c2ncnc3c2[nH]c2ccc(Cl)cc23)CC1,4.7,-6.5,-8.1
COc1cccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)c1,46.7,-6.9,-10.7
CN(C)CCCNCc1ccc(-c2ccc(F)c(Cl)c2)o1,-4.5,-5.4,-8.3
CCC(=O)Nc1nnc(Cc2ccc(OC)c(OC)c2)s1,-1.1,-6.5,-8.4
OC(CNCc1ccccc1)Cn1c2ccccc2c2ccccc21,-2.8,-6.2,-9.9
O=c1nc(C=Cc2ccc(Br)cc2)oc2ccccc12,8.9,-6.2,-10.3
CCOc1cc2c(cc1OCC)C(c1cc(Cl)c(O)c(OCC)c1)NCC2,6.2,-6.4,-7.0
COc1ccc(N2CCN(C(CNC(=O)CC(C)(C)C)c3ccc4c(c3)OCO4)CC2)cc1,10.8,-6.6,-6.0
COc1ccc(C(=O)C2CC2c2ccc(Cl)cc2)cc1,-5.7,-5.4,-9.2
COc1ccc(CN2CCN(Cc3ccccc3)CC2)c(O)c1,-0.1,-6.1,-8.4
CCOC(=O)c1cnc2ccc(Cl)cc2c1NCCCN(C)C,-3.8,-6.1,-8.4
Oc1ccc(C(=C(Cl)Cl)c2ccc(O)cc2)cc1,-6.5,-5.9,-9.1
Cc1[nH]c2ccccc2c(=O)c1CC=C(Cl)Cl,-6.2,-5.5,-8.2
CC(C)(C)c1ccc2c(c1)CN(Cc1ccc(Cl)cc1)CO2,-2.4,-6.2,-8.9
CCCCCn1c(=N)n(CC(O)COc2cccc(C)c2)c2ccccc21,10000,10000,10000
CCOC(=O)C1(Cc2ccccc2)CCN(Cc2cccc(OC)c2O)CC1,3.5,-6.1,-9.1
Cc1ccc(OCCCCCCNCCO)c(C)c1,-5.5,-4.8,-7.5
CC(C)CCNCC(O)Cn1c2ccccc2c2ccccc21,-4.6,-5.5,-8.6
CCCCCCc1cc(O)c2c3c(c(=O)oc2c1)CCC(C)C3,0.8,-6.3,-9.2
CCOc1ccc2c(c1)CN(Cc1ccc(Cl)cc1)CO2,-6.3,-5.8,-8.5
CCCc1c(C)[nH]c2ccc(Br)cc2c1=O,-5.0,-5.6,-7.2
CCOC(=O)c1c[nH]c2c(CC)cccc2c1=O,-6.4,-5.6,-8.2
COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,8.4,-6.7,-10.9
COc1ccc(CN2CCCC(C(=O)c3ccc(C(F)(F)F)cc3)C2)c(O)c1,0.9,-6.6,-10.3
CN(C)c1ccc(N=Cc2ccc(N3CCOCC3)cc2)cc1,36.5,-5.6,-9.3
CCOc1cc2c(cc1OCC)C(c1cc(Cl)ccc1O)NCC2,1.9,-6.3,-7.7
CCCCc1c(CCC)c(=N)c2ccccc2n1C,10000,10000,10000
COc1ccc(C=C2SC(=Nc3ccc(F)cc3)NC2=O)c(OC)c1,24.6,-6.2,-9.0
COc1ccc(C=C2SC(=Nc3ccccc3)NC2=O)cc1,15.2,-6.0,-8.4
CCOc1ccc2nc(C)cc(Nc3ccc(N(C)C)cc3)c2c1,3.5,-6.6,-9.0
CCOC(=O)c1cnc2ccc(OC)cc2c1NCc1ccccc1,-3.0,-6.7,-8.8
Nc1nc(Nc2cccc(F)c2)nc2ccccc12,-4.5,-6.9,-10.0
COc1cccc(Nc2nc(N)c3ccccc3n2)c1,-4.3,-6.3,-9.7
CCOC(=O)c1cnc2ccc(OC)cc2c1Nc1ccc(N2CCN(C)CC2)cc1,15.0,-6.8,-8.3
CN1CCN(c2nc(Nc3ccc(O)cc3)nc3ccccc23)CC1,2.8,-7.2,-8.6
Oc1ccc(Br)cc1CN1CCN(Cc2ccc(Cl)cc2)CC1,3.0,-6.1,-9.4
O=C(CCl)NCCOc1ccc(Cl)cc1Cl,-6.4,-4.9,-7.1
CCOc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,-5.4,-5.4,-8.5
COc1ccc(Nc2cc(C)nc(NCc3ccccc3)n2)cc1,-1.9,-6.4,-9.4
COc1cc(CNCCc2ccc(Cl)cc2)cc(OC)c1O,-6.0,-5.3,-9.0
CCCCNc1nc(NC(C)(C)C)nc(NC(C)(C)C)n1,-2.5,-5.5,-6.9
CC(=O)c1sc(NC(=O)Nc2ccc(C)cc2C)nc1C,10.6,-5.9,-9.9
Cc1ccc(Nc2nc(N)c3ccccc3n2)cc1Cl,-1.1,-6.6,-10.4
O=C(NNc1cc(N2CCCC2)nc(N2CCCC2)n1)c1ccccc1,5.3,-7.4,-8.1
O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCCCC1,-1.4,-6.6,-9.8
CCc1ccc(CNCC(O)c2ccccc2)cc1,-5.9,-4.7,-9.0
OCCNc1nc(Nc2ccc(Cl)c(Cl)c2)nc2ccccc12,1.9,-6.6,-9.9
COc1cc2ccc(=O)oc2cc1OCC=C(C)C,-6.2,-5.8,-8.1
COc1cc2ccc(=O)oc2cc1OC/C=C(\C)CCC=C(C)C,-3.7,-5.8,-9.4
COc1cc2ccc(=O)oc2cc1OC/C=C(/C)CO,-6.2,-6.0,-7.9
COc1cc2oc(=O)ccc2cc1CC=C(C)C,-6.1,-5.8,-7.9
CC(C)=CCOc1ccc2ccc(=O)oc2c1,-7.6,-5.9,-9.1
COc1cc2ccc(=O)oc2cc1OC,-8.2,-5.0,-6.7
COc1cc2ccc(=O)oc2c(O)c1OCC=C(C)C,-5.9,-6.4,-7.8
COc1ccc2ccc(=O)oc2c1OCC=C(C)C,-6.5,-5.7,-8.1
COc1cc2ccc(=O)oc2cc1O,-8.2,-5.3,-8.0
COc1cc2ccc(=O)oc2cc1OC[C@@H](O)C(C)(C)O,-6.1,-6.6,-8.2
COc1cc2ccc(=O)oc2cc1OC[C@H](O)C(C)(C)O,-6.1,-6.2,-8.1
COc1cc2oc(=O)ccc2cc1O[C@H](CC(C)C)C(C)C,-3.0,-5.9,-8.2
COc1cc2oc(=O)ccc2cc1OCC[C@H](C)OC,-6.0,-5.5,-7.8
CC[C@@H](COc1cc2ccc(=O)oc2cc1OC)OC,-6.5,-5.5,-7.7
CC[C@H](COc1cc2oc(=O)ccc2cc1OC)OC,-6.0,-5.8,-7.6
COc1cc2oc(=O)ccc2cc1O[C@@H](CC(C)C)C(C)C,-3.9,-5.9,-7.9
CCOc1cc2ccc(=O)oc2cc1OCC,-6.6,-5.1,-7.0
CC[C@@H](COc1cc2oc(=O)ccc2cc1OC)OC,-5.8,-6.1,-7.3
COc1cc2ccc(=O)oc2cc1OCC[C@H](C)OC,-5.4,-5.6,-7.8
COc1cc2oc(=O)ccc2cc1OCC[C@@H](C)OC,-5.9,-5.4,-7.8
COc1cc2ccc(=O)oc2cc1OCC[C@@H](C)OC,-5.8,-5.7,-7.5
COc1cc2ccc(=O)oc2cc1O[C@@H](CC(C)C)C(C)C,-3.9,-6.0,-8.6
COc1cc2ccc(=O)oc2cc1O[C@H](CC(C)C)C(C)C,-3.8,-5.9,-8.1
CC[C@H](COc1cc2ccc(=O)oc2cc1OC)OC,-6.4,-5.6,-7.7
COc1cc2oc(=O)ccc2cc1OC(C(C)C)C(C)C,-4.1,-5.9,-8.0
COc1cc2ccc(=O)oc2cc1OC(C(C)C)C(C)C,-4.7,-5.9,-8.1
CCO[C@@H](C)COc1cc2ccc(=O)oc2cc1OC,-6.4,-5.4,-7.6
CCO[C@H](C)COc1cc2ccc(=O)oc2cc1OC,-6.8,-5.6,-7.5
COc1cc2oc(=O)ccc2cc1O,-8.7,-5.1,-8.1
COc1cc2ccc(=O)oc2cc1OC(C)C,-6.8,-5.4,-7.3
COc1cc2oc(=O)ccc2cc1C(C)=O,-7.0,-5.2,-7.2
CCC(CC)Oc1cc2ccc(=O)oc2cc1OC,-6.5,-5.5,-8.0
CCC(CC)Oc1cc2oc(=O)ccc2cc1OC,-6.2,-5.6,-7.7
CC[C@@H](Oc1cc2ccc(=O)oc2cc1OC)C(C)C,-5.1,-5.7,-7.9
CCC(CC)[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,-3.5,-5.6,-8.1
