Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_312,-7.096,-5.885,-7.096,GOOD
ligand_313,-7.128,-5.152,-7.128,GOOD
ligand_314,-7.572,-6.211,-7.572,GOOD
ligand_315,-7.713,-6.396,-7.713,GOOD
ligand_316,-7.576,-6.665,-7.576,GOOD
ligand_317,-7.491,-6.018,-7.491,GOOD
ligand_318,-8.025,-6.24,-8.025,GOOD
ligand_319,-7.102,-5.796,-7.102,GOOD
ligand_31,-7.113,-5.041,-7.113,GOOD
ligand_320,-5.809,-4.532,-5.809,OTHERS
ligand_321,-5.953,-4.596,-5.953,OTHERS
ligand_322,-7.88,-5.478,-7.88,GOOD
ligand_323,-6.184,-4.667,-6.184,OTHERS
ligand_325,-6.032,-4.783,-6.032,OTHERS
ligand_326,-8.588,-5.616,-8.588,GOOD
ligand_327,-5.702,-4.534,-5.702,OTHERS
ligand_328,-5.48,-4.672,-5.48,OTHERS
ligand_329,-6.423,-5.254,-6.423,OTHERS
ligand_32,-7.278,-5.438,-7.278,GOOD
ligand_330,-6.822,-4.878,-6.822,OTHERS
ligand_331,-6.685,-4.742,-6.685,OTHERS
ligand_332,-8.035,-6.449,-8.035,GOOD
ligand_333,-7.498,-6.443,-7.498,GOOD
ligand_334,-7.307,-6.477,-7.307,GOOD
ligand_335,-6.227,-4.871,-6.227,OTHERS
ligand_336,-6.931,-5.874,-6.931,OTHERS
ligand_337,-6.178,-5.147,-6.178,OTHERS
ligand_338,-7.872,-6.109,-7.872,GOOD
ligand_339,-5.594,-3.917,-5.594,OTHERS
ligand_33,-5.699,-4.587,-5.699,OTHERS
ligand_340,-6.244,-5.292,-6.244,OTHERS
ligand_341,-4.758,-3.581,-4.758,OTHERS
ligand_342,-8.052,-6.349,-8.052,GOOD
ligand_343,-6.345,-5.185,-6.345,OTHERS
ligand_344,-5.907,-4.898,-5.907,OTHERS
ligand_345,-8.552,-5.377,-8.552,GOOD
ligand_346,-7.971,-6.224,-7.971,GOOD
ligand_347,-5.809,-4.909,-5.809,OTHERS
ligand_348,-7.17,-6.256,-7.17,GOOD
ligand_349,-6.386,-5.286,-6.386,OTHERS
ligand_34,-7.145,-6.642,-7.145,GOOD
ligand_350,-6.878,-5.174,-6.878,OTHERS
ligand_351,-6.72,-4.421,-6.72,OTHERS
ligand_352,-7.913,-6.004,-7.913,GOOD
ligand_353,-6.545,-5.052,-6.545,OTHERS
ligand_354,-7.994,-6.474,-7.994,GOOD
ligand_355,-10.12,-7.686,-10.12,EXCELLENT
ligand_356,-7.676,-5.571,-7.676,GOOD
ligand_357,-6.907,-4.783,-6.907,OTHERS
ligand_358,-6.114,-4.817,-6.114,OTHERS
ligand_359,-7.409,-5.853,-7.409,GOOD
ligand_35,-7.104,-3.347,-7.104,GOOD
ligand_360,-4.892,-4.101,-4.892,OTHERS
ligand_361,-5.914,-4.602,-5.914,OTHERS
ligand_362,-7.554,-5.517,-7.554,GOOD
ligand_363,-6.689,-5.31,-6.689,OTHERS
ligand_364,-6.572,-4.742,-6.572,OTHERS
ligand_365,-6.337,-4.299,-6.337,OTHERS
ligand_366,-5.332,-3.562,-5.332,OTHERS
ligand_367,-6.174,-5.135,-6.174,OTHERS
ligand_368,-6.782,-5.072,-6.782,OTHERS
ligand_369,-5.588,-3.965,-5.588,OTHERS
ligand_36,-6.128,-5.292,-6.128,OTHERS
ligand_370,-7.554,-5.508,-7.554,GOOD
ligand_371,-7.306,-5.4,-7.306,GOOD
ligand_372,-7.122,-4.972,-7.122,GOOD
ligand_373,-6.651,-5.379,-6.651,OTHERS
ligand_374,-7.037,-5.993,-7.037,GOOD
ligand_375,-6.994,-5.138,-6.994,OTHERS
ligand_376,-7.044,-3.587,-7.044,GOOD
ligand_377,-6.961,-5.743,-6.961,OTHERS
ligand_378,-5.473,-4.367,-5.473,OTHERS
ligand_379,-7.986,-6.787,-7.986,GOOD
ligand_37,-6.143,-4.84,-6.143,OTHERS
ligand_380,-6.131,-4.979,-6.131,OTHERS
ligand_381,-6.529,-4.988,-6.529,OTHERS
ligand_382,-7.562,-5.99,-7.562,GOOD
ligand_383,-5.587,-4.952,-5.587,OTHERS
ligand_384,-6.676,-4.5,-6.676,OTHERS
ligand_385,-7.83,-6.374,-7.83,GOOD
ligand_386,-7.963,-6.183,-7.963,GOOD
ligand_387,-7.363,-6.525,-7.363,GOOD
ligand_388,-6.133,-4.841,-6.133,OTHERS
ligand_389,-6.456,-5.148,-6.456,OTHERS
ligand_38,-5.617,-4.99,-5.617,OTHERS
ligand_390,-7.18,-5.88,-7.18,GOOD
