smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
CCCc1c(C)c2cccc(C)c2[nH]c1=O,-8.5,-5.5,-8.0,8.25,A
CCc1c(C)[nH]c2cc(OC)ccc2c1=O,-7.3,-5.4,-7.8,7.55,B
CCc1[nH]c2c(F)cccc2c(=O)c1C,-7.2,-5.2,-8.1,7.65,B
CCc1[nH]c2c(O)cccc2c(=O)c1C,-7.8,-5.7,-8.2,8.0,A
CCc1[nH]c2cc(OC)ccc2c(=O)c1CC,-7.0,-5.5,-7.8,7.4,B
CCCCc1c(O)[nH]c2ccccc2c1=O,-8.0,-5.5,-7.9,7.95,B
COC(=O)CCc1c(C)[nH]c2ccccc2c1=O,-7.2,-5.6,-7.9,7.550000000000001,B
Cc1[nH]c2ccccc2c(=O)c1CCC#N,-7.0,-5.2,-7.8,7.4,B
CCCc1c(O)[nH]c2ccccc2c1=O,-8.7,-5.3,-7.9,8.3,A
CCc1c(C)[nH]c2cccc(C)c2c1=O,-7.2,-5.2,-7.7,7.45,B
CCc1c(C)[nH]c2cc(C)ccc2c1=O,-7.2,-5.2,-8.3,7.75,B
CC(=O)CCc1c(C)c2cccc(C)c2[nH]c1=O,-8.5,-5.7,-8.8,8.65,A
CCc1c(C)[nH]c2cccc(Cl)c2c1=O,-7.2,-5.2,-7.5,7.35,B
CCc1c(C)[nH]c2cc(F)ccc2c1=O,-7.2,-5.2,-7.8,7.5,B
CCc1c(C)[nH]c2ccc(F)cc2c1=O,-7.2,-5.4,-7.4,7.300000000000001,B
CCc1c(C)[nH]c2cc(C(F)(F)F)ccc2c1=O,-7.0,-6.0,-8.9,7.95,B
CCc1c(C)[nH]c2ccc(C(F)(F)F)cc2c1=O,-7.0,-6.2,-8.0,7.5,B
CCc1ccc2[nH]c(C)c(CC)c(=O)c2c1,-7.1,-5.4,-7.3,7.199999999999999,B
CCc1ccc2c(=O)c(CC)c(C)[nH]c2c1,-7.2,-5.5,-8.3,7.75,B
COc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(CC=C(C)C)c1O,-1.0,-7.3,-10.1,8.7,A
CC(C)=CCc1cc2c(cc1O)O[C@H](c1ccc(O)cc1)CC2=O,9.6,-7.5,-10.4,8.95,A
CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)ccc1O,-2.9,-7.2,-10.4,8.8,A
COc1cc(O)c(CC=C(C)C)c2c1C(=O)C[C@@H](c1ccc(O)cc1)O2,-0.9,-7.4,-8.6,8.0,A
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2,12.0,-7.6,-10.8,9.2,A
CC(C)=CCc1c(O)ccc2c1O[C@H](c1ccc(O)cc1)CC2=O,-2.8,-7.2,-10.2,8.7,A
COc1cc2c(c(OC)c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2,1.3,-7.0,-9.7,8.35,A
COc1cc(O)cc2c1C(=O)C[C@@H](c1ccc(O)cc1)O2,-2.7,-7.2,-10.1,8.65,A
