smiles,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,tfp_valid
c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,19.8,-7.0,-10.6,8.8,A,2.074182748794556,6.0,1.3806220293045044,0.8135915398597717,2.260551929473877,0.2888007164001465,3.074143409729004,0.1371644884347915,0.8419119119644165,0.9596203565597534,1.2753710746765137,True
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,-7.9,-6.4,-8.5,8.2,A,1.7240664958953855,3.0,1.3782460689544678,0.5443844795227051,2.921294927597046,0.5416470766067505,3.465679407119751,0.3249089121818542,0.9302345514297484,1.0274808406829834,1.2028634548187256,True
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,-7.0,-5.3,-8.6,7.8,B,1.2604204416275024,3.0,1.3736804723739624,0.7253986597061157,2.5138702392578125,0.5458745956420898,3.2392687797546387,0.2035254687070846,1.0273678302764893,1.266231894493103,1.3199561834335327,True
Cc1cc(C)cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.5,-7.3,-9.6,8.45,A,1.2479658126831057,3.0,1.3799080848693848,0.6437151432037354,2.663445472717285,0.9796847701072692,3.3071606159210205,0.7743231058120728,1.1480528116226196,1.3108229637145996,1.3453655242919922,True
COc1ccccc1CNC(=O)CCn1c(=O)[nH]c2ccccc2c1=O,-1.1,-7.1,-10.3,8.7,A,1.7380530834197998,3.0,1.3875995874404907,0.5929179191589355,2.404948711395264,0.3528572916984558,2.997866630554199,0.2352356761693954,1.3639111518859863,1.3860595226287842,1.3868296146392822,True
COc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccncc2)cc1,5.8,-7.2,-8.6,7.9,B,2.173973560333252,7.0,1.3964329957962036,0.678165078163147,2.3228275775909424,0.4122651517391205,3.000992774963379,0.2699765563011169,0.5233231782913208,0.6677539348602295,1.3519257307052612,True
FC(F)(F)c1ccc(Nc2nnnc3ccccc23)cc1,-5.5,-7.2,-11.3,9.25,A,1.620570421218872,3.0,1.4011648893356323,0.7311689257621765,2.3466134071350098,0.3851272463798523,3.077782154083252,0.2045642286539077,1.354131102561951,1.3848308324813845,1.3929978609085083,True
O=C(Nc1ccsc1C(=O)NC1CCCCC1)c1ccc(F)cc1,-2.4,-7.2,-8.2,7.699999999999999,B,1.8393468856811523,6.0,1.389420509338379,0.5486304759979248,2.394378423690796,0.3370893895626068,2.9430088996887207,0.2579685747623443,0.5539314150810242,0.5699174404144287,0.6009443998336792,True
COc1ccc(C(=O)Nc2ccc3nc(N4CCCCC4)cc(C)c3c2)cc1OC,85.6,-7.1,-10.4,8.75,A,2.269347667694092,4.0,1.389764666557312,0.6187484860420227,2.3303298950195312,0.2888290286064148,2.9490785598754883,0.2181555926799774,1.2581945657730105,1.381414771080017,1.3845994472503662,True
CC(NCc1ccccc1)c1cc(Cl)ccc1O,-7.2,-5.5,-8.9,8.05,A,1.257679104804993,2.0,1.378862380981445,0.5544479489326477,2.453290700912476,0.4991955459117889,3.0077385902404785,0.3949309885501861,1.374142050743103,1.3757154941558838,1.3772889375686646,True
O=C(NCC1Cc2cccc(-c3ccncc3)c2O1)c1csc2c1CCCC2,7.0,-7.4,-10.7,9.05,A,1.783010959625244,6.0,1.3920419216156006,0.8434014916419983,2.498772382736206,0.6172232627868652,3.34217381477356,0.3484471440315246,0.9464607238769532,1.0941799879074097,1.3051297664642334,True
Cc1[nH]c(-c2ccc(F)cc2)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,100.3,-7.1,-8.6,7.85,B,2.12896990776062,6.0,1.3794670104980469,0.5906964540481567,2.4254918098449707,0.3699774146080017,3.016188144683838,0.2065460532903671,0.7469562888145447,0.9684110283851624,1.315294623374939,True
O=C1CC(O)(C(F)(F)C(F)(F)F)Oc2ccccc21,-8.2,-6.4,-9.4,8.8,A,1.5340033769607544,4.0,1.3900346755981443,0.7673875689506531,2.539175271987915,0.572105348110199,3.306562900543213,0.6224967837333679,0.9334369897842408,1.1338176727294922,1.2866499423980713,True
CN1CCN(c2nc(Nc3ccc(O)cc3)nc3ccccc23)CC1,2.8,-7.2,-8.6,7.9,B,1.9647372961044312,5.0,1.38823664188385,0.6731846332550049,2.305166482925415,0.3095601797103882,2.97835111618042,0.2867761850357055,0.7743685245513916,1.3029736280441284,1.365095853805542,True
O=C(NNc1cc(N2CCCC2)nc(N2CCCC2)n1)c1ccccc1,5.3,-7.4,-8.1,7.75,B,2.009511232376098,5.0,1.3894258737564087,0.507988452911377,2.40885591506958,0.3557824194431305,2.916844367980957,0.185129776597023,0.8903379440307617,0.8950214385986328,1.2963188886642456,True
COc1cc2ccc(=O)oc2cc1O,-8.2,-5.3,-8.0,8.1,A,1.198870301246643,2.0,1.3768218755722046,0.8396592140197754,2.157432079315185,0.1808233261108398,2.997091293334961,0.3494908809661865,1.2950410842895508,1.3223013877868652,1.34956157207489,True
COc1cc2oc(=O)ccc2cc1O,-8.7,-5.1,-8.1,8.399999999999999,A,1.1894207000732422,2.0,1.4185453653335571,0.8436347246170044,2.1617743968963623,0.1853396296501159,3.005409240722656,0.3596003651618957,1.3024609088897705,1.341155767440796,1.3798505067825315,True
COc1cc2oc(=O)ccc2cc1C(C)=O,-7.0,-5.2,-7.2,7.1,B,1.3195756673812866,3.0,1.397059679031372,0.7162998914718628,2.370774030685425,0.3392444849014282,3.087074041366577,0.2263934016227722,0.8914190530776978,1.265181303024292,1.331120491027832,True
CC[C@@H](C)Oc1cc2ccc(=O)oc2cc1OC,-7.4,-5.4,-7.6,7.5,B,1.5285576581954956,2.0,1.396237015724182,0.6654964089393616,2.368616819381714,0.3568506836891174,3.0341131687164307,0.368518054485321,1.297597050666809,1.330476999282837,1.3633570671081543,True
