Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_354,-8.869,-5.853,-8.869,GOOD
ligand_355,-13.37,-7.919,-13.37,EXCELLENT
ligand_356,-7.014,-1.431,-7.014,GOOD
ligand_357,-7.827,-5.65,-7.827,GOOD
ligand_358,-7.259,-4.671,-7.259,GOOD
ligand_359,-9.211,-5.641,-9.211,EXCELLENT
ligand_35,-8.865,-5.18,-8.865,GOOD
ligand_360,-6.158,-4.331,-6.158,OTHERS
ligand_361,-7.02,-4.544,-7.02,GOOD
ligand_362,-10.12,-6.213,-10.12,EXCELLENT
ligand_363,-8.681,-6.059,-8.681,GOOD
ligand_364,-7.766,-4.932,-7.766,GOOD
ligand_365,-7.317,-3.839,-7.317,GOOD
ligand_366,-7.052,-3.327,-7.052,GOOD
ligand_367,-8.034,-5.713,-8.034,GOOD
ligand_368,-8.819,-5.653,-8.819,GOOD
ligand_369,-6.751,-4,-6.751,OTHERS
ligand_36,-8.166,-4.389,-8.166,GOOD
ligand_370,-9.929,-5.17,-9.929,EXCELLENT
ligand_371,-9.753,-5.603,-9.753,EXCELLENT
ligand_372,-8.46,-5.392,-8.46,GOOD
ligand_373,-8.922,-5.293,-8.922,GOOD
ligand_374,-9.155,-5.373,-9.155,EXCELLENT
ligand_375,-7.857,-5.158,-7.857,GOOD
ligand_376,-8.966,-5.004,-8.966,GOOD
ligand_377,-8.931,-5.135,-8.931,GOOD
ligand_378,-6.317,-3.792,-6.317,OTHERS
ligand_379,-9.469,-6.885,-9.469,EXCELLENT
ligand_37,-7.504,-4.631,-7.504,GOOD
ligand_380,-8.376,-6.013,-8.376,GOOD
ligand_381,-8.801,-4.325,-8.801,GOOD
ligand_382,-9.087,-5.843,-9.087,EXCELLENT
ligand_383,-6.875,-4.119,-6.875,OTHERS
ligand_384,-9.126,-5.25,-9.126,EXCELLENT
ligand_385,-8.317,-4.956,-8.317,GOOD
ligand_386,-7.587,-3.345,-7.587,GOOD
ligand_387,-9.464,-6.136,-9.464,EXCELLENT
ligand_388,-8.212,-5.524,-8.212,GOOD
ligand_389,-8.547,-6.209,-8.547,GOOD
ligand_38,-7.659,-5.874,-7.659,GOOD
ligand_390,-10.44,-6.046,-10.44,EXCELLENT
ligand_391,-8.263,-5.336,-8.263,GOOD
ligand_392,-8.371,-5.173,-8.371,GOOD
ligand_393,-7.617,-4.071,-7.617,GOOD
ligand_394,-9.605,-5.914,-9.605,EXCELLENT
ligand_395,-11.36,-7.904,-11.36,EXCELLENT
ligand_396,-9.812,-5.779,-9.812,EXCELLENT
ligand_397,-8.762,-4.61,-8.762,GOOD
ligand_398,-7.674,-6.44,-7.674,GOOD
ligand_399,-9.247,-5.895,-9.247,EXCELLENT
ligand_39,-8.029,-4.86,-8.029,GOOD
ligand_3,-8.421,-3.009,-8.421,GOOD
ligand_40,-8.209,-5.449,-8.209,GOOD
ligand_41,-8.232,-4.668,-8.232,GOOD
ligand_42,-9.355,-5.685,-9.355,EXCELLENT
ligand_43,-9.711,-5.272,-9.711,EXCELLENT
ligand_44,-8.591,-6.186,-8.591,GOOD
ligand_45,-6.413,-4.098,-6.413,OTHERS
ligand_46,-7.783,-4.294,-7.783,GOOD
ligand_47,-6.709,-4.326,-6.709,OTHERS
ligand_48,-7.091,-4.377,-7.091,GOOD
ligand_49,-6.924,-4.64,-6.924,OTHERS
ligand_4,-7.158,-4.456,-7.158,GOOD
ligand_50,-9.228,-5.436,-9.228,EXCELLENT
ligand_51,-8.196,-5.457,-8.196,GOOD
ligand_52,-7.857,-4.898,-7.857,GOOD
ligand_53,-4.309,-0.5486,-4.309,OTHERS
ligand_54,-7.927,-4.703,-7.927,GOOD
ligand_55,-7.633,-5.353,-7.633,GOOD
ligand_56,-9.048,-6.62,-9.048,EXCELLENT
ligand_57,-8.351,-5.106,-8.351,GOOD
ligand_58,-6.752,-4.145,-6.752,OTHERS
ligand_59,-7.561,-5.247,-7.561,GOOD
ligand_5,-7.799,-5.444,-7.799,GOOD
ligand_60,-7.257,-5.616,-7.257,GOOD
ligand_61,-10.43,-6.853,-10.43,EXCELLENT
ligand_62,-9.98,-5.814,-9.98,EXCELLENT
ligand_63,-7.864,-5.376,-7.864,GOOD
ligand_64,-7.157,-4.604,-7.157,GOOD
ligand_65,-8.335,-5.02,-8.335,GOOD
ligand_66,-8.226,-5.489,-8.226,GOOD
ligand_67,-7.192,-4.453,-7.192,GOOD
ligand_68,-8.352,-5.234,-8.352,GOOD
ligand_69,-8.404,-5.452,-8.404,GOOD
ligand_6,-7.349,-3.107,-7.349,GOOD
ligand_70,-8.197,-4.881,-8.197,GOOD
ligand_71,-7.959,-4.804,-7.959,GOOD
ligand_72,-9.159,-5.121,-9.159,EXCELLENT
ligand_73,-10.15,-6.609,-10.15,EXCELLENT
ligand_74,-8.187,-6.128,-8.187,GOOD
ligand_75,-7.434,-4.547,-7.434,GOOD
ligand_76,-8.144,-4.91,-8.144,GOOD
ligand_77,-8.407,-5.327,-8.407,GOOD
ligand_78,-8.051,-4.89,-8.051,GOOD
ligand_79,-9.068,-6.794,-9.068,EXCELLENT
ligand_7,-6.16,-4.372,-6.16,OTHERS
ligand_80,-7.655,-4.285,-7.655,GOOD
ligand_81,-9.809,-5.786,-9.809,EXCELLENT
ligand_82,-9.439,-5.006,-9.439,EXCELLENT
ligand_83,-8.737,-4.913,-8.737,GOOD
ligand_84,-9.781,-6.135,-9.781,EXCELLENT
ligand_85,-8.923,-5.762,-8.923,GOOD
ligand_86,-10.24,-6.19,-10.24,EXCELLENT
ligand_87,-7.612,-4.568,-7.612,GOOD
ligand_88,-8.383,-6.116,-8.383,GOOD
ligand_89,-7.815,-6.084,-7.815,GOOD
ligand_8,-9.451,-5.117,-9.451,EXCELLENT
ligand_90,-8.794,-6.592,-8.794,GOOD
ligand_91,-6.644,-4.288,-6.644,OTHERS
ligand_92,-7.687,-4.865,-7.687,GOOD
ligand_93,-8.882,-4.95,-8.882,GOOD
ligand_94,-7.805,-5.076,-7.805,GOOD
ligand_95,-7.518,-4.722,-7.518,GOOD
ligand_96,-8.413,-5.385,-8.413,GOOD
ligand_97,-8.279,-6.162,-8.279,GOOD
ligand_98,-9.438,-6.51,-9.438,EXCELLENT
ligand_99,-8.658,-4.557,-8.658,GOOD
ligand_9,-8.467,-6.166,-8.467,GOOD
