centroid_id,vina_score,exhaustiveness,tag
413,-7.619,64,original
414,-7.312,64,original
415,-6.973,64,original
416,,64,original
417,-6.928,64,original
418,-7.629,64,original
419,-7.202,64,original
420,-6.493,64,original
421,-7.15,64,original
422,-6.68,64,original
423,-6.897,64,original
424,-6.849,64,original
425,-5.733,64,original
426,-5.363,64,original
427,-6.425,64,original
428,-9.558,64,original
429,-7.174,64,original
430,-8.826,64,original
431,-8.081,64,original
432,-7.467,64,original
433,-7.991,64,original
434,,64,original
435,-8.855,64,original
436,-7.401,64,original
437,-5.491,64,original
438,-10.182,64,original
439,-6.393,64,original
440,-6.665,64,original
441,-7.471,64,original
442,-8.952,64,original
443,-7.392,64,original
444,-8.136,64,original
445,-7.699,64,original
446,-8.991,64,original
447,-8.365,64,original
448,-7.141,64,original
449,-6.178,64,original
450,-8.092,64,original
451,-7.182,64,original
452,-9.303,64,original
453,-5.73,64,original
454,-6.933,64,original
455,-7.977,64,original
456,-7.135,64,original
457,-6.28,64,original
458,-7.088,64,original
459,-7.609,64,original
460,-6.999,64,original
461,-3.882,64,original
462,-7.388,64,original
463,-8.052,64,original
464,-9.072,64,original
465,-7.743,64,original
466,-7.542,64,original
467,-4.234,64,original
468,-6.373,64,original
469,-7.854,64,original
470,-7.8,64,original
471,-7.514,64,original
472,-8.526,64,original
473,-8.177,64,original
474,-8.018,64,original
475,-8.549,64,original
476,-1.151,64,original
477,-6.728,64,original
478,-6.044,64,original
479,-7.629,64,original
480,4.563,64,original
481,-5.867,64,original
482,-9.232,64,original
483,-7.323,64,original
