sig_id,pert_id,pert_iname,cell_id,pert_idose,pert_itime
DOS023_VCAP_24H:BRD-K30851490-001-01-0:4.96,BRD-K30851490,BRD-K30851490,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K31027517-001-01-5:4.91,BRD-K31027517,BRD-K31027517,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K31314139-001-01-5:4.93,BRD-K31314139,BRD-K31314139,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K31610599-001-01-9:5.05,BRD-K31610599,BRD-K31610599,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K31618614-001-01-3:4.98,BRD-K31618614,BRD-K31618614,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K31618614-001-02-1:5.1,BRD-K31618614,BRD-K31618614,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K31641287-001-01-1:4.9,BRD-K31641287,BRD-K31641287,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K31791559-001-01-5:5.02,BRD-K31791559,BRD-K31791559,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K31815095-001-01-3:5,BRD-K31815095,BRD-K31815095,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K32053117-001-01-4:5.04,BRD-K32053117,BRD-K32053117,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K32380923-001-01-5:4.92,BRD-K32380923,BRD-K32380923,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K32388810-001-01-4:4.77,BRD-K32388810,BRD-K32388810,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K32652655-001-01-1:5.08,BRD-K32652655,BRD-K32652655,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K32735617-001-01-1:4.96,BRD-K32735617,BRD-K32735617,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K32784186-001-01-0:5.05,BRD-K32784186,BRD-K32784186,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K33562246-001-01-7:5.13,BRD-K33562246,BRD-K33562246,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K34038660-001-01-4:5.02,BRD-K34038660,BRD-K34038660,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K34502913-001-01-4:5.07,BRD-K34502913,BRD-K34502913,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K34604832-001-01-6:5.05,BRD-K34604832,BRD-K34604832,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K34684441-001-01-1:5.04,BRD-K34684441,BRD-K34684441,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K34929727-001-01-5:4.89,BRD-K34929727,BRD-K34929727,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K35081088-001-01-7:4.99,BRD-K35081088,BRD-K35081088,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K35131740-001-01-0:5.11,BRD-K35131740,BRD-K35131740,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K35193027-001-01-4:5.01,BRD-K35193027,BRD-K35193027,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K35455895-001-01-6:4.98,BRD-K35455895,BRD-K35455895,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K35493431-001-01-8:5.06,BRD-K35493431,BRD-K35493431,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K35584941-001-01-7:4.99,BRD-K35584941,BRD-K35584941,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K35716266-001-01-2:5.26,BRD-K35716266,BRD-K35716266,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K35995122-001-01-6:4.98,BRD-K35995122,BRD-K35995122,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K36446300-001-02-1:5.02,BRD-K36446300,BRD-K36446300,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K36623409-001-01-7:4.86,BRD-K36623409,BRD-K36623409,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K36671358-001-01-7:5.01,BRD-K36671358,BRD-K36671358,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K36853464-001-01-2:5.05,BRD-K36853464,BRD-K36853464,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K37933621-001-01-1:5.02,BRD-K37933621,BRD-K37933621,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K38540783-001-01-7:5.07,BRD-K38540783,BRD-K38540783,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K38860595-001-01-7:5.06,BRD-K38860595,BRD-K38860595,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K38955087-001-01-0:4.91,BRD-K38955087,BRD-K38955087,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K39014692-001-01-2:4.94,BRD-K39014692,BRD-K39014692,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K39066612-001-01-9:5.04,BRD-K39066612,BRD-K39066612,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K39143839-001-01-3:5,BRD-K39143839,BRD-K39143839,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K39363780-001-01-6:5.02,BRD-K39363780,BRD-K39363780,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K39367499-001-01-9:5.12,BRD-K39367499,BRD-K39367499,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K39398102-001-01-3:5.04,BRD-K39398102,BRD-K39398102,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K39839350-001-01-5:5.02,BRD-K39839350,BRD-K39839350,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K40121369-001-01-4:5,BRD-K40121369,BRD-K40121369,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K40212960-001-01-4:5.03,BRD-K40212960,BRD-K40212960,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K40518011-001-01-3:4.96,BRD-K40518011,BRD-K40518011,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K41888384-001-01-8:4.89,BRD-K41888384,BRD-K41888384,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K42216874-001-01-8:5.02,BRD-K42216874,BRD-K42216874,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K42702351-001-01-9:5.04,BRD-K42702351,BRD-K42702351,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K42752188-001-01-3:4.9,BRD-K42752188,BRD-K42752188,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K43325273-001-01-3:5.11,BRD-K43325273,BRD-K43325273,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K43438744-001-02-3:5,BRD-K43438744,BRD-K43438744,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K43481697-001-01-2:5.02,BRD-K43481697,BRD-K43481697,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K43568193-001-01-5:4.97,BRD-K43568193,BRD-K43568193,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K43797669:10,BRD-K43797669,genistein,VCAP,10 µM,24 h
DOS023_VCAP_24H:BRD-K43842808-001-01-1:4.98,BRD-K43842808,BRD-K43842808,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K43931839-001-02-3:5,BRD-K43931839,BRD-K43931839,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K44150994-001-01-2:4.98,BRD-K44150994,BRD-K44150994,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K44887903-001-01-9:5.09,BRD-K44887903,SA-1472321,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K45319476-001-01-9:5.06,BRD-K45319476,BRD-K45319476,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K45480436-001-02-6:5.01,BRD-K45480436,BRD-K45480436,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K45887240-001-01-0:5.03,BRD-K45887240,BRD-K45887240,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K46373821-001-01-7:4.97,BRD-K46373821,BRD-K46373821,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K46447740-001-01-7:5.1,BRD-K46447740,BRD-K46447740,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K46661156-001-01-0:5.16,BRD-K46661156,BRD-K46661156,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K46732958-001-01-9:5,BRD-K46732958,BRD-K46732958,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K46746423-001-01-6:5.06,BRD-K46746423,BRD-K46746423,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K46810582-001-01-7:4.94,BRD-K46810582,BRD-K46810582,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K47002284-001-01-1:4.98,BRD-K47002284,BRD-K47002284,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K47533918-001-01-9:4.99,BRD-K47533918,BRD-K47533918,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K47943934-001-01-0:5.17,BRD-K47943934,BRD-K47943934,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K48054407-001-01-3:5.01,BRD-K48054407,BRD-K48054407,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K48225424-001-01-8:5.09,BRD-K48225424,BRD-K48225424,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K48431409-001-01-1:5.07,BRD-K48431409,BRD-K48431409,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K48809858-001-01-4:5.01,BRD-K48809858,BRD-K48809858,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K49255961-001-01-3:4.77,BRD-K49255961,BRD-K49255961,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K49988102-001-01-9:4.95,BRD-K49988102,BRD-K49988102,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K50230035-001-01-4:5.04,BRD-K50230035,BRD-K50230035,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K50572265-001-01-0:4.92,BRD-K50572265,BRD-K50572265,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K50791850-001-01-7:5.17,BRD-K50791850,BRD-K50791850,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K50845321-001-01-2:5.01,BRD-K50845321,BRD-K50845321,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K51471107-001-01-6:5.01,BRD-K51471107,BRD-K51471107,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K51703152-001-01-6:5.08,BRD-K51703152,BRD-K51703152,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K51812182-001-01-9:4.96,BRD-K51812182,BRD-K51812182,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K51908245-001-01-0:4.93,BRD-K51908245,BRD-K51908245,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K53283097-001-01-5:4.89,BRD-K53283097,BRD-K53283097,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K53283295-001-01-5:5.01,BRD-K53283295,BRD-K53283295,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K53808186-001-01-1:5.16,BRD-K53808186,BRD-K53808186,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K54586093-001-01-4:5.07,BRD-K54586093,BRD-K54586093,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K54743934-001-02-2:5.01,BRD-K54743934,BRD-K54743934,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K55082668-001-01-8:4.97,BRD-K55082668,BRD-K55082668,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K55149044-001-01-0:5.15,BRD-K55149044,BRD-K55149044,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K55252655-001-01-2:5.02,BRD-K55252655,BRD-K55252655,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K55345900-001-02-5:5.01,BRD-K55345900,BRD-K55345900,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K55362990-001-01-3:4.98,BRD-K55362990,BRD-K55362990,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K56553629-001-01-5:5.03,BRD-K56553629,BRD-K56553629,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K56593673-001-01-6:4.98,BRD-K56593673,BRD-K56593673,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K57027181-001-01-9:5.03,BRD-K57027181,BRD-K57027181,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K57330428-001-01-0:5.07,BRD-K57330428,BRD-K57330428,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K57640948-001-01-3:5.17,BRD-K57640948,BRD-K57640948,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K57851810-001-01-1:5.22,BRD-K57851810,BRD-K57851810,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K58282082-001-01-9:4.86,BRD-K58282082,BRD-K58282082,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K58415365-001-01-3:4.98,BRD-K58415365,BRD-K58415365,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K58493165-001-01-2:5.04,BRD-K58493165,BRD-K58493165,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K58980886-001-01-6:5.08,BRD-K58980886,BRD-K58980886,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K59108735-001-01-6:4.91,BRD-K59108735,BRD-K59108735,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K59611536-001-01-0:4.89,BRD-K59611536,BRD-K59611536,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K59983542-001-01-5:5.09,BRD-K59983542,BRD-K59983542,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K60667054-001-01-1:5.05,BRD-K60667054,BRD-K60667054,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K60759206-001-01-3:5.08,BRD-K60759206,BRD-K60759206,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K61004012-001-02-5:5.01,BRD-K61004012,BRD-K61004012,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K61045941-001-01-6:5.03,BRD-K61045941,BRD-K61045941,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K61387428-001-01-4:4.98,BRD-K61387428,BRD-K61387428,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K61683215-001-01-3:5.04,BRD-K61683215,BRD-K61683215,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K62219715-001-01-0:5.02,BRD-K62219715,BRD-K62219715,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K62265198-001-01-9:5.04,BRD-K62265198,BRD-K62265198,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K62689646-001-01-8:4.98,BRD-K62689646,BRD-K62689646,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K62993927-001-01-4:5.02,BRD-K62993927,BRD-K62993927,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K63860984-001-01-4:5.07,BRD-K63860984,BRD-K63860984,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K63964021-001-01-9:5.1,BRD-K63964021,BRD-K63964021,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K64040351-001-01-7:5.06,BRD-K64040351,BRD-K64040351,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K64544620-001-01-3:5.07,BRD-K64544620,BRD-K64544620,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K64694541-001-01-2:4.93,BRD-K64694541,BRD-K64694541,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K65124350-001-01-9:4.87,BRD-K65124350,BRD-K65124350,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K66732564-001-02-8:5,BRD-K66732564,BRD-K66732564,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K67087978-001-01-8:4.98,BRD-K67087978,BRD-K67087978,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K67260071-001-01-7:5.01,BRD-K67260071,BRD-K67260071,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K67402106-001-01-4:5.08,BRD-K67402106,BRD-K67402106,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K68167702-001-01-0:5.06,BRD-K68167702,BRD-K68167702,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K68200852-001-01-7:5.03,BRD-K68200852,BRD-K68200852,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K68655663-001-01-1:4.91,BRD-K68655663,BRD-K68655663,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K69317358-001-01-7:5,BRD-K69317358,BRD-K69317358,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K69449918-001-01-1:5.17,BRD-K69449918,BRD-K69449918,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K69980290-001-01-3:5.05,BRD-K69980290,BRD-K69980290,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K70077013-001-01-1:5.02,BRD-K70077013,BRD-K70077013,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K70117295-001-01-4:5.1,BRD-K70117295,BRD-K70117295,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K70802145-001-01-3:5,BRD-K70802145,BRD-K70802145,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K70875408-001-01-1:5.09,BRD-K70875408,BRD-K70875408,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K71045429-001-01-5:5.11,BRD-K71045429,BRD-K71045429,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K71104315-001-01-7:5.02,BRD-K71104315,BRD-K71104315,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K71361154-001-01-7:4.94,BRD-K71361154,BRD-K71361154,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K71855031-001-02-5:5,BRD-K71855031,BRD-K71855031,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K71943487-001-01-0:4.94,BRD-K71943487,BRD-K71943487,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K72324716-001-01-5:4.98,BRD-K72324716,BRD-K72324716,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K74429632-001-01-1:5.27,BRD-K74429632,BRD-K74429632,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K74582039-001-01-6:4.69,BRD-K74582039,BRD-K74582039,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K76379937-001-01-8:5.09,BRD-K76379937,BRD-K76379937,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K76885481-001-01-4:5.03,BRD-K76885481,BRD-K76885481,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K77729938-001-01-2:4.87,BRD-K77729938,BRD-K77729938,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K77804886-001-01-5:4.94,BRD-K77804886,BRD-K77804886,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K77905217-001-01-0:5,BRD-K77905217,BRD-K77905217,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K78128989-001-01-4:5.08,BRD-K78128989,BRD-K78128989,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K78710535-001-01-8:5,BRD-K78710535,BRD-K78710535,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K78853683-001-01-6:5,BRD-K78853683,BRD-K78853683,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K79004751-001-01-2:5.02,BRD-K79004751,BRD-K79004751,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K79116978-001-01-1:5.21,BRD-K79116978,BRD-K79116978,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K79219981-001-01-8:5.05,BRD-K79219981,BRD-K79219981,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K80563095-001-01-9:4.82,BRD-K80563095,BRD-K80563095,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K80998388-001-01-3:5.22,BRD-K80998388,BRD-K80998388,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K81418486:10,BRD-K81418486,vorinostat,VCAP,10 µM,24 h
DOS023_VCAP_24H:BRD-K81641277-001-01-2:5.03,BRD-K81641277,BRD-K81641277,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K81662460-001-01-5:4.98,BRD-K81662460,BRD-K81662460,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K81674214-001-01-9:4.94,BRD-K81674214,BRD-K81674214,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K81699431-001-01-3:5,BRD-K81699431,BRD-K81699431,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K81706693-001-02-7:5.01,BRD-K81706693,BRD-K81706693,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K81873565-001-01-2:4.91,BRD-K81873565,BRD-K81873565,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K82121314-001-01-9:5.03,BRD-K82121314,BRD-K82121314,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K82494270-001-01-2:4.98,BRD-K82494270,SA-1463785,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K82582276-001-01-8:5.02,BRD-K82582276,BRD-K82582276,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K83365001-001-01-9:4.97,BRD-K83365001,BRD-K83365001,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K83426260-001-01-5:5.02,BRD-K83426260,BRD-K83426260,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K83654676-001-02-8:5.01,BRD-K83654676,BRD-K83654676,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K83726357-001-01-2:5.06,BRD-K83726357,BRD-K83726357,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K83873778-001-01-3:4.99,BRD-K83873778,BRD-K83873778,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K83980681-001-02-0:5,BRD-K83980681,BRD-K83980681,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K84245233-001-01-2:5.18,BRD-K84245233,BRD-K84245233,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K84336022-001-01-4:5.03,BRD-K84336022,BRD-K84336022,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K85314854-001-02-1:5,BRD-K85314854,BRD-K85314854,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K85388022-001-01-4:5.04,BRD-K85388022,BRD-K85388022,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K85549762-001-01-5:4.99,BRD-K85549762,BRD-K85549762,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K85779012-001-02-4:5.01,BRD-K85779012,BRD-K85779012,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K86336638-001-01-8:4.9,BRD-K86336638,BRD-K86336638,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K86448961-001-02-6:5.01,BRD-K86448961,BRD-K86448961,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K86842803-001-01-4:4.99,BRD-K86842803,BRD-K86842803,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K86843304-001-02-4:5,BRD-K86843304,BRD-K86843304,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K86981020-001-01-7:5.04,BRD-K86981020,BRD-K86981020,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K87010644-001-02-8:5,BRD-K87010644,BRD-K87010644,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K87252271-001-01-8:5.15,BRD-K87252271,BRD-K87252271,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K87377799-001-01-6:5.04,BRD-K87377799,BRD-K87377799,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K87492806-001-01-4:4.97,BRD-K87492806,BRD-K87492806,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K87507139-001-01-7:4.87,BRD-K87507139,BRD-K87507139,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K88003242-001-01-0:4.94,BRD-K88003242,BRD-K88003242,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K88279116-001-01-9:4.94,BRD-K88279116,BRD-K88279116,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K88281008-001-01-6:4.98,BRD-K88281008,BRD-K88281008,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K88378636:10,BRD-K88378636,withaferin-a,VCAP,10 µM,24 h
DOS023_VCAP_24H:BRD-K88392283-001-01-7:5.02,BRD-K88392283,BRD-K88392283,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K88560304-001-01-4:5.05,BRD-K88560304,BRD-K88560304,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K88901529-001-01-9:4.95,BRD-K88901529,BRD-K88901529,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K89087272-001-01-5:5.03,BRD-K89087272,BRD-K89087272,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K89347234-001-01-0:5.09,BRD-K89347234,BRD-K89347234,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K89520577-001-01-7:5.09,BRD-K89520577,BRD-K89520577,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K89637659-001-02-8:5.01,BRD-K89637659,BRD-K89637659,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K90410459-001-01-1:5.07,BRD-K90410459,BRD-K90410459,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K90679612-001-01-5:4.85,BRD-K90679612,BRD-K90679612,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K90842913-001-01-5:5.01,BRD-K90842913,BRD-K90842913,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K91377183-001-01-4:4.95,BRD-K91377183,BRD-K91377183,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K91535031-001-01-1:4.89,BRD-K91535031,BRD-K91535031,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K91595583-001-01-7:5,BRD-K91595583,BRD-K91595583,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K92434936-001-01-2:5.08,BRD-K92434936,BRD-K92434936,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K92924609-001-01-8:5.09,BRD-K92924609,BRD-K92924609,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K93339435-001-02-6:5.01,BRD-K93339435,BRD-K93339435,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K93376546-001-01-6:5.11,BRD-K93376546,BRD-K93376546,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K93754181-001-01-4:4.97,BRD-K93754181,BRD-K93754181,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K94797630-001-01-9:4.97,BRD-K94797630,BRD-K94797630,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K94846015-001-01-9:4.99,BRD-K94846015,BRD-K94846015,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K95033227-001-01-7:4.98,BRD-K95033227,BRD-K95033227,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K95269843-001-01-1:5.03,BRD-K95269843,BRD-K95269843,VCAP,5 µM,24 h
DOS023_VCAP_24H:BRD-K95352880-001-01-9:5.08,BRD-K95352880,BRD-K95352880,VCAP,5 µM,24 h
