partition,model,descriptor_mode,status,n_records,auc_mean_fold_seed,auc_sd_fold_seed,auc_mean_seed,auc_sd_seed,ap_mean_fold_seed,ap_sd_fold_seed,ap_mean_seed,ap_sd_seed,seed_means_auc,seed_means_ap
novel_101,GIN-TFP,native,COMPUTED,25,0.8065343763447045,0.045205102340204896,0.8065343763447046,0.01710261257395796,0.9153016235902983,0.029901771707599663,0.9153016235902983,0.006484643863508356,"[0.8126044524823707, 0.7813109226530919, 0.8044514282468669, 0.8287089129659753, 0.8055961653752177]","[0.9206091967047542, 0.9090806875008297, 0.9162740397746463, 0.9223567532608232, 0.9081874407104381]"
novel_101,GIN-TFP,permuted,COMPUTED,25,0.8009221049755074,0.04400839981990616,0.8009221049755075,0.02085517969936928,0.9123756145855991,0.023277854220639195,0.912375614585599,0.008241371017072742,"[0.8082785367575971, 0.7681738734755108, 0.7940079353827678, 0.8217412850040787, 0.8124088942575828]","[0.9153398946661605, 0.9012750649349272, 0.9070996191296642, 0.9223901508984665, 0.915773343298777]"
novel_101,GIN-TNE,native,COMPUTED,25,0.7975554682864057,0.04411579263566558,0.7975554682864059,0.014964017979996148,0.9125035725753438,0.020926950076285086,0.9125035725753436,0.0036788954561988267,"[0.7901075428513984, 0.7803026745849053, 0.7910415264464468, 0.8106184045050353, 0.8157071930442429]","[0.907912645488073, 0.9115972683156752, 0.9107391114781704, 0.9149597536027692, 0.9173090839920308]"
novel_101,GIN-TNE,permuted,COMPUTED,25,0.7883981492191076,0.041199333421376515,0.7883981492191076,0.01592766819126397,0.9083965294210864,0.021259952112401257,0.9083965294210865,0.005466017442469394,"[0.7862670793261225, 0.7637798099357526, 0.7874537695229991, 0.7990991301140411, 0.8053909571966222]","[0.905193610170768, 0.900702765425646, 0.9094568718157724, 0.912787649601999, 0.9138417500912464]"
novel_202,GIN,native,COMPUTED,25,0.7966670150766969,0.04370285970296532,0.7966670150766968,0.011872140173128105,0.9101459310055913,0.03029566885499298,0.9101459310055912,0.005199532180436815,"[0.792960680571654, 0.7917912694590189, 0.807030546126638, 0.8102208643531729, 0.7813317148729999]","[0.9093814857124538, 0.9063243986282593, 0.9148289593948838, 0.9160562893062483, 0.9041385219861112]"
novel_202,GIN-TFP,native,COMPUTED,25,0.8105365197532604,0.036606278205453084,0.8105365197532602,0.012446999146625868,0.9160124163338168,0.027685349236779944,0.9160124163338169,0.008196600672480445,"[0.8028079319077385, 0.7925170222367537, 0.820019720968817, 0.8161122591895751, 0.821225664463417]","[0.9125914364848772, 0.9043307863658938, 0.9261922443645402, 0.9169201535476474, 0.9200274609061255]"
novel_202,GIN-TFP,permuted,COMPUTED,25,0.796649249643517,0.05155569249253992,0.796649249643517,0.004687736162262107,0.9087310376513892,0.038923920914669875,0.9087310376513893,0.004956517349455276,"[0.7993645749694934, 0.8007692506072406, 0.7911821248126382, 0.7919199888302175, 0.8000103089979952]","[0.9119401706425924, 0.9112509531111469, 0.9080959187489684, 0.9003427411231743, 0.9120254046310645]"
novel_202,GIN-TNE,native,COMPUTED,25,0.8007895333863736,0.03568559898018509,0.8007895333863736,0.0060204309985890546,0.9105185676772769,0.02872358350733244,0.9105185676772768,0.0031080743367588705,"[0.8010255865303758, 0.7936919699641485, 0.8043676661633257, 0.8086101343365131, 0.7962523099375047]","[0.9124981617612825, 0.9078778283317991, 0.9149791401372112, 0.9091817382200148, 0.9080559699360767]"
novel_202,GIN-TNE,permuted,COMPUTED,25,0.8009482072494375,0.03793922072915275,0.8009482072494374,0.013565221709012896,0.911358076953181,0.031770422903518454,0.9113580769531809,0.005325490297483112,"[0.7944427253701122, 0.7850772147635408, 0.7949366157984491, 0.8139651906847598, 0.8163192896303249]","[0.9114912206125684, 0.9048980808976245, 0.9072305222451149, 0.9165142539472904, 0.9166563070633069]"
novel_303,GIN,native,COMPUTED,25,0.7885979456101818,0.04221274777972953,0.7885979456101818,0.012476857461339034,0.9024623662552331,0.03895000345852013,0.9024623662552331,0.008373093132281571,"[0.7716497082358039, 0.7889889654792395, 0.7813727972626628, 0.8008692669214122, 0.8001089901517912]","[0.8919434508508713, 0.9085718409142836, 0.8947747578855416, 0.9088214318105141, 0.9082003498149545]"
novel_303,GIN-TFP,native,COMPUTED,25,0.801327487913633,0.04473571371316238,0.8013274879136331,0.012468158831365752,0.911487385013507,0.027663065583904353,0.9114873850135071,0.004566343527601312,"[0.8026569736273965, 0.7832628490035425, 0.8029036215064101, 0.7995171336964536, 0.8182968617343624]","[0.9073958392397469, 0.9082656917145371, 0.9105667640945956, 0.9123225357465238, 0.9188860942721323]"
novel_303,GIN-TFP,permuted,COMPUTED,25,0.7948371516559335,0.04277383414034659,0.7948371516559336,0.008742455288619628,0.9050946799620473,0.040232533209322525,0.9050946799620474,0.006959334638017856,"[0.7840239031039401, 0.7933435206206452, 0.7908577811637577, 0.7986151615976398, 0.807345391793685]","[0.8968960655473636, 0.9115233555048026, 0.8983954109833954, 0.9078392736181641, 0.9108192941565111]"
novel_303,GIN-TNE,native,COMPUTED,25,0.7994233698983794,0.04475213551100538,0.7994233698983793,0.008296391245095992,0.9105395529702507,0.03499217469647554,0.9105395529702507,0.006694889443781997,"[0.7879580888785842, 0.7999647870512276, 0.795770728581052, 0.8032478392204551, 0.8101754057605779]","[0.901588643020579, 0.9175582729545221, 0.9058066946663178, 0.9122451816608684, 0.9154989725489662]"
novel_303,GIN-TNE,permuted,COMPUTED,25,0.7941521257426163,0.040842928347146715,0.7941521257426163,0.011182113268655999,0.9079844871915357,0.03586548058710237,0.9079844871915357,0.006532960341244548,"[0.779361624943957, 0.7946686424060219, 0.7872808417999654, 0.8024491058964467, 0.8070004136666903]","[0.9001662298938911, 0.9129091356072297, 0.9020242440760455, 0.9101069470374681, 0.9147158793430435]"
