centroid_id,best_target,best_score,best_exhaustiveness,best_tag,tag,pfDHFR,pfCRT,pfATP4,pfClpP
166,pfCRT,-7.354,64,original,original,-6.987,-7.354,-6.507,-5.068
167,pfCRT,-9.035,64,original,original,-6.734,-9.035,-7.484,-4.299
168,pfCRT,-8.544,64,original,original,-6.596,-8.544,-7.719,-4.957
169,pfCRT,-8.108,64,original,original,-7.003,-8.108,-7.474,-4.57
170,pfCRT,-8.98,64,original,original,-6.609,-8.98,-7.248,-4.322
171,pfCRT,-8.156,64,original,original,-6.644,-8.156,-6.864,-4.599
172,pfCRT,-7.739,64,original,original,-7.199,-7.739,-6.585,-4.252
173,pfCRT,-7.807,64,original,original,-7.091,-7.807,-6.333,-4.218
174,pfCRT,-7.484,64,original,original,-6.882,-7.484,-7.422,-4.654
175,pfCRT,-7.695,64,original,original,-6.878,-7.695,-6.433,-4.073
176,pfCRT,-6.739,64,original,original,-6.318,-6.739,-4.729,-3.524
177,pfCRT,-10.011,64,original,original,-8.166,-10.011,-7.212,-5.261
178,pfCRT,-8.142,64,original,original,-7.53,-8.142,-6.39,-4.501
179,pfCRT,-8.416,64,original,original,-7.439,-8.416,-7.369,-4.627
180,pfCRT,-8.496,64,original,original,-8.089,-8.496,-6.2,-4.76
181,pfCRT,-8.256,64,original,original,-7.506,-8.256,-6.639,-4.87
182,pfATP4,-8.365,64,original,original,-6.758,-6.186,-8.365,-5.755
183,pfCRT,-8.84,64,original,original,-8.242,-8.84,-6.67,-4.986
184,pfCRT,-8.461,64,original,original,-7.754,-8.461,-7.244,-4.575
185,pfCRT,-8.479,64,original,original,-7.859,-8.479,-6.864,-4.489
186,pfCRT,-8.236,64,original,original,-7.934,-8.236,-6.426,-4.62
187,pfCRT,-9.167,64,original,original,-8.276,-9.167,-6.16,-4.453
188,pfCRT,-10.282,64,original,original,-7.541,-10.282,-6.74,-4.901
189,pfCRT,-9.534,64,original,original,-7.993,-9.534,-6.58,-4.522
190,pfCRT,-8.677,64,original,original,-7.574,-8.677,-7.58,-4.7
191,pfCRT,-9.658,64,original,original,-9.301,-9.658,-7.728,-5.051
192,pfCRT,-9.192,64,original,original,-7.58,-9.192,-6.99,-4.497
193,pfCRT,-8.306,64,original,original,-7.281,-8.306,-6.417,-4.506
194,pfCRT,-9.263,64,original,original,-8.468,-9.263,-6.893,-4.698
195,pfCRT,-9.598,64,original,original,-8.698,-9.598,-6.981,-5.931
196,pfCRT,-9.879,64,original,original,-6.571,-9.879,-7.825,-5.08
197,pfCRT,-8.772,64,original,original,-7.56,-8.772,-7.344,-4.329
198,pfCRT,-9.801,64,original,original,-8.141,-9.801,-7.158,-4.932
199,pfCRT,-8.882,64,original,original,-6.817,-8.882,-7.269,-4.607
200,pfCRT,-9.166,64,original,original,-7.509,-9.166,-7.594,-4.38
201,pfATP4,-7.179,32,rerun,mixed,,,-7.179,-3.903
202,pfATP4,-7.461,64,original,original,,,-7.461,-4.049
203,pfCRT,-9.715,64,original,original,,-9.715,-7.462,-4.341
204,pfATP4,-7.12,32,rerun,mixed,,,-7.12,-4.345
205,pfCRT,-10.387,64,original,original,-7.832,-10.387,-6.995,-4.725
206,pfDHFR,-5.881,64,original,original,-5.881,-5.83,-5.242,-3.214
207,pfCRT,-9.936,64,original,original,-8.791,-9.936,-7.188,-4.62
208,pfDHFR,-5.494,64,original,original,-5.494,-5.36,-5.043,-3.442
209,pfCRT,-7.811,64,original,original,-7.581,-7.811,-5.871,-4.312
210,pfATP4,-7.337,32,rerun,mixed,,,-7.337,-3.669
211,pfATP4,-7.063,32,rerun,mixed,,,-7.063,-4.24
212,pfCRT,-8.006,64,original,original,-7.469,-8.006,-6.491,-4.872
213,pfCRT,-9.513,64,original,original,-8.498,-9.513,-7.72,-4.95
214,pfCRT,-7.391,64,original,original,-6.717,-7.391,-6.026,-4.382
215,pfCRT,-8.945,64,original,original,-7.879,-8.945,-7.428,-4.524
216,pfCRT,-8.825,64,original,original,-7.946,-8.825,-6.093,-4.273
217,pfCRT,-10.346,64,original,original,-8.238,-10.346,-7.494,-4.246
218,pfCRT,-10.023,64,original,original,-9.008,-10.023,-7.408,-5.068
219,pfCRT,-10.206,64,original,original,-8.106,-10.206,-7.139,-4.531
220,pfATP4,-6.844,32,rerun,mixed,,,-6.844,-3.539
221,pfCRT,-9.844,64,original,original,-7.956,-9.844,-7.055,-5.078
222,pfCRT,-9.487,64,original,original,-6.476,-9.487,-8.193,-5.0
223,pfCRT,-11.219,64,original,original,-9.961,-11.219,-8.898,-4.809
224,pfCRT,-11.148,64,original,original,-7.691,-11.148,-7.696,-4.957
225,pfCRT,-9.004,64,original,original,-7.568,-9.004,-6.34,-4.548
226,pfCRT,-10.908,64,original,original,,-10.908,-7.187,-4.755
227,pfCRT,-8.276,64,original,original,-7.582,-8.276,-6.881,-5.111
228,pfCRT,-9.296,64,original,original,-7.473,-9.296,-7.112,-4.426
229,pfCRT,-7.893,64,original,original,-6.95,-7.893,-6.575,-4.212
230,pfCRT,-8.141,64,original,original,-6.769,-8.141,-6.943,-4.355
231,pfCRT,-8.854,64,original,original,-7.805,-8.854,-7.999,-5.217
232,pfCRT,-9.268,64,original,original,-7.421,-9.268,-7.845,-5.649
233,pfCRT,-10.381,64,original,original,-6.964,-10.381,-8.339,-5.721
234,pfCRT,-8.051,64,original,original,-6.492,-8.051,-7.571,-5.376
235,pfCRT,-7.403,64,original,original,-6.769,-7.403,-6.167,-3.82
236,pfCRT,-8.896,64,original,original,-7.84,-8.896,-7.886,-5.144
237,pfCRT,-8.622,64,original,original,-7.0,-8.622,-7.493,-4.935
238,pfCRT,-9.232,64,original,original,-7.725,-9.232,-8.048,-5.747
239,pfCRT,-9.063,64,original,original,-8.97,-9.063,-7.208,-5.086
240,pfCRT,-8.706,64,original,original,-7.378,-8.706,-7.793,-5.271
241,pfCRT,-7.878,64,original,original,-7.1,-7.878,-6.79,-3.981
242,pfCRT,-8.05,64,original,original,-6.158,-8.05,-5.396,-3.266
243,pfCRT,-5.434,64,original,original,-5.314,-5.434,-4.794,-3.134
244,pfCRT,-9.237,64,original,original,-8.243,-9.237,-6.421,-3.779
245,pfCRT,-8.031,64,original,original,-7.103,-8.031,-6.83,-4.643
246,pfCRT,-8.092,64,original,original,-7.386,-8.092,-6.022,-3.762
247,pfCRT,-8.651,64,original,original,-6.958,-8.651,-6.764,-4.432
248,pfCRT,-10.665,64,original,original,-8.126,-10.665,-6.512,-4.654
249,pfATP4,-6.706,32,rerun,mixed,,,-6.706,
250,pfCRT,-10.127,64,original,original,-7.186,-10.127,-6.558,-4.881
251,pfCRT,-4.196,64,original,original,-3.659,-4.196,-3.302,-2.567
252,pfDHFR,-9.763,64,original,original,-9.763,-9.261,-7.812,-4.924
253,pfCRT,-11.366,64,original,original,-10.208,-11.366,-8.531,-5.74
254,pfATP4,-8.032,64,original,original,,-0.849,-8.032,
255,pfCRT,-5.701,64,original,original,-4.916,-5.701,-4.942,-3.841
256,pfATP4,-7.306,64,original,original,-6.493,-7.211,-7.306,-4.497
257,pfCRT,-10.908,64,original,original,-7.97,-10.908,-6.611,-4.325
258,pfCRT,-8.871,64,original,original,-4.948,-8.871,-7.428,-4.579
259,pfCRT,-6.902,64,original,original,-6.557,-6.902,-5.887,-4.078
260,pfCRT,-7.816,64,original,original,-6.979,-7.816,-6.096,-3.949
261,pfATP4,-7.189,64,original,original,-5.59,-6.999,-7.189,-4.514
262,pfCRT,-7.923,64,original,original,-4.542,-7.923,-6.589,-4.576
263,pfATP4,-8.393,64,original,original,-6.248,-8.242,-8.393,-4.956
264,pfCRT,-8.859,64,original,original,-4.45,-8.859,-7.07,-4.762
265,pfCRT,-9.168,64,original,original,-4.237,-9.168,-7.339,-4.49
266,pfCRT,-10.546,64,original,original,-7.437,-10.546,-7.679,-5.043
267,pfCRT,-8.623,64,original,original,-7.614,-8.623,-6.631,-4.455
268,pfCRT,-8.909,64,original,original,-6.811,-8.909,-6.323,-4.165
269,pfCRT,-9.991,64,original,original,-8.004,-9.991,-6.991,-4.679
270,pfCRT,-9.972,64,original,original,-8.461,-9.972,-7.16,-4.827
271,pfCRT,-10.864,64,original,original,-9.313,-10.864,-7.233,-5.335
272,pfCRT,-10.613,64,original,original,-8.682,-10.613,-6.854,-5.358
273,pfCRT,-8.313,64,original,original,-5.409,-8.313,-7.389,-4.6
274,pfDHFR,-6.685,64,original,original,-6.685,-6.639,-5.889,-3.811
275,pfATP4,-6.561,64,original,original,,-3.636,-6.561,
276,pfCRT,-8.158,64,original,original,-6.874,-8.158,-6.257,-4.448
277,pfCRT,-8.604,64,original,original,-5.932,-8.604,-5.579,-3.578
278,pfCRT,-8.516,64,original,original,-7.841,-8.516,-6.695,-4.767
279,pfCRT,-7.296,64,original,original,-6.332,-7.296,-5.672,-4.454
280,pfCRT,-7.062,64,original,original,-6.384,-7.062,-5.505,-4.212
281,pfCRT,-9.172,64,original,original,-7.254,-9.172,-6.388,-3.834
282,pfCRT,-8.891,64,original,original,-6.216,-8.891,-7.068,-4.318
283,pfCRT,-9.099,64,original,original,-7.418,-9.099,-6.362,-4.004
284,pfCRT,-9.111,64,original,original,-6.476,-9.111,-6.034,-3.87
285,pfCRT,-8.682,64,original,original,-6.12,-8.682,-7.62,-4.696
286,pfCRT,-8.956,64,original,original,-8.453,-8.956,-6.626,-4.889
287,pfCRT,-7.83,64,original,original,-7.729,-7.83,-6.32,-4.407
288,pfATP4,-7.049,64,original,original,-5.656,-5.604,-7.049,-4.336
