centroid_id,final_status,category,vina_affinity_kcal_mol,gate_inside_fraction,gate_triad_min_A,note
135,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
136,PASS,REMEDIATION_PASS_RAW_VINA,-5.346,1.0,7.770524113597487,"re-docked, biological gate verified (array 15016)"
137,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
138,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
139,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
140,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
141,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
142,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
143,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
144,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
145,DOCKED_GATE_FAILED,REMEDIATION_DOCKED_GATE_FAILED,-2.826,1.0,15.468330549868657,rank-1 inside box but triad distance > 10.0 A
146,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
147,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
148,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
149,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
150,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
151,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
152,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
153,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
154,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
155,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
156,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
157,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
158,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
159,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
160,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
161,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
162,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
163,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
164,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
165,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
166,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
167,EMBED_FAILURE,REMEDIATION_EMBED_FAILURE_ALL_STRATEGIES,,,,no ligand 3D embedding possible across all strategies
168,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
169,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
170,PASS,REMEDIATION_PASS_RAW_VINA,-5.568,0.95,9.958376423895615,"re-docked, biological gate verified (array 15016)"
171,PENDING_INDEPENDENT_REVIEW,MIXED_OR_UNRESOLVED_REQUIRES_REVIEW,,,,excluded-audit flag; requires separate review before manuscript promotion
172,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
173,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
174,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
175,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
176,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
177,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
178,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
179,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
180,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
181,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
182,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
183,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
184,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
185,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
186,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
187,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
188,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
189,DOCKED_GATE_FAILED,REMEDIATION_DOCKED_GATE_FAILED,-4.865,1.0,15.060501751269774,rank-1 inside box but triad distance > 10.0 A
190,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
191,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
192,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
193,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
194,EMBED_FAILURE,REMEDIATION_EMBED_FAILURE_ALL_STRATEGIES,,,,no ligand 3D embedding possible across all strategies
195,PASS,REMEDIATION_PASS_RAW_VINA,-5.2,1.0,7.206397782526302,"re-docked, biological gate verified (array 15016)"
196,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
197,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
198,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
199,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
200,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
201,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
202,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
203,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
204,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
205,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
206,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
207,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
208,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
209,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
210,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
211,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
212,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
213,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
214,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
215,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
216,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
217,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
218,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
219,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
220,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
221,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
222,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
223,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
224,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
225,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
226,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
227,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
228,PASS,REMEDIATION_PASS_RAW_VINA,-5.933,1.0,4.006840401114076,"re-docked, biological gate verified (array 15016)"
229,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
230,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
231,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
232,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
233,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
234,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
235,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
236,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
237,PASS,REMEDIATION_PASS_RAW_VINA,-5.623,1.0,8.85939653701086,"re-docked, biological gate verified (array 15016)"
238,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
239,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
240,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
241,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
242,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
243,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
244,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
245,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
246,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
247,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
248,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
249,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
250,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
251,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
252,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
253,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
254,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
255,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
256,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
257,PROTOCOL_EXCLUSION,PROTOCOL_EXCLUSION_UNSUPPORTED_ELEMENT_FOR_AD4,,,,boron-containing centroid; AutoDock4 atom types do not support B
258,PASS,REMEDIATION_PASS_RAW_VINA,-5.93,1.0,3.3225023702023173,"re-docked, biological gate verified (array 15016)"
259,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
260,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
261,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
262,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
263,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
264,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
265,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
266,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
267,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
268,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
269,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
270,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
271,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
272,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
273,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
274,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
275,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
276,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
277,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
278,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
279,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
280,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
281,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
282,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
283,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
284,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
285,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
286,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
287,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
288,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
289,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
290,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
291,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
292,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
293,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
294,PASS,HISTORICAL_UNIFORM_PASS,,,,"uniform 484 run, biological gate verified"
