train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,val_accuracy,lr
50.610416412353516,35.09883499145508,15.511563301086426,48.23651885986328,32.75972366333008,15.476791381835938,0.9409586191177368,9.745564966578968e-06
50.60300064086914,35.098541259765625,15.504473686218262,48.21474838256836,32.77465057373047,15.440093994140625,0.9407542943954468,9.745564966578968e-06
50.57257080078125,35.059303283691406,15.513261795043945,48.23727798461914,32.80519104003906,15.432071685791016,0.940785825252533,9.745564966578968e-06
50.559104919433594,35.05264663696289,15.50643253326416,48.18362808227539,32.71904754638672,15.464570045471191,0.9407876133918762,9.745564966578968e-06
50.55666732788086,35.027828216552734,15.528889656066895,48.15587615966797,32.659141540527344,15.496744155883789,0.941092312335968,9.745564966578968e-06
50.52620315551758,34.999534606933594,15.52657699584961,48.13307189941406,32.64560317993164,15.487459182739258,0.9410757422447205,9.745564966578968e-06
50.52419662475586,34.98884582519531,15.5353422164917,48.147151947021484,32.61812210083008,15.529031753540039,0.9410820603370667,9.745564966578968e-06
50.50189208984375,34.97719955444336,15.524681091308594,48.0738639831543,32.582191467285156,15.491665840148926,0.9412409067153931,9.745564966578968e-06
50.41426086425781,34.889427185058594,15.524833679199219,48.018489837646484,32.55509567260742,15.463390350341797,0.9412810206413269,4.872782483289484e-06
50.43167495727539,34.88411331176758,15.547540664672852,48.123023986816406,32.64006423950195,15.482964515686035,0.9411085844039917,4.872782483289484e-06
50.40050506591797,34.86061477661133,15.539859771728516,48.07515335083008,32.497989654541016,15.577171325683594,0.9414083361625671,4.872782483289484e-06
50.38893127441406,34.83913803100586,15.54979133605957,48.04172134399414,32.520164489746094,15.521575927734375,0.941256046295166,4.872782483289484e-06
50.39067077636719,34.844268798828125,15.546398162841797,48.0540885925293,32.52384948730469,15.530244827270508,0.9412801265716553,4.872782483289484e-06
50.37436294555664,34.820335388183594,15.554086685180664,47.98141098022461,32.46760177612305,15.51381778717041,0.9413996338844299,4.872782483289484e-06
