trial_number,value,drop_rate,pool_size,learning_rate,batch_size,kernel_size,encoder_n_layers,encoder_filters,decoder_filters
40,92.99419403076172,0.3218422596927364,8,0.0004597340805845,64,7,7,"(512, 128, 128, 256, 512, 256, 512)",()
123,93.05457305908205,0.1384187332310423,4,0.0022989785705474,64,3,3,"(256, 64, 256)",()
101,93.22211456298828,0.2707569107345679,6,0.0012015632135205,64,9,5,"(128, 32, 256, 32, 64)",()
63,93.29298400878906,0.3702761227730141,5,0.0006006236976789,64,11,6,"(64, 32, 256, 64, 256, 512)",()
93,93.41758728027344,0.1102412855258263,5,0.0003086588468107,64,11,7,"(64, 32, 256, 64, 512, 64, 512)",()
61,93.66161346435548,0.172584648832781,6,0.0006955234563466,64,11,6,"(64, 32, 256, 64, 256, 512)",()
37,93.71054077148438,0.2550612078354504,8,0.0025255592716382,64,7,6,"(512, 512, 64, 64, 512, 32)",()
71,93.97584533691406,0.1585727764540675,3,0.0075395361285426,64,5,5,"(64, 128, 32, 128, 128)",()
86,94.0787582397461,0.2278522016537597,4,0.0047371117560616,128,11,4,"(32, 64, 256, 32)",()
68,95.94082641601562,0.3057946116603633,2,0.0002548499977211,256,5,5,"(512, 128, 32, 128, 128)",()
32,96.30654907226562,0.4883002964779164,6,0.0007019246227372,128,9,5,"(32, 32, 256, 512, 32)",()
17,96.9145965576172,0.2211803716728836,7,0.0001076911025574,128,9,6,"(64, 128, 256, 32, 256, 512)",()
7,96.96560668945312,0.1388705975083074,6,0.0095522944294498,256,3,7,"(128, 512, 256, 256, 64, 32, 512)",()
24,97.22850799560548,0.392246840257328,6,0.0001550148083586,128,3,5,"(256, 64, 512, 32, 128)",()
11,98.79479217529295,0.3669497443451863,4,0.0004155699968365,256,3,4,"(256, 128, 64, 32)",()
13,98.9891128540039,0.3540698433613974,3,0.0001253978151103,128,3,4,"(32, 512, 512, 128)",()
33,105.5486068725586,0.4568227264602196,5,0.0004280009019693,128,11,6,"(32, 32, 256, 512, 32, 128)",()
39,127.70680236816406,0.2748826087753094,7,0.0060571520329762,64,7,8,"(512, 256, 32, 64, 512, 32, 256, 64)",()
29,160.3411102294922,0.2299287726299856,9,0.0039153392937739,64,9,7,"(32, 256, 256, 32, 128, 256, 32)",()
3,165.40036010742188,0.4214688307596458,2,0.0060970252974914,256,11,8,"(64, 64, 64, 256, 128, 64, 64, 128)",()
5,,0.2396838298450643,7,0.0062261634823634,64,7,3,"(512, 128, 128)",()
46,,0.2396361493350065,3,0.0098159838263877,256,3,4,"(64, 64, 256, 64)",()
