Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_323,-5.126,-4.446,-5.126,OTHERS
ligand_324,-5.209,-3.782,-5.209,OTHERS
ligand_325,-5.539,-4.586,-5.539,OTHERS
ligand_326,-5.16,-3.757,-5.16,OTHERS
ligand_327,-4.751,-3.972,-4.751,OTHERS
ligand_328,-6.386,-5.849,-6.386,OTHERS
ligand_329,-4.627,-3.539,-4.627,OTHERS
ligand_32,-5.665,-4.099,-5.665,OTHERS
ligand_330,-4.24,-3.52,-4.24,OTHERS
ligand_331,-6.177,-4.881,-6.177,OTHERS
ligand_333,-5.531,-4.177,-5.531,OTHERS
ligand_334,-4.598,-3.888,-4.598,OTHERS
ligand_335,-5.699,-4.864,-5.699,OTHERS
ligand_336,-4.817,-3.979,-4.817,OTHERS
ligand_337,-4.729,-4.426,-4.729,OTHERS
ligand_338,-4.291,-3.118,-4.291,OTHERS
ligand_339,-4.97,-3.456,-4.97,OTHERS
ligand_33,-4.007,-3.147,-4.007,OTHERS
ligand_340,-5.04,-3.934,-5.04,OTHERS
ligand_341,-4.822,-3.6,-4.822,OTHERS
ligand_342,-4.347,-4.075,-4.347,OTHERS
ligand_343,-5.705,-4.883,-5.705,OTHERS
ligand_344,-4.827,-3.513,-4.827,OTHERS
ligand_345,-5.22,-4.307,-5.22,OTHERS
ligand_346,-5.205,-4.756,-5.205,OTHERS
ligand_347,-4.484,-3.753,-4.484,OTHERS
ligand_348,-4.892,-3.595,-4.892,OTHERS
ligand_349,-5.595,-4.123,-5.595,OTHERS
ligand_34,-5.769,-4.48,-5.769,OTHERS
ligand_351,-4.972,-4.199,-4.972,OTHERS
ligand_352,-5.812,-4.393,-5.812,OTHERS
ligand_354,-5.091,-4.006,-5.091,OTHERS
ligand_355,-4.761,-3.81,-4.761,OTHERS
ligand_356,-5.121,-4.032,-5.121,OTHERS
ligand_357,-5.372,-4.446,-5.372,OTHERS
ligand_358,-4.732,-4.536,-4.732,OTHERS
ligand_359,-5.437,-4.394,-5.437,OTHERS
ligand_35,-3.449,-3.538,-3.538,OTHERS
ligand_361,-5.096,-3.972,-5.096,OTHERS
ligand_362,-4.601,-3.473,-4.601,OTHERS
ligand_363,-4.913,-3.615,-4.913,OTHERS
ligand_364,-4.728,-4.058,-4.728,OTHERS
ligand_365,-6.247,-4.173,-6.247,OTHERS
ligand_366,-5.34,-3.75,-5.34,OTHERS
ligand_367,-5.36,-4.554,-5.36,OTHERS
ligand_368,-4.684,-4.168,-4.684,OTHERS
ligand_369,-4.664,-3.284,-4.664,OTHERS
ligand_36,-5.641,-4.533,-5.641,OTHERS
ligand_370,-4.379,-3.375,-4.379,OTHERS
ligand_371,-5,-4.021,-5,OTHERS
ligand_372,-5.481,-4.026,-5.481,OTHERS
ligand_373,-5.082,-3.845,-5.082,OTHERS
ligand_374,-4.906,-4.123,-4.906,OTHERS
ligand_375,-5.812,-4.289,-5.812,OTHERS
ligand_376,-5.011,-3.802,-5.011,OTHERS
ligand_377,-4.87,-3.987,-4.87,OTHERS
ligand_378,-3.394,-2.998,-3.394,OTHERS
ligand_37,-5.832,-4.48,-5.832,OTHERS
ligand_380,-5.413,-4.382,-5.413,OTHERS
ligand_381,-5.526,-4.323,-5.526,OTHERS
ligand_382,-4.518,-4.054,-4.518,OTHERS
ligand_383,-4.737,-3.908,-4.737,OTHERS
ligand_384,-5.084,-4.318,-5.084,OTHERS
ligand_385,-4.416,-4.018,-4.416,OTHERS
ligand_386,-4.441,-4.085,-4.441,OTHERS
ligand_387,-5.27,-3.766,-5.27,OTHERS
ligand_388,-5.715,-3.864,-5.715,OTHERS
ligand_389,-5.636,-4.261,-5.636,OTHERS
ligand_38,-5.335,-3.676,-5.335,OTHERS
ligand_390,-5.016,-3.623,-5.016,OTHERS
ligand_391,-4.777,-3.765,-4.777,OTHERS
ligand_392,-4.747,-2.969,-4.747,OTHERS
