model,fold,seed,test_auc,split,curve
GIN,2,0,0.8807405833853343,scaffold,"[0.8122472712307754, 0.8494388654887987, 0.8610013852992007, 0.8679309990054528, 0.8682697893576182, 0.8369654568941238, 0.8697304330385026, 0.8797252680444834, 0.8798681627482342, 0.8797392977063062, 0.8883485737030097, 0.8726751031699761, 0.86419806972638, 0.889073179755302, 0.8771162705625478, 0.8832404777567506, 0.8885774650375632, 0.8825343181116698, 0.8898687135423649, 0.8889001472594874, 0.8920017417565345, 0.8895631786848908, 0.8912893467061992, 0.892965631485471, 0.8898702723936786, 0.8896052676703592, 0.8975512524331071, 0.8925998210438693, 0.8915917638610462, 0.8932633720863771, 0.9002239030103497, 0.8884595119548307, 0.8951979065666094, 0.8987328617288493, 0.8928741788750707, 0.9025769890682953, 0.8944366675084463, 0.8977752074051673, 0.897424985476702, 0.9024668302421313, 0.9006341407143903, 0.8999191475785324, 0.8973938084504289, 0.8973104099051491, 0.900722995239268, 0.9014572142079944]"
GIN,2,1,0.8086309351546372,scaffold,"[0.8220010476418225, 0.8413951027920897, 0.8538058280770078, 0.8570473581723825, 0.8613404121621692, 0.8684334752618845, 0.8723217585475461, 0.8625643000520715, 0.8636251409192124, 0.8665395417498724, 0.8761919254973451, 0.8764238145963836, 0.8775876597731421, 0.8704575875873077, 0.8497718376900532, 0.8718429696711834, 0.8720277562969796, 0.8684324400426926, 0.8749902948200736, 0.8759160395826411, 0.8858924469372523, 0.8823051536317041, 0.889057112007611, 0.8848551573067323, 0.8901896418038073, 0.8847138498870057, 0.8735769618180105, 0.8758057887386785, 0.874160825442375, 0.8831353994237969, 0.8788348400948675, 0.8859747468630269, 0.873657191305401, 0.8859959688564658, 0.8759253565553702]"
GIN,2,2,0.7972504638236708,scaffold,"[0.826866873337937, 0.8607066982060738, 0.8596347501579419, 0.8706639436992197, 0.8666176924320115, 0.8543990126794294, 0.8696907277081527, 0.850782069553208, 0.8730270484698002, 0.8549326359402318, 0.8679282429513833, 0.8742441561494496, 0.8512166669115377, 0.8512425253074357, 0.8755582328137168, 0.878414410178805, 0.8821932621247962, 0.8812459045296269, 0.8857675976668676, 0.8743493528054891, 0.8757897829951662, 0.8582663120932077, 0.8848578522839136, 0.8742791237529937, 0.8374259142265255, 0.8659765217519063, 0.8702537355097483, 0.876318117038626, 0.8803720082864405]"
GIN,2,3,0.7318356237334612,scaffold,"[0.8182448528251345, 0.8469102022188194, 0.8734895435681108, 0.8721699602045647, 0.8874712624067495, 0.890874187989712, 0.8836106146752598, 0.8864054655810005, 0.8911852897645117, 0.8975603436141761, 0.8986112118200547, 0.8890963493126437, 0.9064775281617751, 0.8974774364573959, 0.9026494034950032, 0.906925919922883, 0.9027730977739294, 0.9052432511974885, 0.9043235415804716, 0.9122804959714053, 0.9139551672218691, 0.9091822741832978, 0.9123231491710351, 0.9094227315962108, 0.914079394665791, 0.9133414943121958, 0.9120000511838395, 0.90540666626857, 0.9158287090156069, 0.9168283933819297, 0.9044808252541066, 0.9094232647612059, 0.9158137803957365, 0.9162712359617657, 0.9173215710026488, 0.9153771182645265, 0.9199852633195278, 0.9118619614500382, 0.9146562791907834, 0.920481106765224, 0.9197517370515549, 0.9167484186326238, 0.9187011354281741, 0.9186736774309124, 0.9171994762187086, 0.9138288071179659, 0.9191567249167197, 0.9191727198665809, 0.9122021207170856, 0.9151014719619193]"
GIN,2,4,0.7728372237784003,scaffold,"[0.7625899624227757, 0.8602360783814195, 0.879558626839055, 0.8750631594590577, 0.8721344712650998, 0.8659708511135171, 0.8876674521792667, 0.8694682398148739, 0.8942461202046578, 0.8951797125448484, 0.8755296902532747, 0.8863633951128378, 0.8723902936118719, 0.8950783389593018, 0.8875026537587838, 0.9008513258178884, 0.8881668895824044, 0.8964285714285715, 0.8961700953230155, 0.8910531176358194, 0.893451054072989, 0.9047979958813663, 0.9030205082478825, 0.9071264038383966, 0.9082895463133982, 0.8969192514277222, 0.9066604037959366, 0.9047146678555507, 0.888256055877545, 0.9055697089357366, 0.9095832537205697, 0.9123200751544487, 0.9030359000488292, 0.9055898775024944, 0.9030523533532896, 0.9087223743710592, 0.9080748572277775, 0.9129232745260388, 0.9142888987962552, 0.9080000212300703, 0.8936086873447551, 0.906445980086194, 0.8994878245546992, 0.9133181538330892, 0.9155494342186273, 0.9060142135320468, 0.9089866887459397, 0.912997579771989, 0.9141270195104346, 0.9113225272275651]"
GIN,3,0,0.7754475594185481,scaffold,"[0.8549061795932984, 0.8838031339358621, 0.8947717024696226, 0.8898594686114827, 0.8808787170340104, 0.8960720757642087, 0.9057930517737961, 0.910736850602477, 0.9049715863519276, 0.9103241774220422, 0.9057149155352435, 0.908192506993452, 0.9058272040370043, 0.9111647888096488, 0.908932990154834, 0.9034142948954784, 0.9084496838845819, 0.896792895501319, 0.9200668866900351, 0.9178441435595559, 0.9092871905209878, 0.9111513348877789, 0.909212935221436, 0.9127844340193798, 0.9178958894129019, 0.9190482695669182, 0.9155693958464638, 0.9130291919057066, 0.916220358681557]"
GIN,3,1,0.8153922253818542,scaffold,"[0.7700956133602257, 0.8403301935832658, 0.860613810741688, 0.8613594725035059, 0.869185166702477, 0.8759163380210102, 0.8759966222850634, 0.8756240801964712, 0.8751651892051742, 0.870511878605572, 0.8412023463798151, 0.8815350813354681, 0.8762449836774583, 0.8793142684197517, 0.8846303573862678, 0.8742771528312043, 0.8899037050899068, 0.8822356914958749, 0.8854615016738403, 0.8847626242673339, 0.8843360780155116, 0.8818146322980707, 0.8876020303255037, 0.8881591107044915, 0.8934535402472525, 0.8959365765865672, 0.8861361205257405, 0.8924329481998996, 0.888788389162664, 0.8978356748614373, 0.8860416854381673, 0.8928618047902559, 0.8860806724009269, 0.8954248366013071, 0.8924831980630121, 0.897097232907538, 0.8977779163980897, 0.8946505844001321, 0.896610906646151, 0.8975994427463456]"
GIN,3,2,0.8535027802619652,scaffold,"[0.7847291038397965, 0.8525865039608915, 0.871260807519561, 0.883417502681803, 0.8935197713604869, 0.8974899103859266, 0.8877882086335558, 0.9008093106744516, 0.8955712775505358, 0.8985314817374579, 0.8961962203614544, 0.9058516841332667, 0.8945063438509325, 0.8837260803625837, 0.9040941541564538, 0.8966860995975835, 0.8977668515536935, 0.9039048217939558, 0.9072130276240298, 0.9004058234546293, 0.9099162459821629, 0.9110590541753383, 0.9096621804468827, 0.9014133247152227, 0.915724223055912, 0.9135223217501515, 0.9098870430470731, 0.9115365221640545, 0.9112238074008024, 0.910992374140217, 0.9098889899094126, 0.9133091403239969, 0.9141365568182039, 0.9156069245999685, 0.9189214577326452, 0.9169604806413743, 0.9172802527806061, 0.9118027555889551, 0.9099770854302663, 0.922060286539199, 0.9158974938041106, 0.9159135554184099, 0.9157563462845106, 0.9134887383747983, 0.9102623007629753, 0.9175854234522931, 0.9141613793130301, 0.9093144221615235, 0.9109033051881934, 0.9174053386859069]"
GIN,3,3,0.8552092089864676,scaffold,"[0.8086958272691345, 0.8743596299480587, 0.8768902038132809, 0.8827942517949092, 0.8887652635187152, 0.8829843726293432, 0.895614764615422, 0.89630126004222, 0.903163872920612, 0.8938413961425138, 0.9016555497489094, 0.8921986772085391, 0.9018372415808312, 0.9049555042322959, 0.891806260313821, 0.8955239186994612, 0.8981713279050556, 0.9032968638491322, 0.908340217018718, 0.9050594619299418, 0.9045668335609164, 0.9075066823258803, 0.9104329510312417, 0.901946350335568, 0.9118897636320384, 0.9076115765793609, 0.905248646208541, 0.9188628900989191, 0.916827285992309, 0.9177301258169108, 0.9158340685296636, 0.9142423918886773, 0.9075469542267701, 0.9180466816890223, 0.9151405489341058, 0.9166303751280741, 0.9176650351864027, 0.9179230563188485]"
GIN,3,4,0.8520673206988367,scaffold,"[0.7817503973609722, 0.8150126026752129, 0.864590506218706, 0.8361149951582179, 0.8835714798786557, 0.8578190323889022, 0.8740253652129439, 0.8806410270950765, 0.8841639433330578, 0.8831291575731357, 0.886540278063568, 0.882715999375672, 0.8871878292776321, 0.8912076155047199, 0.8908057989048337, 0.8921257448324171, 0.89567944540668, 0.8828385966447234, 0.8941062037998673, 0.8928294639582932, 0.8918016991873476, 0.8966802063738698, 0.8978586523697728, 0.8921241246041918, 0.8859456543048654, 0.898199980449246, 0.8822391122013447, 0.8933230934909492, 0.8989231423138263, 0.9019032820963161, 0.8929390994015418, 0.8939663240964122, 0.8987875832189721, 0.9070124017669128, 0.9100465491569142, 0.9029232157641726, 0.8976566639176794, 0.9098342992593937, 0.9021730500958367, 0.9070043006257861, 0.908605626188505, 0.9080736512545158, 0.9103695146498336, 0.9062638563268023, 0.9110945667806767, 0.9028856804769521, 0.8962875710672605, 0.9033042394351668, 0.8992193740410274, 0.903299918826566]"
GIN,4,0,0.8349944210423018,scaffold,"[0.840667394832743, 0.8747511815685514, 0.8940013066157632, 0.899646295029756, 0.8882113655155518, 0.8979982238191971, 0.9006160489164277, 0.8944522421730654, 0.9017920031032125, 0.90824546002062, 0.9084445147657789, 0.9104656860243153, 0.9093060645345693, 0.912709900676786, 0.9069510937803049, 0.9076385982462767, 0.9063253473250106, 0.9136219797270397, 0.9113724059083531, 0.9110296744689322, 0.9135806375876607, 0.9150526219082715, 0.911179731122975, 0.913211620713943, 0.9097013668425835, 0.9153210906158449, 0.9176444167695967, 0.9141512611904495, 0.9104697691985749, 0.9116778783826548, 0.9125031899798903, 0.9186330553372191, 0.9159011565591091, 0.91386697018262, 0.9221152373855435, 0.912303624837949, 0.9187800496105671, 0.9201035084674827, 0.920715984606433, 0.9180251727693108, 0.9194849075671427, 0.9135668568745342, 0.921392515541582, 0.9207879505527597, 0.9243831854883988, 0.9155089166317897, 0.9200762022396212, 0.9208910507028164, 0.9253810111981053, 0.9216413339730307]"
