SMILES,standard_smiles,MPO_multi,MPO_Score,Hit_Tier,S_vina,S_diff,S_qed,S_admet,P_ro5,MPO_4gm2,MPO_6ukj,MPO_7f3y,MPO_9n10,aff_4gm2,aff_6ukj,aff_7f3y,aff_9n10,conf_4gm2,conf_6ukj,conf_7f3y,conf_9n10,qed,sa_score,npl_score,syba_score,molecular_weight,logP,tpsa,AMES,hERG,DILI,ClinTox,Bioavailability_Ma,Solubility_AqSolDB,HIA_Hou,PPBR_AZ,Caco2_Wang
CC(NCC1=CC=CC(O)=C1Cl)C1=CC=CC=C1,CC(NCc1cccc(O)c1Cl)c1ccccc1,0.5421187410874011,0.492118741087401,Secondary hit,0.2488414634146342,0.23582911314839705,0.8750080442459371,0.8071022783732825,1.0,0.4380834532330921,0.567368404598792,0.5314139960082502,0.4316091105094699,-4.504,-7.66,-6.314,-4.884,-1.11,-1.23,-0.79,-1.68,0.8750080442459371,2.305760125870549,-0.4882940109615111,59.737136601449976,261.752,3.8964000000000025,32.26,0.0828555598855018,0.6959830760955811,0.0829140983521938,0.0091910352464765,0.6030374526977539,-3.0679614821749555,0.9999187827110292,83.54623004995024,-4.830856027150068
C[C@H](O)CNC1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@H](O)CNC1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.5420329045209815,0.4920329045209816,Secondary hit,0.3698170731707318,0.23016512500066294,0.6831847855496758,0.7894579370074972,1.0,0.4126501020466562,0.6057447085750842,0.5334649368188202,0.4162718706433655,-5.261,-9.223,-7.599,-5.247,-1.51,-0.96,-1.02,-1.4,0.6831847855496758,4.38189273276296,2.4064144296382244,-45.12195332866489,347.5430000000001,3.6491000000000025,52.49,0.0469293156638741,0.5123483955860137,0.0362183406949043,0.1145378585904836,0.6403539419174195,-3.6482485364092057,0.9970823049545288,76.2156544695068,-4.897127109800789
C#CC1=CC=C(CNCC(O)C2=CC=CC=C2)C=C1,C#Cc1ccc(CNCC(O)c2ccccc2)cc1,0.5409868043580816,0.49098680435808145,Secondary hit,0.28734756097560976,0.19274660931593665,0.8002096258338817,0.8812438701390501,1.0,0.3943217656581687,0.5846846608405221,0.5443804943699261,0.44056029656370915,-4.37,-8.568,-6.77,-4.917,-2.08,-1.69,-0.84,-1.37,0.8002096258338817,2.3890177487096107,-0.8615388940599525,100.53966116229228,251.3290000000001,2.4911000000000003,32.26,0.2047098740935325,0.5000655949115753,0.0752946875989437,0.1275722302496433,0.8462673783302307,-2.5173053824699565,0.9972469925880432,66.66832928643981,-4.646793529031579
CC1=CC=C(F)C(CN[C@@H]2CCCC[C@@H]2O)=C1,Cc1ccc(F)c(CN[C@@H]2CCCC[C@@H]2O)c1,0.5401292184532048,0.49012921845320473,Secondary hit,0.24652439024390252,0.21739964035353848,0.8463703356831171,0.8681446976188721,1.0,0.38995506579824896,0.6395566487558272,0.5141476813640031,0.41685747789473976,-3.999,-8.691,-5.916,-4.68,-1.92,-0.73,-0.86,-2.0,0.8463703356831171,2.7446344729908585,-0.9589739515963414,51.7165694635273,237.318,2.5272200000000007,32.26,0.4714495778083801,0.5863911867141723,0.0339257331565022,0.1362647578120231,0.9638031721115112,-1.6482426540528716,0.9999783754348754,51.92115920338968,-4.488902802671383
COc1cc(/C=C\CO)cc(OC)c1O,COc1cc(/C=C\CO)cc(OC)c1O,0.5396684997101201,0.4896684997101201,Secondary hit,0.18737804878048786,0.3292799020166617,0.78854795319926,0.8937107766195461,1.0,0.4124973857595408,0.5499091819938986,0.505475694957024,0.490791736130017,-3.743,-6.898,-5.679,-4.969,-0.93,-0.83,-0.69,-0.42,0.78854795319926,2.1722456891603894,1.2741803261220936,36.58314450775988,210.229,1.4148999999999998,58.92,0.2685209020972252,0.0946980059146881,0.2319133728742599,0.0082494414702523,0.6842735409736633,-1.1536185620590331,0.9987424969673157,61.41934266457504,-5.014385876198619
CC(C)(C)CC(C)(C)NC[C@@H](O)C1=CC=C(Cl)C=C1,CC(C)(C)CC(C)(C)NC[C@@H](O)c1ccc(Cl)cc1,0.5383098623088532,0.48830986230885315,Secondary hit,0.27670731707317076,0.16590180624089926,0.8496553982220016,0.8670384675241216,1.0,0.3984905983273927,0.6372044573497863,0.500273107492188,0.4172712860660458,-3.936,-9.022,-6.287,-5.031,-1.58,-1.06,-1.54,-2.77,0.8496553982220016,2.596958783674644,-0.831902252266521,67.59236445422201,283.843,4.177800000000003,32.26,0.0152737254276871,0.6952314436435699,0.0088526656851172,0.1468046996742487,0.9294896006584168,-3.486554858267757,0.9996999382972718,73.72954566109675,-4.418277592447528
Cc1cc(N[C@@H](C)CCO)c2cc(F)ccc2n1,Cc1cc(N[C@@H](C)CCO)c2cc(F)ccc2n1,0.5359913052316316,0.48599130523163164,Secondary hit,0.23310975609756107,0.24645785916290075,0.8741330511194196,0.786412103885841,1.0,0.44974843049308433,0.5345576961346052,0.5212381007040519,0.43842099359478515,-4.163,-7.189,-6.496,-4.998,-0.55,-1.46,-1.08,-1.53,0.8741330511194196,2.683097573834349,-1.0380448884978,70.09817127369783,248.301,2.865120000000001,45.15,0.662220811843872,0.6395509362220764,0.5745414972305298,0.2252903789281845,0.968663251399994,-1.762120383657368,0.999989414215088,71.31251393441295,-4.50120601000232
C=C(Br)CNCc1cc2c(c(OC)c1)OCO2,C=C(Br)CNCc1cc(OC)c2c(c1)OCO2,0.533740947599323,0.48374094759932296,Secondary hit,0.15219512195121954,0.3088895899302008,0.9063437848143876,0.8132100031397894,1.0,0.39558100057220225,0.555929257453208,0.5338184693579083,0.44963506301397344,-3.856,-6.592,-5.708,-4.036,-1.66,-0.69,-0.42,-0.64,0.9063437848143876,2.543879081840556,-0.0324426166103293,57.94124255521732,300.15200000000004,2.4221000000000004,39.72,0.582021290063858,0.3567853957414627,0.5285051107406616,0.1587301306426525,0.9204402327537536,-2.459699657491594,0.9999900579452514,72.58383094068942,-4.61848582571538
NCC=C=C1CN=C(c2ccc(Cl)c(Cl)c2)N=C1CO,NCC=C=C1CN=C(c2ccc(Cl)c(Cl)c2)N=C1CO,0.5336557551305726,0.4836557551305725,Secondary hit,0.2627439024390244,0.21547775666614793,0.8404844256612787,0.7981937665208086,1.0,0.4042250999219511,0.5994194602969635,0.5302245505535415,0.40075390974983427,-4.197,-8.466,-6.325,-4.83,-1.4,-1.1,-0.67,-2.5,0.8404844256612787,3.730189971215614,-0.2203065517349799,-40.56048966343784,310.1840000000001,2.2271000000000005,70.97,0.1399753857403993,0.5781456172466278,0.5683987557888031,0.1178388638421893,0.9404246568679808,-2.681607484394948,0.9999774694442748,62.31860259670562,-5.024408329405697
COC(=O)C1=CC=C(NC(C)CCN)C2=NC=CC=C12,COC(=O)c1ccc(NC(C)CCN)c2ncccc12,0.5332741661500939,0.48327416615009383,Secondary hit,0.24618902439024393,0.24453905366584053,0.816350647372511,0.8180207648169744,1.0,0.4020278820569514,0.5643336595332735,0.5152421502373975,0.4514929727727531,-4.103,-7.128,-6.39,-5.654,-1.31,-0.64,-0.97,-1.77,0.816350647372511,2.689665844332774,-0.588084729992865,46.44854257343851,273.336,2.1706000000000003,77.24,0.3019278347492218,0.4258178770542145,0.6398687601089478,0.2196537435054779,0.8796004772186279,-2.301651401992033,0.9999711990356446,54.77627604567077,-4.678458382752899
CC(=O)/C=C(/C)NC(=O)[C@H](O)Cc1c[nH]c2ccccc12,CC(=O)/C=C(/C)NC(=O)[C@H](O)Cc1c[nH]c2ccccc12,0.5328321819040802,0.4828321819040802,Secondary hit,0.28414634146341466,0.2793542791781267,0.7313423494819342,0.7818261513397773,1.0,0.43203407719450776,0.5627220427534091,0.5350633728934339,0.4015092347749703,-4.351,-8.197,-6.847,-5.125,-0.49,-1.12,-0.55,-1.94,0.7313423494819342,3.0533132696008654,0.443526549526832,48.44303832762669,286.331,1.6802999999999997,82.19,0.4042436331510544,0.0781827997416257,0.6430044651031495,0.0580875173211097,0.8246050000190734,-3.355771058843376,0.9995513439178468,78.47900049479371,-5.147201939837427
Cc1cc(N[C@H](N)CCC[NH3+])nc2ccccc12,Cc1cc(N[C@H](N)CCC[NH3+])nc2ccccc12,0.5320508500252641,0.48205085002526404,Secondary hit,0.28,0.2926331581286531,0.6939102449709594,0.8140700766593927,1.0,0.42091201717856647,0.5567364335643108,0.5055872681156464,0.4449676812425326,-3.842,-7.973,-6.326,-6.243,-0.27,-0.99,-0.63,-2.0,0.6939102449709594,3.485759220893174,-0.7199107766535664,58.36441698304843,245.35,1.2620200000000006,78.58,0.4855047672986984,0.5270661234855651,0.1862236268818378,0.0081135255575645,0.825852632522583,-0.6386817431437463,0.998004424571991,49.0262489827557,-5.226845913485738
COC1=C(O)C=C(CNCC(O)C2=CC=CC=C2)C=C1O,COc1c(O)cc(CNCC(O)c2ccccc2)cc1O,0.5212789121168908,0.4712789121168907,Secondary hit,0.31417682926829277,0.2164217898625733,0.6530674471227219,0.8439872332186706,1.0,0.37740701590177456,0.5901942593693364,0.5058545516685021,0.41165982152794994,-4.036,-9.326,-6.913,-5.23,-1.15,-1.46,-1.03,-1.56,0.6530674471227219,2.5751263523684766,0.1058291996159572,81.39228215380435,289.331,1.9296,81.95,0.0593033656477928,0.3082395792007446,0.0484872076660394,0.0347370170056819,0.4018305361270904,-1.6361124846635149,0.9963902831077576,48.90857325508613,-5.799531240542732
[N-]CCC=C1CC(CO)=NCC2=C1C(N)=C2,[N-]CCC=C1CC(CO)=NCC2=C1C(N)=C2,0.5205470882166038,0.4705470882166038,Secondary hit,0.17527439024390246,0.3521021787418508,0.7426261210677833,0.8176685515481239,1.0,0.42994482048677496,0.5382318260937783,0.5218135284206025,0.39219817786525946,-4.137,-6.783,-5.733,-4.296,-0.5,-0.58,-0.11,-1.39,0.7426261210677833,4.832486936886793,1.1687842111857627,-54.2551076708602,217.272,1.1307,80.91,0.6776566326618194,0.110826701670885,0.1642758995294571,0.0864404570311307,0.8445979237556458,-1.130534643469581,0.99909508228302,41.59992656994299,-4.755043784735782
CC1(C)C(C(=O)OCC2=CC=C(OC(F)F)C(F)=C2)C1(F)F,CC1(C)C(C(=O)OCc2ccc(OC(F)F)c(F)c2)C1(F)F,0.5162956733445527,0.46629567334455263,Secondary hit,0.3586280487804879,0.23143060665170007,0.6109853508507888,0.7381408962553276,1.0,0.33581857775742113,0.5840787879657752,0.5144127918049315,0.43087253585008306,-4.801,-9.393,-7.306,-5.463,-3.16,-1.1,-0.72,-0.81,0.6109853508507888,3.0956774402518645,-0.9910540852391913,64.45391152628412,324.245,3.7616000000000014,35.53,0.2420880675315856,0.391260814666748,0.5305767476558685,0.0054753032512962,0.9412342429161072,-5.307612746709129,0.9999993801116944,93.98574571804376,-4.019780131865983
OCCNC1=[C-]C(NCC2=C(Cl)COC=CC2)=NC2=CC=CC12,OCCNC1=[C-]C(NCC2=C(Cl)COC=CC2)=NC2=CC=CC12,0.5044679637466588,0.45446796374665877,Secondary hit,0.3161585365853659,0.23164819128088496,0.6711445330405251,0.6778101434230297,1.0,0.3488422608599628,0.5248450762660741,0.5089453700281384,0.43523914783245965,-4.116,-8.347,-7.043,-6.064,-1.4,-1.52,-0.67,-1.32,0.6711445330405251,5.222154210138887,0.4745707865663261,-91.83976447814672,332.81100000000004,1.7538900000000006,65.88,0.5339223146438599,0.521799099445343,0.5148117899894714,0.1099759723991155,0.78737473487854,-2.342814143706204,0.9997341990470886,80.64649215565933,-5.55223379370356
CC(C)[C@H](NC(N)=O)C(=O)Nc1ccc(Cl)c(Cl)c1,CC(C)[C@H](NC(N)=O)C(=O)Nc1ccc(Cl)c(Cl)c1,0.5039252828998407,0.45392528289984074,Secondary hit,0.2124085365853659,0.17051701471343275,0.7985838264883331,0.8482418407929188,1.0,0.388047630000624,0.5320913660741584,0.5136919065459145,0.38187022897866596,-3.98,-7.166,-6.377,-4.644,-1.56,-1.35,-1.01,-3.3,0.7985838264883331,2.282077860597722,-1.6801845003581268,115.27681802298648,304.177,2.6248000000000005,84.22,0.2121300712227821,0.1515597224235534,0.6253990530967712,0.1127388264983892,0.9737284898757934,-3.97087468297942,0.9997437953948974,72.34142989888274,-4.653117055743288
CCC[C@@H](C)[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,CCC[C@@H](C)[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,0.5015139811500644,0.4515139811500644,Secondary hit,0.2625304878048781,0.2504029337926415,0.7115391831754987,0.6981316022339801,1.0,0.39704043133081207,0.5080462611569518,0.5063914387617144,0.3945777933507795,-4.121,-7.631,-6.826,-5.233,-0.64,-1.45,-0.75,-1.77,0.7115391831754987,3.151264514415244,0.7098023394054318,42.37451324077674,304.386,4.395200000000004,48.67,0.0724574200809002,0.6974125027656555,0.5829188764095307,0.0387966856360435,0.931095325946808,-5.433279831934764,0.9999672174453736,100.98552624059673,-4.356942042981968
NOCCC1=C[C-](c2ccc(Cl)c(Cl)c2)C=NC1,NOCCC1=C[C-](c2ccc(Cl)c(Cl)c2)C=NC1,0.5007356208023002,0.4507356208023002,Secondary hit,0.269969512195122,0.23130273697211962,0.681397371546713,0.7476075532108998,1.0,0.3325628281390406,0.584176348639508,0.5336829794039625,0.35252032702668956,-3.851,-8.311,-7.223,-4.67,-1.92,-0.52,-0.59,-2.62,0.681397371546713,4.2463765119647645,-0.2945621707013666,-3.788273078864888,284.16600000000005,3.207190000000001,47.61,0.5858424484729767,0.4784944236278534,0.5688373446464539,0.2008343286812305,0.8847217440605164,-3.545329251051366,0.999959683418274,68.81813442320896,-4.519601983909899
CC1=C=NN=C(Nc2ccc(Cl)c(Cl)c2)N=C(NCCO)C=CC1,CC1=C=NN=C(Nc2ccc(Cl)c(Cl)c2)N=C(NCCO)C=CC1,0.49959272220768497,0.449592722207685,Borderline,0.3278353658536586,0.11293886018676513,0.7683241594635508,0.6863386481300202,1.0,0.3386274712878664,0.5454435180451874,0.5153446484210692,0.39895525107661683,-4.188,-8.653,-7.416,-5.696,-2.72,-1.93,-1.28,-3.04,0.7683241594635508,4.208396282149195,-0.3882209577207458,-21.34540579744582,366.2520000000001,3.2326000000000024,81.37,0.3543445259332657,0.6763768196105957,0.6991657137870788,0.0721322877332568,0.8786403656005859,-3.98106877746566,0.9995777010917664,79.96789346800912,-5.251189814172292
COCCCNC(=O)CCCOc1ccc(Cl)cc1Cl,COCCCNC(=O)CCCOc1ccc(Cl)cc1Cl,0.49200071683990854,0.44200071683990855,Borderline,0.23256097560975614,0.17373515387258323,0.7102712938016588,0.834108854320109,1.0,0.3670225261205152,0.5305107748607852,0.509874216077119,0.36059535030121476,-3.651,-7.721,-6.728,-4.579,-1.39,-1.49,-0.99,-3.16,0.7102712938016588,1.8266157953914384,-1.3739563100408252,175.61478459522695,320.216,3.3051000000000013,47.56,0.1988606721162796,0.5782492637634278,0.4164240181446075,0.0549977932125329,0.903783881664276,-3.3017217546121813,0.9999300360679626,77.62790326895939,-4.480523430866547
C[C@H](O)C[C@@H](C)NC(=O)C1=C(O)C(C(=O)O)=CC=C1,C[C@H](O)C[C@@H](C)NC(=O)c1cccc(C(=O)O)c1O,0.4917880264953543,0.44178802649535426,Borderline,0.24615853658536593,0.21343190908086673,0.6358802219150196,0.833990113581704,1.0,0.35585255425074536,0.5281635298605015,0.504052063393593,0.3790839584765773,-3.978,-8.015,-6.724,-4.557,-1.49,-1.49,-0.81,-1.53,0.6358802219150196,2.89814206544405,0.0618196602348369,34.85863817050581,267.281,0.9795999999999998,106.86,0.105393623560667,0.0114456962794065,0.4380845725536346,0.1029163055121898,0.7427417635917664,-0.8650125754929932,0.9604379296302796,54.20972489112437,-5.51513896674812
CC1=Nc2ccccc2C(NCCO)=NO1,CC1=Nc2ccccc2C(NCCO)=NO1,0.47983887583156204,0.47983887583156215,Borderline,0.20381097560975614,0.28331192531544097,0.7797270521073353,0.8782109507854677,1.0,0.4617002610282409,0.5565180661118233,0.4639292438381907,0.4372079323479935,-4.069,-7.161,-5.636,-5.019,-0.2,-0.84,-1.44,-1.45,0.7797270521073353,3.108552488726258,-0.3122307708216125,0.0556566299884182,219.24399999999997,1.0102,66.21000000000001,0.1816454656422138,0.2641246154904365,0.4208689510822296,0.0214910821057856,0.8647112965583801,-1.4725048880157854,0.9999196529388428,57.01259164888063,-4.597605635887119
C=CC(C)NC(=O)NCCCCC1=CNC2=CC=CC=C12,C=CC(C)NC(=O)NCCCCc1c[nH]c2ccccc12,0.47362096148371396,0.4236209614837139,Borderline,0.31475609756097567,0.21850210104109372,0.5300111343049446,0.6855238347740672,1.0,0.3535768350899671,0.5202865405968314,0.5011185261962833,0.31950194405177385,-4.546,-8.883,-7.154,-4.941,-1.09,-1.53,-0.42,-2.99,0.5300111343049446,2.817278999043836,-0.3171007315483061,98.28904713164992,285.391,3.364300000000002,56.92,0.2672771692276001,0.6880623936653137,0.4283071100711823,0.1638382725417614,0.6763943552970886,-3.2665485136876518,0.99993394613266,96.53956141303358,-5.14378178648911
CC1=CC=CC(CNC[C@@H](O)C2=CC=CC=C2)=C1,Cc1cccc(CNC[C@@H](O)c2ccccc2)c1,0.4725005522423549,0.47250055224235493,Borderline,0.2425914634146342,0.13282589440867434,0.8433542856360612,0.9047747287856805,1.0,0.3869141850358138,0.5978346254561326,0.49549270192727374,0.40976069655019937,-3.758,-8.536,-6.357,-4.464,-1.9,-1.62,-1.92,-2.11,0.8433542856360612,2.068749266142042,-0.8720491110359389,104.07726563492596,241.3340000000001,2.818220000000001,32.26,0.0803236655890941,0.6024763226509094,0.032613917812705,0.075891925767064,0.9252185821533204,-2.300681526894208,0.9999191880226136,70.14729799278453,-4.772324440579903
CC(=O)C1=C(F)C=CC=C1N(C)CC(C)O,CC(=O)c1c(F)cccc1N(C)CC(C)O,0.4667605417717233,0.4667605417717232,Borderline,0.1894817073170732,0.2222044171254646,0.7948420567914118,0.9061495238073274,1.0,0.38688624364590035,0.5496315952741393,0.48772957436740827,0.4427947537994451,-3.692,-7.241,-5.216,-5.158,-1.6,-1.2,-0.71,-1.66,0.7948420567914118,2.748576820992964,-1.0392451747534248,61.60067775028342,225.263,1.8453000000000004,40.540000000000006,0.2189616531133651,0.1949043519794941,0.3257664024829864,0.0556935072876513,0.950122845172882,-1.282138457589243,0.999992036819458,37.51556669861775,-4.14136001792413
CCc1[nH]c2cccc(C)c2c(=O)c1CC,CCc1[nH]c2cccc(C)c2c(=O)c1CC,0.4632086154150511,0.46320861541505104,Borderline,0.18853658536585371,0.2320315180109889,0.8204257436146433,0.8341852154088425,1.0,0.43228337278935497,0.4891120295454385,0.49667810746818025,0.43476095185723057,-4.05,-6.838,-5.772,-4.724,-0.71,-2.43,-0.88,-1.24,0.8204257436146433,2.424062811012668,0.0579193823260625,26.463932142314533,215.29599999999996,2.961320000000001,32.86,0.1416000261902809,0.3516880929470062,0.6599260091781616,0.0254430416971445,0.8331830143928528,-3.2806429733202025,0.9999931812286376,74.61173827634778,-4.431542996972127
