candidate_id,target,complex_name,rank1_sdf,rank1_sdf_sha256,rank1_valid,rank1_atom_count,rank1_confidence_file,rank1_confidence_sdf_sha256,rank1_confidence_valid,rank1_confidence_atom_count,rank1_confidence_coordinate_count,diffdock_rank1_confidence,grid_status,grid_inside_fraction,min_receptor_distance_A,vina_score_only_status,consensus_status,rrs_pns_status
PP-01,PfDHFR,PP-01_PfDHFR,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-01_PfDHFR/rank1.sdf,dbc3e7baf18f2da6f16c313ddad90337c4ced880f600535390b4b44a0419f2b2,True,24,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-01_PfDHFR/rank1_confidence-0.12.sdf,dbc3e7baf18f2da6f16c313ddad90337c4ced880f600535390b4b44a0419f2b2,True,24,24,-0.12,OUTSIDE_GRID,0.0,0.14005773809397362,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-01,PfCRT,PP-01_PfCRT,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-01_PfCRT/rank1.sdf,efca1883ce6650369074e85bd17e98d2115a6c013fdc1426c375307d0ffbcc08,True,24,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-01_PfCRT/rank1_confidence-1.20.sdf,efca1883ce6650369074e85bd17e98d2115a6c013fdc1426c375307d0ffbcc08,True,24,24,-1.2,OUTSIDE_GRID,0.0,2.641681617833612,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-01,PfClpP,PP-01_PfClpP,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-01_PfClpP/rank1.sdf,41476603d5ad8aac534441adccf132fdb78f98aa151a097ae13baa5808c5196a,True,24,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-01_PfClpP/rank1_confidence-0.52.sdf,41476603d5ad8aac534441adccf132fdb78f98aa151a097ae13baa5808c5196a,True,24,24,-0.52,PARTIAL_GRID,0.25,2.3892755889599684,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-01,PfATP4,PP-01_PfATP4,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-01_PfATP4/rank1.sdf,35a1f7d5da1137653f038f83ca37780ce6210af0160e3edcda15907757b0f7f3,True,24,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-01_PfATP4/rank1_confidence-0.76.sdf,35a1f7d5da1137653f038f83ca37780ce6210af0160e3edcda15907757b0f7f3,True,24,24,-0.76,OUTSIDE_GRID,0.0,2.8449432226320477,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-02,PfDHFR,PP-02_PfDHFR,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-02_PfDHFR/rank1.sdf,05bb70c469eae9f6d93a103d30624196c0192eda2097fbefb7e7cbcc50bc9bfe,True,28,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-02_PfDHFR/rank1_confidence-2.50.sdf,05bb70c469eae9f6d93a103d30624196c0192eda2097fbefb7e7cbcc50bc9bfe,True,28,28,-2.5,PARTIAL_GRID,0.8214285714285714,1.4305224954540197,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-02,PfCRT,PP-02_PfCRT,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-02_PfCRT/rank1.sdf,03cbbf3433ee1bd332ede7a8a8aabec43b494830bbcff15b4d0d08f5eecaa679,True,28,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-02_PfCRT/rank1_confidence-1.25.sdf,03cbbf3433ee1bd332ede7a8a8aabec43b494830bbcff15b4d0d08f5eecaa679,True,28,28,-1.25,OUTSIDE_GRID,0.0,0.7357459615927158,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-02,PfClpP,PP-02_PfClpP,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-02_PfClpP/rank1.sdf,53e5ab208d9ffddaaeb323ae968605ea5bd069823432070f17227e47a656bbeb,True,28,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-02_PfClpP/rank1_confidence-1.08.sdf,53e5ab208d9ffddaaeb323ae968605ea5bd069823432070f17227e47a656bbeb,True,28,28,-1.08,OUTSIDE_GRID,0.0,1.31544091847563,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-02,PfATP4,PP-02_PfATP4,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-02_PfATP4/rank1.sdf,ecb9faa7032873ff0cd1279ba496cb7e19bb846a65159b7c57fcb8baf82e24f4,True,28,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-02_PfATP4/rank1_confidence-1.56.sdf,ecb9faa7032873ff0cd1279ba496cb7e19bb846a65159b7c57fcb8baf82e24f4,True,28,28,-1.56,PARTIAL_GRID,0.21428571428571427,2.2338745846622707,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-03,PfDHFR,PP-03_PfDHFR,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-03_PfDHFR/rank1.sdf,4d36ab7b650079c027e7b22652bd054db95a33c763ca5274496de21975b31fc8,True,26,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-03_PfDHFR/rank1_confidence-1.41.sdf,4d36ab7b650079c027e7b22652bd054db95a33c763ca5274496de21975b31fc8,True,26,26,-1.41,PARTIAL_GRID,0.9230769230769231,0.824558118024439,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
PP-03,PfCRT,PP-03_PfCRT,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-03_PfCRT/rank1.sdf,d0fa6fa0c6345268dc130fabc94a72ee66abe82a9ae48ae003702454d1ead06b,True,26,/home/nanaengo/Malaria_codesV2/Project1_Chem_space_antimalarial_V5_CorrectedGrid/results/diffdock_full_68_verified/PP-03_PfCRT/rank1_confidence-2.22.sdf,d0fa6fa0c6345268dc130fabc94a72ee66abe82a9ae48ae003702454d1ead06b,True,26,26,-2.22,OUTSIDE_GRID,0.0,2.2747148150922043,BLOCKED_OUT_OF_PREDECLARED_GRID,NOT_COMPUTED,NOT_UPDATED
