model,fold,seed,test_auc,test_ap,test_f1,test_bacc,split,curve
ChemBERTa,2,0,0.8490440659063451,0.9538838251007877,0.9021586767591814,0.7013670189460827,scaffold,"[0.8772178557064871, 0.8900721436387954, 0.8910612347973026, 0.8981945384085375, 0.9021607757675524, 0.8989253798660843, 0.8999763054600327, 0.8987458521564629]"
ChemBERTa,2,1,0.7802621339867389,0.8828679273263351,0.8260711692084242,0.6822268526557466,scaffold,"[0.8786068330677996, 0.8962896708934667, 0.9006013588287115, 0.8974848314507872, 0.9049073530583998, 0.9047898556800924, 0.907822789108252, 0.901787202413303, 0.9029311196206129, 0.904473596216895]"
ChemBERTa,2,2,0.8238631107890346,0.909161876368577,0.8595362752430815,0.705712328195926,scaffold,"[0.8949435082203254, 0.9121267061398999, 0.9099675300824236, 0.9084589277581063, 0.9112431129982517]"
ChemBERTa,2,3,0.8032764802129256,0.8499087816010868,0.8236628236628236,0.7115502905700235,scaffold,"[0.8903903407564119, 0.9039900468758664, 0.907259681209986, 0.9138730598125817, 0.9181679704328021, 0.9181991605850313, 0.9191631228966641, 0.9189573212084503, 0.9194555638966257, 0.9196997534645062]"
ChemBERTa,2,4,0.7484807033924681,0.9095539026488272,0.8677908459685418,0.6678207282913166,scaffold,"[0.8979629747574465, 0.9059762647814366, 0.9149454387194023, 0.9206653504023099, 0.9174564252807677, 0.9263258178884571, 0.924979831433242, 0.9249469248243212, 0.9266349807867863, 0.9268573657728807]"
ChemBERTa,3,0,0.7395758939239798,0.8801205875932434,0.8395348837209302,0.6655737704918033,scaffold,"[0.8935592971257248, 0.912959852462223, 0.9201701196674605, 0.9207351843859992, 0.9230960889449124, 0.9246427725014256, 0.9262285241772151, 0.9251889499834932, 0.9265252866461546, 0.9267449477936085]"
ChemBERTa,3,1,0.7780682715602135,0.8246339958507646,0.7748875415607276,0.6750504668382913,scaffold,"[0.8646846272384292, 0.8899135240286759, 0.8970929010227868, 0.9027746010622935, 0.9069216587306538, 0.9076563463844357, 0.9054060766524119, 0.9098329740756914, 0.9072976663270469, 0.9100033615425668]"
ChemBERTa,3,2,0.8334171746576384,0.9459732136069418,0.8942560767920731,0.7347944917960979,scaffold,"[0.8848435793453481, 0.8991092131366484, 0.9096651007403918, 0.913520374887812, 0.9115457697601661, 0.9148770945805194, 0.9146415242374627, 0.9159539528119507, 0.9144195819307812, 0.9168103288834549]"
ChemBERTa,3,3,0.809202908404622,0.9593207584217894,0.9159712230215827,0.6623381071881851,scaffold,"[0.8915042210571469, 0.910043812081945, 0.9131676940684175, 0.9144304054724831, 0.9180424671877664, 0.9174493932054747, 0.9181986378731941, 0.9153840534511146, 0.92127639448481, 0.9227189246091284]"
ChemBERTa,3,4,0.8159620395551822,0.9030817583077365,0.8426223953921734,0.6934295396619726,scaffold,"[0.8777521601692815, 0.8882242352657794, 0.9032804760878617, 0.9054459111110391, 0.9051377977101855, 0.9103381902374768, 0.914209995619983, 0.9123040671508988, 0.9136696495068295, 0.912858725280043]"
ChemBERTa,4,0,0.8157942654856963,0.9198728395266805,0.8627585028200307,0.6671913673352935,scaffold,"[0.9008365403264498, 0.9147542949889245, 0.9149530945356921, 0.9202793401590396, 0.9237252840358094, 0.9259546971815891, 0.9243632800138828, 0.9221116646080663, 0.9256058409807785]"
ChemBERTa,4,1,0.7494774396182847,0.9197166731134876,0.8979409131602507,0.5763234548445816,scaffold,"[0.8928266316432558, 0.905260189809078, 0.9100937173046815, 0.9166042131975928, 0.9175168995377206, 0.9146897979475688, 0.9148804974511564, 0.9168594685642629]"
ChemBERTa,4,2,0.7937888409921667,0.9350950883537263,0.8865947611710323,0.6531430790328685,scaffold,"[0.8859705381350981, 0.9046438265423553, 0.9062820454318665, 0.9148131191898263, 0.9134865480015184, 0.9152930014907942, 0.9195048838178372, 0.9177367908259741, 0.9189337386341356, 0.9184127378914965]"
ChemBERTa,4,3,0.8156365014038474,0.9238211145864779,0.8591839974599143,0.6731761707948507,scaffold,"[0.8834842940084351, 0.9001116107360942, 0.9133243365063693, 0.9140565136669493, 0.9173334692694863, 0.914270076517745, 0.9161089707129135, 0.9164985351090887]"
ChemBERTa,4,4,0.7781877440580511,0.9247947541023039,0.8626136907611297,0.6130155966546752,scaffold,"[0.8749324546145989, 0.8935171213533138, 0.8997866075597816, 0.9032168935851765, 0.9061776754599714, 0.9084619839277667, 0.9047158913645902, 0.9033843551633223, 0.9044477489289595]"
