model,fold,seed,test_auc,test_ap,test_f1,test_bacc,split,curve
GIN,2,0,0.8623474820430435,0.9556010978961378,0.9011971729410068,0.7491167567280501,scaffold,"[0.7679629034956721, 0.8362421498845931, 0.8669837370238618, 0.8619008425071734, 0.8591281656373051, 0.8810731548136808, 0.8637886114479962, 0.8760837913758109, 0.8672570556208541, 0.8816779891233748, 0.8742986468131364, 0.8870575850067601, 0.8798239952943476, 0.886333758380125, 0.8838673957933878, 0.8942490857337044, 0.8855473178923915, 0.8878276575557004, 0.8872851772985522, 0.8904215861416039, 0.8868203797985341, 0.8945907339799448, 0.8928710611724433, 0.8833350480697784, 0.8928809338974297, 0.8909292520527474, 0.8896141011611364, 0.8915268117229777, 0.8933919773197525, 0.8919890111374731, 0.895623472975234, 0.8942787039086639, 0.8936868600265836, 0.8976395873408803, 0.8964036780577128, 0.8904896559822998, 0.8973506802307516, 0.8904098947567517, 0.8965974952377093, 0.8896354054624228, 0.8899835489224699, 0.896712070809262, 0.9010274908625332, 0.9013590065752349, 0.9029313679335971, 0.8970947688067618, 0.8939955125866851, 0.904414355149977, 0.8973314543978832, 0.8958778255479103]"
GIN,2,1,0.8240361302438052,0.9083208386344245,0.8451530144768188,0.7231010399181956,scaffold,"[0.8198387335542492, 0.8491820215553341, 0.8181130231609589, 0.8490935103144064, 0.8596462759542391, 0.845405024332827, 0.8499900101347959, 0.8517343544735445, 0.8574171902287733, 0.8566948660374605, 0.8690075043039238, 0.8605008493973471, 0.8672605719171951, 0.8588173241861365, 0.8623437983641467, 0.867139451271715, 0.8708703812401718, 0.8703077396092462, 0.8574324597118571, 0.8650591783051185, 0.8793234635535554, 0.8724982634198053, 0.8656073268673543, 0.861659518478145, 0.8756706926341049, 0.86462852712119, 0.876281989567061, 0.8730810918249776, 0.871221838155902, 0.8788974708559918, 0.8715096290913156]"
GIN,2,2,0.8287945473219963,0.9045262723105149,0.8528301886792453,0.7419725314779428,scaffold,"[0.7291083261096338, 0.8581808030794997, 0.8724484668615842, 0.8294762205603632, 0.8665686202488871, 0.8708431893980576, 0.8493942376915505, 0.8393218047984956, 0.8383362473002953, 0.8686487518916297, 0.8696869077178496, 0.8707808941715763, 0.852640641758371]"
GIN,2,3,0.7926204842081385,0.8413662443549801,0.8183908045977012,0.6598807950084982,scaffold,"[0.8112409308634287, 0.8406977636927435, 0.8714336593459558, 0.8861807365354513, 0.8800384092062665, 0.8903988713963378, 0.8898041258440001, 0.8877685018916692, 0.8919071951682457, 0.8887652538505175, 0.8954079565278589, 0.8974174553954164, 0.8964673553736634, 0.9040900153124987, 0.9071567803658791, 0.8879910982772372, 0.9050923655037982, 0.9063802255501195, 0.8919053290907617, 0.9107945651293032, 0.9129634803304771, 0.9039284663189009, 0.9024926529863638, 0.911364518509356, 0.9116364326569957, 0.9122213146569189, 0.9081132783675767, 0.9106332827182031, 0.9049382808201357, 0.9048527078383786, 0.916632721828628, 0.9179032540125998, 0.9153885813119271, 0.913705646004035, 0.8990206825365006, 0.908953812982781, 0.9187979048748341, 0.9026067502953734, 0.9128792402612081, 0.9091017662689967, 0.9094568541559145, 0.9088837017858894, 0.9043565978101845, 0.9137557635136, 0.8984006116468828, 0.9021322334494922, 0.911366118004342]"
GIN,2,4,0.7537525676937441,0.9046290514272533,0.8699589641998019,0.6706243386243387,scaffold,"[0.807860433518035, 0.8674320106999556, 0.8631663588306477, 0.8773406152474365, 0.8793983398085047, 0.8697484767424579, 0.8784331677387852, 0.8740642846527822, 0.8725617264293145, 0.8901858692652271, 0.8858416661359148, 0.8793097042651211, 0.8860704201430907, 0.8883664522429568, 0.8867832197524573, 0.8963197673184298, 0.8904284228180794, 0.8945210496146742, 0.8878510922871153, 0.8978907925185232, 0.9067331167866166, 0.9011777381483131, 0.8965978812389869, 0.887546440778719, 0.8949655542109844, 0.8985932424686327, 0.895193512090525, 0.8914824958070611, 0.8994257265991551, 0.9020651550856634, 0.9083850816296202, 0.9064037853215294, 0.8928571428571429, 0.902912500265376, 0.8931543638409443, 0.9055649321699256, 0.9049848204997558, 0.9042274377428189, 0.9065362078848481, 0.9067612466297263, 0.9089925270152645, 0.9084020656858374, 0.9067442625735092, 0.9141413498078679, 0.9065781372736345, 0.9080960872980489, 0.9068846464131797, 0.9093263698702843, 0.9111035921278899, 0.9138130798462942]"
GIN,3,0,0.772124319784789,0.8921406809698953,0.856717897868121,0.6937939110070257,scaffold,"[0.8436980277585455, 0.8775273968420539, 0.8862512302576633, 0.8894017765386371, 0.8985952035733618, 0.9023566096530854, 0.9033159777741211, 0.8867697237081907, 0.8989144754885068, 0.909639838511541, 0.8884509464834035, 0.899533614623792, 0.9060890380549355, 0.8817141538362825, 0.9096258671311375, 0.9102465586420232, 0.9097122827062254, 0.9114900114979285, 0.9100015420264296, 0.9060887793256688, 0.9087759414899287, 0.9130954265979895, 0.913332940064848, 0.9173184056895599, 0.9148470237337529, 0.9220619480657918, 0.9099572993218188, 0.922417442078279, 0.9173494532015676, 0.9168032757195002, 0.9160268291900429, 0.920376585622311, 0.9149039441724338, 0.9209835644820602, 0.9179163290249736, 0.9165846494891131, 0.9248663145878805, 0.9195186393738337, 0.9144547901653901, 0.9209905501722618, 0.9221413779506779, 0.9251452247374155, 0.9211708844711729, 0.9255980009541935, 0.9183227927030067, 0.9211794225369749, 0.9245529934458703, 0.9261876449530716, 0.9072013151726086, 0.9270448150137488]"
GIN,3,1,0.7771679367532165,0.8440005330743752,0.767935718385307,0.6536374594849337,scaffold,"[0.7641756596594099, 0.8158533119858054, 0.8482754478013663, 0.8691920977180787, 0.8636952247612842, 0.8316929929742606, 0.8619442769449007, 0.855012972550868, 0.8655755515355664, 0.8789030281607164, 0.8781198233977224, 0.8687155903954606, 0.8856896476040634, 0.8829986807966972, 0.8744879712224232, 0.877437695945587, 0.891202692930595, 0.8839765315811725, 0.8870284887844616, 0.8871720185658805, 0.8886405274964941, 0.8832447318505581, 0.8784161243146957, 0.8910193098094665, 0.8945821406210652, 0.8954190607549724, 0.8935707899278481, 0.9032623712852645, 0.9004651289053385, 0.8940813747438412, 0.8908619179968441, 0.8981435274710804, 0.8906947072454527, 0.8983205571612409, 0.8982362298047533, 0.8963816055466608, 0.8880788264404383, 0.8869817044291501]"
GIN,3,2,0.8541742713219325,0.9484249170771625,0.9052890528905289,0.7502222460501421,scaffold,"[0.7667150299719457, 0.8674298691513822, 0.8778105391445876, 0.8741543316713618, 0.8897978572833094, 0.886662922201434, 0.8948867120804755, 0.8867894682534891, 0.8946075806925767, 0.8907162895918792, 0.9032901000103184, 0.8958513823696039, 0.8901891766135108, 0.9033694346506452, 0.8990950983846883, 0.8994328790005588, 0.9023638802523912, 0.8999458772269672, 0.907045597462849, 0.8910574772168434, 0.9087476418629915, 0.9055796101213478, 0.896816296016525, 0.9077070439426298, 0.9084361438887019, 0.9105708784437562, 0.9121023290314165, 0.9067793640379483, 0.9108371118686569, 0.9050812133624844, 0.9123863275751635, 0.906874516934782, 0.9067944522210779, 0.9059176340950107, 0.9087359606889556, 0.9074797477645155, 0.9137311227360425, 0.9172140594610696, 0.9106185765710691, 0.9107363617425976, 0.9126459903396691, 0.9146965230985483, 0.9047139864537319, 0.9150243260449296, 0.9038108856860839, 0.9181529338242023, 0.9200048866244717, 0.9141331498091101, 0.9103693781916375, 0.90858215856415]"
GIN,3,3,0.8076159158713676,0.9567864887054351,0.9027306273062731,0.6881763132736654,scaffold,"[0.8232349200462284, 0.8715897660670837, 0.8804699543522687, 0.8850209132917878, 0.8864056110933166, 0.882023466342993, 0.8868153542709756, 0.8982249457265895, 0.9017079968756498, 0.8966164110805794, 0.8969034654438994, 0.8971788128592861, 0.904841712698386, 0.9057778002551178, 0.9109503981298854, 0.8947376800762731, 0.8959854065869846, 0.9138246879864236, 0.9114659721168596, 0.9000652779416751, 0.9134163496425167, 0.9017524832777954, 0.9001715770289078, 0.9111990537039847, 0.9166432527708004, 0.9119361231458536, 0.9162487286254545, 0.916974325258349, 0.9059145374069767, 0.9178549218818779, 0.9188776408533148, 0.9204058658365035, 0.9163557301295632, 0.9220045666462499, 0.9204686150774251, 0.9181993402900701, 0.9224166512134953, 0.9222269986569791, 0.9216566361536775, 0.925312950132148, 0.9203883054146038, 0.9218313038168395, 0.9223150349054359, 0.9200968024110692, 0.9144704432344143, 0.9224957901815233, 0.9217484186254732, 0.926823614693437, 0.9246498686012165, 0.9221267871826715]"
GIN,3,4,0.8278214748472896,0.9137922744174969,0.8504150431983737,0.7066437897794422,scaffold,"[0.78192646216146, 0.8489747465828037, 0.8415241270885417, 0.8616103664362162, 0.8608747828219084, 0.8723284461849296, 0.8620035418189006, 0.8710627779028953, 0.8746156683630457, 0.876204302137999, 0.886395537675437, 0.8478519284226377, 0.884099674280119, 0.881886982600369, 0.886274560634611, 0.8825566769335128, 0.8792249476261226, 0.8782873755597214, 0.8931572901358885, 0.8889201232885663, 0.8900167477590895, 0.8932550439054845, 0.8910647653828518, 0.8938518279684876, 0.8965954144300765, 0.892313961344595, 0.8892471393520491, 0.8947688771440345, 0.8980779232562698, 0.8859137898164335, 0.8972850915779997, 0.8923409651483509, 0.9020636846906255, 0.8874392346905986, 0.9030520239080878, 0.8996781686668385, 0.8936239158647887, 0.8966799363358322, 0.9024374173346057, 0.8995866257721062, 0.8980660415826173, 0.9048415659829844, 0.900251459420574, 0.8939860368731539, 0.894547986029312, 0.9042415414635306, 0.8988156671748782, 0.9080461073746846, 0.9044878161537835, 0.9053570685966825]"
